thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,1,17,001,26,f,r,calibration,0.55,2,0,1,0.347354013008391,-0.6306903787402434,1,False,1.7073127003386617,False,dot,dot,0.9585022178944526,10.270159155247288,1869.1689662550064,166.53883050819,509,[np.int64(819)],-0.6105307855798056,3.2449087058269095,2.055422663760532,0.0257181206205907,0.02148187862845949,,,,,,,,,,17,001,26,f,r,,,,,,,
,,2,17,001,26,f,r,calibration,0.55,2,0,2,0.347354013008391,-0.6306903787402434,1,False,1.3556444002315402,False,dot,dot,0.9261401199953351,10.080815947905338,1834.7085025187714,252.61707020064654,731,[np.int64(1075)],-0.8088180781535858,3.249478062754128,2.0577708660113303,0.025403727978280513,0.021413000928689013,,,,,,,,,,17,001,26,f,r,,,,,,,
,,3,17,001,26,f,r,calibration,0.55,2,0,3,0.40766968306220214,-0.37360720091511007,1,False,0.7882246999070048,False,square,square,0.8644614427153365,7.1106847507440385,1294.144624635415,307.4640556284751,1449,[np.int64(1535)],-0.9700635822792076,3.279681644503007,2.0687435841488386,0.025032186531235075,0.021327013668469365,,,,,,,,,,17,001,26,f,r,,,,,,,
,,4,17,001,26,f,r,calibration,0.55,2,0,4,0.347354013008391,-0.6306903787402434,0,False,1.4108269000425935,False,square,dot,0.8225300360958131,9.734474118141542,1781.4087636199022,236.7265108037581,1298,[np.int64(1319)],-0.36287772779013494,3.149466696154884,2.0121994982864884,0.026505088545560926,0.021620597020651666,,,,,,,,,,17,001,26,f,r,,,,,,,
,,5,17,001,26,f,r,calibration,0.55,2,0,5,0.47090191089840744,-0.11652402308997703,1,False,1.7745594000443816,False,square,square,0.7827213082970768,4.437242450674432,807.5781260227467,358.1896607491407,243,[np.int64(928)],-0.5065519605558735,3.1756031841717896,2.023796714317887,0.02614696526510247,0.021551444422732532,,,,,,,,,,17,001,26,f,r,,,,,,,
,,6,17,001,26,f,r,calibration,0.55,2,0,6,0.47090191089840744,-0.11652402308997703,1,False,1.3060043998993933,False,square,square,0.73835115129488,-3.2011057350182606,-582.6012437733234,342.873998817863,258,[np.int64(185)],-0.6290833142262968,3.2137858144799685,2.040069738948691,0.025770464465495982,0.021473938140202247,,,,,,,,,,17,001,26,f,r,,,,,,,
,,7,17,001,26,f,r,calibration,0.55,2,0,7,0.47090191089840744,-0.11652402308997703,0,False,0.9505088999867439,False,square,dot,0.7351239819340125,12.956025167525112,2357.9965804895705,323.77623689651205,1152,[np.int64(19)],-0.11380356649812645,2.972321482330969,1.9202232559360266,0.02774850439144957,0.021795227105203194,,,,,,,,,,17,001,26,f,r,,,,,,,
,,8,17,001,26,f,r,calibration,0.55,2,0,8,0.5350820483873121,0.14055915473515587,1,False,1.3243871997110546,False,square,square,0.7018201893813231,8.998982328304612,1673.8107130646576,238.1988402777467,602,[np.int64(910)],-0.23257458936925565,3.0011142921352616,1.9347013852693673,0.027381985382246447,0.021739805208564576,,,,,,,,,,17,001,26,f,r,,,,,,,
,,9,17,001,26,f,r,calibration,0.55,2,0,9,0.5350820483873121,0.14055915473515587,0,False,0.7490169000811875,False,square,dot,0.6813765534528233,13.142375750789048,2391.9123866436066,197.5998772738848,1409,[np.int64(1159)],0.20430647646534722,2.83203369213024,1.8408330388633476,0.029010696518988445,0.02193033329877535,,,,,,,,,,17,001,26,f,r,,,,,,,
,,10,17,001,26,f,r,calibration,0.55,2,0,10,0.5981210736084265,0.3976423325602886,1,False,0.41659999964758754,False,dot,dot,0.6563517960907457,20.416204708133908,3715.749256880371,245.43165993421752,470,[np.int64(671)],0.09621553595359508,2.855330778198531,1.8539202419453866,0.028648920704088587,0.021890932283286653,,,,,,,,,,17,001,26,f,r,,,,,,,
,,11,17,001,26,f,r,calibration,0.55,2,0,11,0.5981210736084265,0.3976423325602886,1,False,0.5863649998791516,False,dot,dot,0.6279872568904196,20.65513121968748,3759.233881983121,211.36891591532438,631,[np.int64(1168)],nan,nan,nan,nan,nan,,,,,,,,,,17,001,26,f,r,,,,,,,
