participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,trial_level,item_type,mem_response,mem_rt,mem_trigger_onset,mem_trigger_resp
13,001,26,f,r,memory_test,261,1,pistachio_11s,unseen,,,,no,1.819809100124985,52,61
13,001,26,f,r,memory_test,262,2,piggy_bank_01b,seen,yes,high,controlled,yes,0.9701998997479677,51,61
13,001,26,f,r,memory_test,263,3,raisin_14s,unseen,,,,no,1.544992099981755,52,61
13,001,26,f,r,memory_test,264,4,cummerbund_15s,unseen,,,,no,1.3419170998968184,52,61
13,001,26,f,r,memory_test,265,5,coffee_13s,seen,yes,high,controlled,yes,0.9302772996015847,51,61
13,001,26,f,r,memory_test,266,6,banana_peel_14s,unseen,,,,no,0.8573908000253141,52,61
13,001,26,f,r,memory_test,267,7,wafer_08s,seen,no,low,uncontrolled,no,0.8234871998429298,51,62
13,001,26,f,r,memory_test,268,8,pickle_09s,seen,no,high,uncontrolled,yes,0.7129526003263891,51,61
13,001,26,f,r,memory_test,269,9,shower_cap_12s,seen,yes,low,controlled,no,0.9058575998060405,51,62
13,001,26,f,r,memory_test,270,10,butter_06s,unseen,,,,no,0.7693639998324215,52,61
13,001,26,f,r,memory_test,271,11,metal_detector_04s,unseen,,,,no,1.1196730001829565,52,61
13,001,26,f,r,memory_test,272,12,bib_13n,unseen,,,,no,0.666694600135088,52,61
13,001,26,f,r,memory_test,273,13,firewood_05s,unseen,,,,no,1.0221398998983204,52,61
13,001,26,f,r,memory_test,274,14,applesauce_05s,unseen,,,,no,1.0658090002834797,52,61
13,001,26,f,r,memory_test,275,15,diamond_14s,unseen,,,,no,0.7903713001869619,52,61
13,001,26,f,r,memory_test,276,16,vending_machine_03s,seen,no,high,uncontrolled,yes,1.8761775996536016,51,61
13,001,26,f,r,memory_test,277,17,swimsuit_08s,seen,no,high,uncontrolled,no,0.7516333996318281,51,62
13,001,26,f,r,memory_test,278,18,mouse2_09s,seen,yes,high,controlled,no,0.8614568999037147,51,62
13,001,26,f,r,memory_test,279,19,ready_meal_11s,unseen,,,,no,0.7095888000912964,52,61
13,001,26,f,r,memory_test,280,20,robot_14s,seen,yes,low,controlled,no,0.604581999592483,51,62
13,001,26,f,r,memory_test,281,21,touchpad_11s,unseen,,,,no,0.6817985000088811,52,61
13,001,26,f,r,memory_test,282,22,hook1_15s,seen,yes,low,controlled,no,0.722770499996841,51,62
