participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,trial_level,item_type,mem_response,mem_rt,mem_trigger_onset,mem_trigger_resp
12,001,36,m,r,memory_test,242,1,cookie_cutter_09s,unseen,,,,no,1.5762777999043465,52,61
12,001,36,m,r,memory_test,243,2,emerald_08n,seen,no,low,uncontrolled,yes,2.02378509985283,51,61
12,001,36,m,r,memory_test,244,3,cookie_11s,seen,yes,low,controlled,yes,1.0650810999795794,51,61
12,001,36,m,r,memory_test,245,4,apron_10s,seen,no,high,uncontrolled,yes,1.3858310002833605,51,61
12,001,36,m,r,memory_test,246,5,mouse2_09s,seen,no,low,uncontrolled,no,2.066064199898392,51,62
12,001,36,m,r,memory_test,247,6,walker1_03s,seen,no,low,uncontrolled,yes,0.7401590999215841,51,61
12,001,36,m,r,memory_test,248,7,handbrake_03s,seen,yes,low,controlled,no,0.9064326998777688,51,62
12,001,36,m,r,memory_test,249,8,whisk_04s,unseen,,,,no,1.0159094999544322,52,61
12,001,36,m,r,memory_test,250,9,ironing_board_01b,seen,no,low,uncontrolled,yes,0.8091801004484296,51,61
12,001,36,m,r,memory_test,251,10,checkers_06s,unseen,,,,no,1.6638819999061525,52,61
12,001,36,m,r,memory_test,252,11,marker_08s,seen,no,low,uncontrolled,yes,0.9169010003097355,51,61
12,001,36,m,r,memory_test,253,12,pesto_07s,seen,yes,high,controlled,yes,0.6715088998898864,51,61
12,001,36,m,r,memory_test,254,13,meatloaf_09s,unseen,,,,no,1.38042960036546,52,61
12,001,36,m,r,memory_test,255,14,sausage_08s,seen,yes,low,controlled,yes,0.9490778003819287,51,61
12,001,36,m,r,memory_test,256,15,tortellini_06s,unseen,,,,no,0.9148548999801278,52,61
12,001,36,m,r,memory_test,257,16,icicle_12s,seen,yes,low,controlled,no,0.7318135998211801,51,62
12,001,36,m,r,memory_test,258,17,soy_sauce_10s,unseen,,,,yes,1.1339024999178946,52,62
12,001,36,m,r,memory_test,259,18,outlet_02s,unseen,,,,no,1.0897031002677977,52,61
12,001,36,m,r,memory_test,260,19,dollhouse_12s,unseen,,,,no,0.9414500999264419,52,61
12,001,36,m,r,memory_test,261,20,pacifier_04s,unseen,,,,no,0.8924371995963156,52,61
12,001,36,m,r,memory_test,262,21,toilet_12s,unseen,,,,no,1.2097497000358999,52,61
12,001,36,m,r,memory_test,263,22,skirt_02s,seen,no,low,uncontrolled,no,0.6383364000357687,51,62
12,001,36,m,r,memory_test,264,23,bikini_09s,unseen,,,,no,0.5839975997805595,52,61
12,001,36,m,r,memory_test,265,24,saltshaker_08s,unseen,,,,no,0.8556877998635173,52,61
