participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,trial_level,item_type,mem_response,mem_rt,mem_trigger_onset,mem_trigger_resp
17,001,26,f,r,memory_test,642,382,bench_16n,unseen,,,,no,0.5427537001669407,52,61
17,001,26,f,r,memory_test,643,383,sewage_01b,unseen,,,,no,0.5353319998830557,52,61
17,001,26,f,r,memory_test,644,384,noisemaker_05s,unseen,,,,no,0.5744879003614187,52,61
17,001,26,f,r,memory_test,645,385,raisin_14s,unseen,,,,no,0.6085806000046432,52,61
17,001,26,f,r,memory_test,646,386,punch2_01b,unseen,,,,no,0.4914715001359582,52,61
17,001,26,f,r,memory_test,647,387,snowball_01b,seen,no,high,uncontrolled,no,0.3861476997844875,51,62
17,001,26,f,r,memory_test,648,388,sequin_08s,seen,yes,low,controlled,no,0.6492885001935065,51,62
17,001,26,f,r,memory_test,649,389,playpen_05s,unseen,,,,no,0.5578920999541879,52,61
17,001,26,f,r,memory_test,650,390,rattle_08s,unseen,,,,no,0.5375164998695254,52,61
17,001,26,f,r,memory_test,651,391,straightjacket_05s,seen,no,high,uncontrolled,no,0.5268720001913607,51,62
17,001,26,f,r,memory_test,652,392,polo_shirt_14s,unseen,,,,no,0.3935206001624465,52,61
17,001,26,f,r,memory_test,653,393,sweatsuit_06s,unseen,,,,no,0.5912775998003781,52,61
17,001,26,f,r,memory_test,654,394,javelin_01s,seen,no,low,uncontrolled,no,0.6513910000212491,51,62
17,001,26,f,r,memory_test,655,395,coffin_06s,unseen,,,,no,0.45055590011179447,52,61
17,001,26,f,r,memory_test,656,396,insole_02s,unseen,,,,no,0.693081600125879,52,61
17,001,26,f,r,memory_test,657,397,hook1_15s,seen,no,high,uncontrolled,no,0.7221315000206232,51,62
17,001,26,f,r,memory_test,658,398,step_stool_06s,seen,no,low,uncontrolled,no,0.4775106003507972,51,62
17,001,26,f,r,memory_test,659,399,hydrant_12s,seen,no,high,uncontrolled,yes,0.6546575999818742,51,61
17,001,26,f,r,memory_test,660,400,banana_peel_14s,unseen,,,,no,0.4290470997802913,52,61
17,001,26,f,r,memory_test,661,401,pacifier_04s,unseen,,,,no,0.827919099945575,52,61
17,001,26,f,r,memory_test,662,402,easter_egg_12s,unseen,,,,no,0.5737661998718977,52,61
17,001,26,f,r,memory_test,663,403,sorbet_07s,unseen,,,,no,0.6118855997920036,52,61
17,001,26,f,r,memory_test,664,404,pantsuit_07s,unseen,,,,no,0.581050899811089,52,61
17,001,26,f,r,memory_test,665,405,inhaler_12s,unseen,,,,no,0.5933014997281134,52,61
17,001,26,f,r,memory_test,666,406,chocolate_11s,unseen,,,,no,0.7459146999754012,52,61
17,001,26,f,r,memory_test,667,407,macaroni_11s,unseen,,,,no,0.5533392000943422,52,61
17,001,26,f,r,memory_test,668,408,tomato_sauce_14s,seen,yes,high,controlled,yes,0.9292301000095904,51,61
17,001,26,f,r,memory_test,669,409,bracelet2_08s,seen,no,high,uncontrolled,no,0.8504127003252506,51,62
17,001,26,f,r,memory_test,670,410,gas_mask_01b,seen,yes,low,controlled,no,1.0257092001847923,51,62
17,001,26,f,r,memory_test,671,411,headscarf_07s,seen,yes,high,controlled,no,0.8123662997968495,51,62
17,001,26,f,r,memory_test,672,412,mashed_potato_05s,unseen,,,,no,0.5658603999763727,52,61
17,001,26,f,r,memory_test,673,413,peppermint_02s,seen,yes,high,controlled,no,0.8377612996846437,51,62
17,001,26,f,r,memory_test,674,414,hot_tub_07s,seen,no,low,uncontrolled,no,0.588487199973315,51,62
17,001,26,f,r,memory_test,675,415,string_cheese_01b,seen,no,high,uncontrolled,no,0.4578224001452327,51,62
17,001,26,f,r,memory_test,676,416,vacuum_04s,seen,no,low,uncontrolled,no,0.543005199637264,51,62
17,001,26,f,r,memory_test,677,417,cantaloupe_07s,unseen,,,,no,0.4696613000705838,52,61
17,001,26,f,r,memory_test,678,418,seismograph_06s,seen,yes,low,controlled,no,0.4966699001379311,51,62
17,001,26,f,r,memory_test,679,419,clipper2_05s,unseen,,,,no,0.6262293001636863,52,61
17,001,26,f,r,memory_test,680,420,slot_machine_05s,seen,no,high,uncontrolled,yes,0.9544711001217365,51,61
17,001,26,f,r,memory_test,681,421,sausage_08s,seen,no,high,uncontrolled,no,0.7062377003021538,51,62
17,001,26,f,r,memory_test,682,422,jelly_bean_13n,seen,no,low,uncontrolled,yes,0.6746189002878964,51,61
17,001,26,f,r,memory_test,683,423,eyeliner_10s,seen,no,high,uncontrolled,yes,0.8707070001401007,51,61
17,001,26,f,r,memory_test,684,424,pinball_09s,seen,no,high,uncontrolled,no,0.8182712998241186,51,62
17,001,26,f,r,memory_test,685,425,coffee_bean_12s,seen,yes,low,controlled,no,0.8221391998231411,51,62
17,001,26,f,r,memory_test,686,426,cardigan_11s,unseen,,,,no,0.552634300198406,52,61
17,001,26,f,r,memory_test,687,427,handprint_12s,unseen,,,,no,1.2914208001457155,52,61
17,001,26,f,r,memory_test,688,428,pajamas_13s,seen,yes,low,controlled,yes,0.7543131997808814,51,61
17,001,26,f,r,memory_test,689,429,scale_05s,unseen,,,,no,0.6673118998296559,52,61
17,001,26,f,r,memory_test,690,430,skirt_02s,seen,no,low,uncontrolled,yes,0.7557447999715805,51,61
17,001,26,f,r,memory_test,691,431,test_tube_17s,unseen,,,,no,0.650220800191164,52,61
17,001,26,f,r,memory_test,692,432,caviar_07s,seen,no,high,uncontrolled,yes,0.8452884000726044,51,61
17,001,26,f,r,memory_test,693,433,hearse_06s,seen,yes,high,controlled,yes,1.0684748999774456,51,61
17,001,26,f,r,memory_test,694,434,match_07s,unseen,,,,no,0.6469947001896799,52,61
17,001,26,f,r,memory_test,695,435,ice_cream_10s,unseen,,,,no,0.6109847002662718,52,61
17,001,26,f,r,memory_test,696,436,coffee_13s,seen,no,low,uncontrolled,no,0.6168778999708593,51,62
17,001,26,f,r,memory_test,697,437,toast_13s,seen,yes,high,controlled,no,0.7295873002149165,51,62
17,001,26,f,r,memory_test,698,438,hamburger_10s,unseen,,,,no,0.6838683998212218,52,61
17,001,26,f,r,memory_test,699,439,chalk_02s,seen,no,low,uncontrolled,yes,0.7063370998948812,51,61
17,001,26,f,r,memory_test,700,440,air_mattress_13s,unseen,,,,no,0.7806983003392816,52,61
17,001,26,f,r,memory_test,701,441,flipper_12s,seen,yes,low,controlled,yes,0.9831082997843623,51,61
17,001,26,f,r,memory_test,702,442,pillbox_13s,seen,no,low,uncontrolled,no,0.7161562000401318,51,62
17,001,26,f,r,memory_test,703,443,handbrake_03s,seen,yes,low,controlled,no,0.517136299982667,51,62
17,001,26,f,r,memory_test,704,444,pin_12s,seen,yes,low,controlled,no,0.5795499999076128,51,62
