participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,trial_level,item_type,mem_response,mem_rt,mem_trigger_onset,mem_trigger_resp
2,001,23,f,r,memory_test,510,235,sweeper_02s,seen,no,low,uncontrolled,no,1.2267670999281108,51,62
2,001,23,f,r,memory_test,511,236,pet_food_10s,unseen,,,,no,0.8259806999703869,52,61
2,001,23,f,r,memory_test,512,237,sweeper_07s,unseen,,,,no,0.8483569000381976,52,61
2,001,23,f,r,memory_test,513,238,headset_03s,seen,no,low,uncontrolled,no,1.7780365999788046,51,62
2,001,23,f,r,memory_test,514,239,footprint_10s,unseen,,,,no,2.5888768000295386,52,61
2,001,23,f,r,memory_test,515,240,spider_web_14s,seen,yes,high,controlled,no,0.8918900999706239,51,62
2,001,23,f,r,memory_test,516,241,tomato_sauce_07s,seen,no,low,uncontrolled,no,1.2532713999971747,51,62
2,001,23,f,r,memory_test,517,242,paintbrush_06s,unseen,,,,no,0.7643505000742152,52,61
2,001,23,f,r,memory_test,518,243,keyboard_07s,seen,no,low,uncontrolled,yes,1.2150537999114022,51,61
2,001,23,f,r,memory_test,519,244,dreidel_13s,unseen,,,,no,0.9224374999757856,52,61
2,001,23,f,r,memory_test,520,245,shower_cap_07s,unseen,,,,no,1.0583985999692231,52,61
2,001,23,f,r,memory_test,521,246,cauliflower_02s,seen,no,low,uncontrolled,no,1.8206677000271156,51,62
2,001,23,f,r,memory_test,522,247,hamburger_10s,unseen,,,,no,1.0743911999743432,52,61
2,001,23,f,r,memory_test,523,248,pocket_01b,seen,yes,high,controlled,no,0.972665699897334,51,62
2,001,23,f,r,memory_test,524,249,avocado_13s,seen,yes,low,controlled,yes,1.0577005000086501,51,61
2,001,23,f,r,memory_test,525,250,dragonfly_11n,unseen,,,,no,0.9260248999344185,52,61
2,001,23,f,r,memory_test,526,251,chick_03s,unseen,,,,no,1.4392196999397129,52,61
2,001,23,f,r,memory_test,527,252,swab_14s,seen,no,high,uncontrolled,yes,1.5939068000297993,51,61
2,001,23,f,r,memory_test,528,253,tattoo_04s,unseen,,,,no,0.9537138000596315,52,61
2,001,23,f,r,memory_test,529,254,sink_01b,seen,no,low,uncontrolled,no,0.9338590000988916,51,62
2,001,23,f,r,memory_test,530,255,float_07s,unseen,,,,yes,1.3699842999922112,52,62
2,001,23,f,r,memory_test,531,256,sewage_09s,seen,yes,high,controlled,no,0.9117938000708818,51,62
2,001,23,f,r,memory_test,532,257,football_05s,unseen,,,,yes,2.418137599946931,52,62
2,001,23,f,r,memory_test,533,258,chinchilla_13n,seen,no,high,uncontrolled,no,1.9161510999547318,51,62
2,001,23,f,r,memory_test,534,259,skewer_09s,unseen,,,,no,0.9111312999157235,52,61
2,001,23,f,r,memory_test,535,260,apron_10s,unseen,,,,no,0.7194684999994934,52,61
2,001,23,f,r,memory_test,536,261,dalmatian_01b,unseen,,,,no,1.3884984999895096,52,61
2,001,23,f,r,memory_test,537,262,cookie_cutter_02s,seen,yes,low,controlled,yes,3.5443470999598503,51,61
2,001,23,f,r,memory_test,538,263,donut_15s,unseen,,,,no,0.7514126999303699,52,61
2,001,23,f,r,memory_test,539,264,tube_top_10s,seen,yes,low,controlled,no,0.8873122999211773,51,62
2,001,23,f,r,memory_test,540,265,kazoo_07s,unseen,,,,no,1.0960219000698999,52,61
2,001,23,f,r,memory_test,541,266,cheese_05n,seen,no,high,uncontrolled,no,1.46961889998056,51,62
2,001,23,f,r,memory_test,542,267,canoe_06s,seen,no,low,uncontrolled,no,0.8592906000558287,51,62
2,001,23,f,r,memory_test,543,268,crouton_07s,unseen,,,,yes,1.3184679999249056,52,62
2,001,23,f,r,memory_test,544,269,chick_06s,seen,yes,low,controlled,no,1.0881648999638855,51,62
2,001,23,f,r,memory_test,545,270,robot_07s,unseen,,,,no,0.7703454999718815,52,61
2,001,23,f,r,memory_test,546,271,sloth_02s,unseen,,,,no,0.9345374000258744,52,61
2,001,23,f,r,memory_test,547,272,curling_iron_04s,unseen,,,,yes,1.2774788999231532,52,62
2,001,23,f,r,memory_test,548,273,headset_09s,unseen,,,,yes,1.11819770000875,52,62
2,001,23,f,r,memory_test,549,274,trap_07s,unseen,,,,no,0.8812218999955803,52,61
2,001,23,f,r,memory_test,550,275,cashew_02s,seen,yes,low,controlled,yes,0.8586591999046504,51,61
2,001,23,f,r,memory_test,551,276,ketchup_15s,seen,no,low,uncontrolled,yes,1.1467335000634193,51,61
2,001,23,f,r,memory_test,552,277,waffle_06s,seen,no,high,uncontrolled,no,1.440321300062351,51,62
2,001,23,f,r,memory_test,553,278,peppermint_02s,unseen,,,,no,0.9271569999400526,52,61
2,001,23,f,r,memory_test,554,279,blower_08s,seen,yes,high,controlled,no,0.9217523999977857,51,62
2,001,23,f,r,memory_test,555,280,chinchilla_08s,unseen,,,,no,1.0426294999197125,52,61
2,001,23,f,r,memory_test,556,281,kazoo_08s,seen,yes,low,controlled,yes,1.1731116999872029,51,61
2,001,23,f,r,memory_test,557,282,shaving_cream_07s,unseen,,,,yes,1.1799394000554457,52,62
2,001,23,f,r,memory_test,558,283,chopsticks_04s,seen,no,high,uncontrolled,no,1.110945799970068,51,62
2,001,23,f,r,memory_test,559,284,suit_14s,unseen,,,,no,1.1632387998979539,52,61
2,001,23,f,r,memory_test,560,285,memory_stick_05s,seen,yes,low,controlled,yes,1.2165445000864565,51,61
2,001,23,f,r,memory_test,561,286,hot_tub_06s,unseen,,,,no,1.115284499945119,52,61
2,001,23,f,r,memory_test,562,287,iceskate_07s,unseen,,,,yes,2.1315260999836028,52,62
2,001,23,f,r,memory_test,563,288,salami_13s,unseen,,,,no,1.1178004000103101,52,61
2,001,23,f,r,memory_test,564,289,sushi_09s,unseen,,,,no,0.9944291999563575,52,61
2,001,23,f,r,memory_test,565,290,mulberry_14s,unseen,,,,no,0.9089968999614939,52,61
2,001,23,f,r,memory_test,566,291,sink_15n,unseen,,,,no,1.0392493999097496,52,61
2,001,23,f,r,memory_test,567,292,spider_web_13s,unseen,,,,no,1.4328620000742376,52,61
