thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,1,3,001,31,m,r,calibration,0.55,2,0,1,0.347354013008391,-0.6306903787402434,1,False,0.9174126998987049,False,square,square,0.9585022178944526,4.179182766004295,748.0737151147687,246.11496440673346,988,[np.int64(968)],-0.6105307855798056,3.2449087058269095,2.055422663760532,0.0257181206205907,0.02148187862845949,,,,,,,,,,3,001,31,m,r,,,,,,,
,,2,3,001,31,m,r,calibration,0.55,2,0,2,0.347354013008391,-0.6306903787402434,0,False,1.4978129998780787,False,square,dot,0.8159747285924219,7.323516448846755,1325.5564772412627,173.64064544741478,1484,[np.int64(924)],-0.05001588787199827,3.2319921310993145,2.0487151302990343,0.026606840000665752,0.021650718437986983,,,,,,,,,,3,001,31,m,r,,,,,,,
,,3,3,001,31,m,r,calibration,0.55,2,0,3,0.47090191089840744,-0.11652402308997703,0,False,1.0609295000322163,False,square,dot,0.6935525476814474,6.094028517121832,1103.0191615990516,186.45218463994652,429,[np.int64(629)],0.3722450056771243,3.2366601935202266,2.0483203891301978,0.027428518158235125,0.021783420862527256,,,,,,,,,,3,001,31,m,r,,,,,,,
,,4,3,001,31,m,r,calibration,0.55,2,0,4,0.5981210736084265,0.3976423325602886,1,False,2.487753399880603,False,square,square,0.6781110502246894,2.8693258634476853,519.347981284031,27.69700613324095,1536,[np.int64(758)],0.24769833187338677,3.243746057219266,2.0521468999012367,0.027099945023273286,0.02173055816702293,,,,,,,,,,3,001,31,m,r,,,,,,,
,,5,3,001,31,m,r,calibration,0.55,2,0,5,0.5981210736084265,0.3976423325602886,0,False,1.3841830999590456,False,square,dot,0.613597463239484,14.734213719304098,2666.8926831940416,216.30180004434186,201,[np.int64(979)],0.628428685562418,3.168109681079932,2.0148800598166985,0.02826781468764369,0.021890415930950074,,,,,,,,,,3,001,31,m,r,,,,,,,
,,6,3,001,31,m,r,calibration,0.55,2,0,6,0.6580745541515514,0.654725510385422,1,False,0.9313094997778535,False,dot,dot,0.6007945081972881,6.13933644201827,1111.219896005307,128.38323755633755,1235,[np.int64(886)],0.5245554392194002,3.175669345342914,2.019236701564263,0.027935522575787866,0.021846306358227537,,,,,,,,,,3,001,31,m,r,,,,,,,
,,7,3,001,31,m,r,calibration,0.55,2,0,7,0.6580745541515514,0.654725510385422,0,False,1.2153823000844568,False,dot,square,0.5521320056740753,10.724643386417469,1941.1604529415617,167.98527935069723,303,[np.int64(642)],0.8388365591024383,3.1022536689770837,1.9802536690585812,0.029086047781549246,0.021972298063908234,,,,,,,,,,3,001,31,m,r,,,,,,,
,,8,3,001,31,m,r,calibration,0.55,2,0,8,0.7133701336716126,0.9118086882105548,1,False,0.7996304999105632,False,dot,dot,0.540006059995996,10.681278701387004,1933.3114449510476,210.22511093440167,997,[np.int64(1566)],0.7517525369333434,3.116349955948394,1.9880363161344838,0.028741862072685455,0.02193591291072033,,,,,,,,,,3,001,31,m,r,,,,,,,
,,9,3,001,31,m,r,calibration,0.55,2,0,9,0.7133701336716126,0.9118086882105548,1,False,0.8982815998606384,False,dot,dot,0.5236723561590606,11.454259723006427,2073.221009864163,217.1150569178885,168,[np.int64(1515)],0.6714577716022978,3.143967718580651,2.002374538855502,0.02838140091680319,0.021893527686256728,,,,,,,,,,3,001,31,m,r,,,,,,,
,,10,3,001,31,m,r,calibration,0.55,2,0,10,0.7133701336716126,0.9118086882105548,1,False,1.2812838000245392,False,square,square,0.5051069980861315,18.934446694738558,3427.134851747679,199.87520891973173,1159,[np.int64(864)],0.5989781561045987,3.1835427676005326,2.022132602438797,0.028007048362144227,0.02184486792449426,,,,,,,,,,3,001,31,m,r,,,,,,,
