participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,trial_level,item_type,mem_response,mem_rt,mem_trigger_onset,mem_trigger_resp
4,001,27,m,r,memory_test,244,1,garlic_05s,seen,no,high,uncontrolled,no,1.8738365001045167,51,62
4,001,27,m,r,memory_test,245,2,air_mattress_13s,unseen,,,,no,2.0977802998386323,52,61
4,001,27,m,r,memory_test,246,3,boa_11s,unseen,,,,no,2.421961500076577,52,61
4,001,27,m,r,memory_test,247,4,suit_06s,seen,no,low,uncontrolled,no,3.451934899901971,51,62
4,001,27,m,r,memory_test,248,5,cat_01b,seen,yes,high,controlled,yes,15.577525000087917,51,61
4,001,27,m,r,memory_test,249,6,wooden_leg_02s,seen,yes,low,controlled,yes,3.920893399976194,51,61
4,001,27,m,r,memory_test,250,7,bowtie_14s,seen,no,low,uncontrolled,no,1.8729886999353766,51,62
4,001,27,m,r,memory_test,251,8,bowling_ball_01b,seen,yes,low,controlled,no,1.1815975001081824,51,62
4,001,27,m,r,memory_test,252,9,headset_03s,seen,yes,low,controlled,no,1.3800262999720871,51,62
4,001,27,m,r,memory_test,253,10,mashed_potato_05s,seen,yes,high,controlled,no,1.6094663001131266,51,62
4,001,27,m,r,memory_test,254,11,goat_08s,unseen,,,,no,1.1568812998011708,52,61
4,001,27,m,r,memory_test,255,12,fingerprint_02s,unseen,,,,no,1.1641911999322474,52,61
4,001,27,m,r,memory_test,256,13,iceskate_07s,unseen,,,,yes,3.2766382000409067,52,62
4,001,27,m,r,memory_test,257,14,pencil_sharpener_10s,unseen,,,,no,1.2003479001577944,52,61
4,001,27,m,r,memory_test,258,15,step_stool_11s,seen,no,low,uncontrolled,no,0.9483755000401288,51,62
4,001,27,m,r,memory_test,259,16,shark_07s,seen,yes,low,controlled,no,3.368031500140205,51,62
4,001,27,m,r,memory_test,260,17,bean_04s,seen,no,high,uncontrolled,no,3.1761166001670063,51,62
4,001,27,m,r,memory_test,261,18,nutcracker_03s,seen,no,high,uncontrolled,yes,0.8011337998323143,51,61
4,001,27,m,r,memory_test,262,19,light_switch_10s,unseen,,,,no,0.8940632999874651,52,61
4,001,27,m,r,memory_test,263,20,nightshirt_08s,unseen,,,,no,1.0473586001899093,52,61
4,001,27,m,r,memory_test,264,21,sequin_06s,seen,no,high,uncontrolled,no,1.0151192999910563,51,62
4,001,27,m,r,memory_test,265,22,ice_cream_08s,seen,no,low,uncontrolled,yes,0.7913061999715865,51,61
4,001,27,m,r,memory_test,266,23,cookie_cutter_10s,unseen,,,,no,5.6227075001224875,52,61
4,001,27,m,r,memory_test,267,24,quiche_14s,unseen,,,,no,3.6681884999852628,52,61
4,001,27,m,r,memory_test,268,25,dalmatian_01b,unseen,,,,no,0.7362867998890579,52,61
4,001,27,m,r,memory_test,269,26,crutch_01b,seen,yes,low,controlled,no,1.8032082000281662,51,62
4,001,27,m,r,memory_test,270,27,beanbag_13s,unseen,,,,no,0.9277086998336017,52,61
4,001,27,m,r,memory_test,271,28,peppermint_10s,seen,no,low,uncontrolled,no,1.0574633998330683,51,62
4,001,27,m,r,memory_test,272,29,salami_08s,seen,yes,high,controlled,no,1.5853938998188823,51,62
4,001,27,m,r,memory_test,273,30,air_mattress_03s,seen,yes,high,controlled,no,3.0265174000523984,51,62
4,001,27,m,r,memory_test,274,31,worm_08n,unseen,,,,no,2.250158099923283,52,61
