thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,17,4,001,27,m,r,calibration,0.85,2,-1,17,0.347354013008391,-0.6306903787402434,1,False,1.4332905998453498,False,square,square,0.5935945401302132,4.601999501983389,832.9619098589935,322.6166460471366,840,[np.int64(225)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,18,4,001,27,m,r,calibration,0.85,2,-1,18,0.347354013008391,-0.6306903787402434,1,False,1.3528939001262188,False,square,square,0.5782462814922547,2.7024184638992925,489.1377419657719,324.50370263508796,247,[np.int64(867)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,19,4,001,27,m,r,calibration,0.85,2,-1,19,0.29156950079727495,-0.887773556565376,1,False,0.9864068999886513,False,dot,dot,0.5706703371650379,2.957996638650983,535.3973915958279,404.14863348522414,1215,[np.int64(838)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,20,4,001,27,m,r,calibration,0.85,2,-1,20,0.29156950079727495,-0.887773556565376,1,False,1.0559517999645323,False,square,square,0.5588404364901294,1.7631431056774316,319.1289021276151,138.7250982709705,737,[np.int64(540)],-1.077777538708314,3.197864702476946,2.0409925252007213,0.021829382101605697,0.02035866402488739,,,,,,,,,,4,001,27,m,r,,,,,,,
,,21,4,001,27,m,r,calibration,0.85,2,-1,21,0.29156950079727495,-0.887773556565376,1,False,1.2383473999798298,False,dot,dot,0.5440618509158143,1.929472346876187,349.23449478458986,352.7438493771185,132,[np.int64(553)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,22,4,001,27,m,r,calibration,0.85,2,-1,22,0.2414297750189407,-1.1448567343905092,0,False,1.3175258999690413,False,dot,square,0.4837647783691694,3.147076770373069,569.6208954375255,276.413402686894,806,[np.int64(129)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,23,4,001,27,m,r,calibration,0.85,2,-1,23,0.347354013008391,-0.6306903787402434,1,False,1.0169208999723196,False,square,square,0.4642978112776029,2.4107207314579027,436.3404523938804,235.23499124465266,814,[np.int64(548)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,24,4,001,27,m,r,calibration,0.85,2,-1,24,0.347354013008391,-0.6306903787402434,1,False,1.063958200160414,False,square,square,0.4464175792981318,4.101425740084749,742.3580589553396,448.9669785672324,1039,[np.int64(1112)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,25,4,001,27,m,r,calibration,0.85,2,-1,25,0.29156950079727495,-0.887773556565376,1,False,1.268051999853924,False,square,square,0.43613961557526687,3.705596870660891,670.7130335896212,171.48623009473886,901,[np.int64(400)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,26,4,001,27,m,r,calibration,0.85,2,-1,26,0.29156950079727495,-0.887773556565376,1,False,0.7543005999177694,False,dot,dot,0.42596734394280805,4.620414952841853,836.2951064643753,542.7296620514817,1431,[np.int64(792)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,27,4,001,27,m,r,calibration,0.85,2,-1,27,0.2414297750189407,-1.1448567343905092,1,False,0.9692229998763651,False,square,square,0.4245842277062813,2.0375860325103137,368.8030718843668,287.5881004383863,1024,[np.int64(621)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,28,4,001,27,m,r,calibration,0.85,2,-1,28,0.2414297750189407,-1.1448567343905092,1,False,0.7166778000537306,False,square,square,0.42184250595395895,2.468742826989821,446.8424516851576,244.7529063240241,631,[np.int64(1461)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,29,4,001,27,m,r,calibration,0.85,2,-1,29,0.2414297750189407,-1.1448567343905092,1,False,1.2858745998237282,False,square,square,0.4179206635672693,4.691873836370502,849.2291643830608,418.65512081974106,775,[np.int64(1242)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,30,4,001,27,m,r,calibration,0.85,2,-1,30,0.19750845711691875,-1.4019399122156422,1,False,1.017409199848771,False,square,square,0.4221520996366617,3.219234509801446,582.6814462740617,336.53590704251764,656,[np.int64(843)],-1.3807578907167788,3.4077393681255392,2.137409077024491,0.019945559347752218,0.019616658423054895,,,,,,,,,,4,001,27,m,r,,,,,,,
,,31,4,001,27,m,r,calibration,0.85,2,-1,31,0.19750845711691875,-1.4019399122156422,1,False,2.138529400108382,False,dot,dot,0.4239049101625278,2.8425006653672362,514.4926204314697,399.26180046493124,1473,[np.int64(1131)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,32,4,001,27,m,r,calibration,0.85,2,-1,32,0.19750845711691875,-1.4019399122156422,1,False,1.7375838998705149,False,square,square,0.42314151196819316,1.4707882867251907,266.21267989725953,363.2104849303918,926,[np.int64(774)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,33,4,001,27,m,r,calibration,0.85,2,-1,33,0.19750845711691875,-1.4019399122156422,1,False,0.737854199949652,False,dot,dot,0.42006072415721296,2.504769902151992,453.36335228951054,391.857445089105,627,[np.int64(549)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,34,4,001,27,m,r,calibration,0.85,2,-1,34,0.15989317907384526,-1.659023090040775,1,False,1.7516681000124663,False,dot,dot,0.42364367924973173,2.698993180117365,488.5177656012431,266.8149925700884,1110,[np.int64(1114)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,35,4,001,27,m,r,calibration,0.85,2,-1,35,0.15989317907384526,-1.659023090040775,0,False,1.6537456000223756,False,square,dot,0.37152384139208977,1.8484943037994523,334.57746898770085,287.2120481562599,1281,[np.int64(1182)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,36,4,001,27,m,r,calibration,0.85,2,-1,36,0.19750845711691875,-1.4019399122156422,0,False,1.400158500066027,False,dot,square,0.341036671455683,2.0709208712916776,374.83667770379367,374.03598133714866,253,[np.int64(219)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,37,4,001,27,m,r,calibration,0.85,2,-1,37,0.2414297750189407,-1.1448567343905092,1,False,0.8502964000217617,False,square,square,0.3327697687485567,3.1400499934338764,568.3490488115316,337.0746996141019,1435,[np.int64(1163)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,38,4,001,27,m,r,calibration,0.85,2,-1,38,0.2414297750189407,-1.1448567343905092,1,False,2.218449599808082,False,dot,dot,0.3248137325298322,1.9217043912047143,347.8284948080533,553.0814184617623,1373,[np.int64(1101)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,39,4,001,27,m,r,calibration,0.85,2,-1,39,0.2414297750189407,-1.1448567343905092,0,False,0.8001161001157016,False,dot,square,0.31652172054864125,3.145810473716464,569.39169574268,380.7159996346086,1381,[np.int64(458)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,40,4,001,27,m,r,calibration,0.85,2,-1,40,0.2414297750189407,-1.1448567343905092,1,False,1.1306121998932213,False,dot,dot,0.30965970152659145,2.5504394840216085,461.6295466079111,294.36508192823845,802,[np.int64(600)],-1.2702963605907664,3.2391044684763246,2.035370920403217,0.020791768269566156,0.019927740485263076,,,,,,,,,,4,001,27,m,r,,,,,,,
