participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,mem_response,mem_rt,mem_trigger_onset,mem_trigger_resp
1,001,20,f,r,memory_test,406,144,lab_coat_04s,seen,yes,no,0.9500836000079289,51,62
1,001,20,f,r,memory_test,407,145,butter_14s,seen,yes,no,0.7708387000020593,51,62
1,001,20,f,r,memory_test,408,146,target_14s,seen,no,no,0.6680267999181524,51,62
1,001,20,f,r,memory_test,409,147,cross_11s,unseen,,no,0.7200862999306992,52,61
1,001,20,f,r,memory_test,410,148,walrus_02n,seen,no,no,0.6387231000699103,51,62
1,001,20,f,r,memory_test,411,149,sushi_08s,seen,no,yes,0.6774881000164896,51,61
1,001,20,f,r,memory_test,412,150,taco_05s,seen,yes,yes,0.8492903000442311,51,61
1,001,20,f,r,memory_test,413,151,pajamas_09s,unseen,,no,1.3080287999473512,52,61
1,001,20,f,r,memory_test,414,152,yarn_10s,unseen,,no,0.6834063999122009,52,61
1,001,20,f,r,memory_test,415,153,pallet_04s,unseen,,no,0.7079493999481201,52,61
1,001,20,f,r,memory_test,416,154,olive_08s,unseen,,no,0.5432676000054926,52,61
1,001,20,f,r,memory_test,417,155,meatball_16s,seen,no,no,0.7453607999486849,51,62
1,001,20,f,r,memory_test,418,156,staple_02s,unseen,,no,0.613653099979274,52,61
1,001,20,f,r,memory_test,419,157,pickle_13s,seen,no,yes,2.4855602000607178,51,61
1,001,20,f,r,memory_test,420,158,canoe_09s,unseen,,no,0.5494491999270394,52,61
1,001,20,f,r,memory_test,421,159,saltshaker_08s,unseen,,no,0.6742622000165284,52,61
1,001,20,f,r,memory_test,422,160,canoe_06s,seen,no,no,0.8608313000295311,51,62
1,001,20,f,r,memory_test,423,161,garlic_05s,seen,no,no,0.7397814000723884,51,62
1,001,20,f,r,memory_test,424,162,quiche_07s,seen,no,yes,1.6855492000468075,51,61
1,001,20,f,r,memory_test,425,163,saffron_02s,unseen,,no,0.709184700041078,52,61
1,001,20,f,r,memory_test,426,164,banana_03s,unseen,,no,0.6483424999751151,52,61
1,001,20,f,r,memory_test,427,165,breadstick_14s,seen,no,no,1.0072949000168592,51,62
1,001,20,f,r,memory_test,428,166,egg_roll_07n,seen,no,yes,0.8402694000396878,51,61
1,001,20,f,r,memory_test,429,167,crouton_12s,seen,no,yes,0.8963651999365538,51,61
1,001,20,f,r,memory_test,430,168,taffy_07s,unseen,,no,0.9004411000059918,52,61
1,001,20,f,r,memory_test,431,169,kimono_02s,seen,no,yes,0.8673770999303088,51,61
1,001,20,f,r,memory_test,432,170,pumpkin_16s,seen,yes,yes,1.9353133999975398,51,61
1,001,20,f,r,memory_test,433,171,elephant_07n,seen,yes,no,0.7436775000533089,51,62
1,001,20,f,r,memory_test,434,172,garlic_03s,unseen,,no,0.7144328000722453,52,61
1,001,20,f,r,memory_test,435,173,barrette_09s,unseen,,no,0.6915388000197709,52,61
1,001,20,f,r,memory_test,436,174,sloth_02s,unseen,,yes,0.7553297999547794,52,62
1,001,20,f,r,memory_test,437,175,paintbrush_12s,seen,yes,no,1.1567572000203654,51,62
1,001,20,f,r,memory_test,438,176,ham_11s,unseen,,no,0.6977040999336168,52,61
1,001,20,f,r,memory_test,439,177,dip_11s,unseen,,yes,0.9312288999790326,52,62
1,001,20,f,r,memory_test,440,178,hairbrush_12s,seen,no,no,0.7135208999970928,51,62
1,001,20,f,r,memory_test,441,179,tack_09s,unseen,,no,0.792107000015676,52,61
1,001,20,f,r,memory_test,442,180,chopsticks_05s,unseen,,yes,1.0477108999621123,52,62
1,001,20,f,r,memory_test,443,181,beanbag_13s,unseen,,no,0.8622557999333367,52,61
1,001,20,f,r,memory_test,444,182,bib_13n,seen,yes,no,0.6213610999984667,51,62
1,001,20,f,r,memory_test,445,183,cat_01b,seen,no,no,1.3435696000233293,51,62
1,001,20,f,r,memory_test,446,184,hamster_07s,seen,yes,no,0.5531604000134394,51,62
1,001,20,f,r,memory_test,447,185,keyboard_07s,seen,no,yes,0.7531995000317693,51,61
1,001,20,f,r,memory_test,448,186,pencil_sharpener_11s,seen,yes,yes,0.9585475999629125,51,61
1,001,20,f,r,memory_test,449,187,avocado_13s,seen,no,yes,0.7339078000513837,51,61
1,001,20,f,r,memory_test,450,188,pants_03s,seen,yes,no,0.5627624000189826,51,62
1,001,20,f,r,memory_test,451,189,crutch_01b,seen,no,no,0.8190369000658393,51,62
1,001,20,f,r,memory_test,452,190,wallet_04s,unseen,,no,0.8133041999535635,52,61
1,001,20,f,r,memory_test,453,191,snack_02s,unseen,,no,0.6443645999534056,52,61
1,001,20,f,r,memory_test,454,192,zebra_11s,seen,yes,no,0.7635798999108374,51,62
1,001,20,f,r,memory_test,455,193,faucet_09s,seen,no,no,0.829597600037232,51,62
1,001,20,f,r,memory_test,456,194,jumpsuit_13s,unseen,,no,0.49377399997320026,52,61
1,001,20,f,r,memory_test,457,195,toothbrush_05s,unseen,,no,0.9615252999356017,52,61
1,001,20,f,r,memory_test,458,196,skewer_09s,unseen,,no,0.5903787000570446,52,61
1,001,20,f,r,memory_test,459,197,headband_09s,seen,yes,no,0.5348026999272406,51,62
1,001,20,f,r,memory_test,460,198,spacesuit_06s,seen,yes,no,0.5532412999309599,51,62
1,001,20,f,r,memory_test,461,199,ketchup_15s,seen,no,no,0.5652239000191912,51,62
1,001,20,f,r,memory_test,462,200,curling_iron_04s,unseen,,no,0.5455230000661686,52,61
