participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,trial_level,item_type,mem_response,mem_rt,mem_trigger_fix,mem_trigger_onset,mem_trigger_resp
3,001,21,f,r,memory_test,261,1,cardigan_11s,unseen,,,,no,3.3054113000107463,85,55,61
3,001,21,f,r,memory_test,262,2,bib_13n,unseen,,,,no,1.2089044000022113,85,55,61
3,001,21,f,r,memory_test,263,3,coverall_11s,seen,yes,high,controlled,yes,1.475095700006932,82,52,61
3,001,21,f,r,memory_test,264,4,spider_web_06s,seen,yes,low,controlled,yes,0.7442151999857742,81,51,61
3,001,21,f,r,memory_test,265,5,shorts_12s,unseen,,,,no,0.985329199989792,85,55,61
3,001,21,f,r,memory_test,266,6,icicle_12s,seen,no,low,uncontrolled,no,2.1343750999949407,83,53,62
3,001,21,f,r,memory_test,267,7,comic_book_08s,seen,yes,high,controlled,yes,1.2292938000173308,82,52,61
3,001,21,f,r,memory_test,268,8,chalk_02s,seen,yes,low,controlled,yes,0.6616737000003923,81,51,61
3,001,21,f,r,memory_test,269,9,skewer_09s,unseen,,,,no,0.957546799996635,85,55,61
3,001,21,f,r,memory_test,270,10,patty_09s,unseen,,,,no,0.8104527000105008,85,55,61
3,001,21,f,r,memory_test,271,11,spaghetti_07s,unseen,,,,no,2.3708984999975655,85,55,61
3,001,21,f,r,memory_test,272,12,stair_16s,unseen,,,,no,4.580529899976682,85,55,61
3,001,21,f,r,memory_test,273,13,sarcophagus_08s,seen,yes,high,controlled,yes,1.5661029000184499,82,52,61
3,001,21,f,r,memory_test,274,14,dip_04s,seen,no,low,uncontrolled,yes,2.0055301999964286,83,53,61
3,001,21,f,r,memory_test,275,15,hobbyhorse_04s,seen,no,high,uncontrolled,no,0.9166254999872763,84,54,62
3,001,21,f,r,memory_test,276,16,roll_01b,seen,yes,high,controlled,yes,0.852206900017336,82,52,61
3,001,21,f,r,memory_test,277,17,dumpling_13s,seen,no,high,uncontrolled,yes,0.7440095999918412,84,54,61
3,001,21,f,r,memory_test,278,18,veil_01s,seen,yes,low,controlled,no,4.4174414000008255,81,51,62
3,001,21,f,r,memory_test,279,19,blindfold_16s,unseen,,,,no,2.7589840999862645,85,55,61
3,001,21,f,r,memory_test,280,20,pie_02s,unseen,,,,no,2.4366700000246055,85,55,61
3,001,21,f,r,memory_test,281,21,peppermint_02s,seen,yes,low,controlled,yes,2.418430099991383,81,51,61
3,001,21,f,r,memory_test,282,22,spacesuit_12s,unseen,,,,no,1.0575084000010975,85,55,61
3,001,21,f,r,memory_test,283,23,ginger_10s,unseen,,,,no,1.5876614000007976,85,55,61
3,001,21,f,r,memory_test,284,24,sorbet_07s,unseen,,,,no,2.6951468999905046,85,55,61
3,001,21,f,r,memory_test,285,25,marshmallow_12s,seen,yes,high,controlled,yes,0.9947362000239082,82,52,61
3,001,21,f,r,memory_test,286,26,float_04s,unseen,,,,no,1.141430899995612,85,55,61
3,001,21,f,r,memory_test,287,27,robe_10s,unseen,,,,yes,2.6912701999826822,85,55,62
3,001,21,f,r,memory_test,288,28,dreidel_13s,seen,yes,low,controlled,yes,1.0761309999797959,81,51,61
3,001,21,f,r,memory_test,289,29,belt_14s,seen,yes,low,controlled,yes,1.671399399987422,81,51,61
3,001,21,f,r,memory_test,290,30,pants_11s,unseen,,,,no,1.03727020000224,85,55,61
3,001,21,f,r,memory_test,291,31,cross_05s,unseen,,,,no,1.2898775999783538,85,55,61
3,001,21,f,r,memory_test,292,32,tomato_sauce_14s,seen,no,high,uncontrolled,yes,0.9088769000081811,84,54,61
3,001,21,f,r,memory_test,293,33,hot_tub_07s,seen,yes,low,controlled,yes,1.8903140000184067,81,51,61
3,001,21,f,r,memory_test,294,34,sausage_08s,seen,yes,low,controlled,yes,0.7726751000154763,81,51,61
3,001,21,f,r,memory_test,295,35,corset_09s,seen,yes,low,controlled,yes,1.0357269999803975,81,51,61
