participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,trial_level,item_type,mem_response,mem_rt,mem_trigger_fix,mem_trigger_onset,mem_trigger_resp
24,001,23,f,r,memory_test,261,1,lego_12s,seen,yes,high,controlled,yes,3.5542458998970687,82,52,61
24,001,23,f,r,memory_test,262,2,ice_pack_10s,unseen,,,,no,1.3918377000372857,85,55,61
24,001,23,f,r,memory_test,263,3,chaps_14s,seen,yes,high,controlled,yes,0.869319099932909,82,52,61
24,001,23,f,r,memory_test,264,4,turf_07s,seen,yes,low,controlled,no,0.8142488999292254,81,51,62
24,001,23,f,r,memory_test,265,5,microscope_14n,unseen,,,,no,1.24705780018121,85,55,61
24,001,23,f,r,memory_test,266,6,curling_iron_03s,seen,yes,low,controlled,no,0.8524078000336885,81,51,62
24,001,23,f,r,memory_test,267,7,washing_machine_06s,unseen,,,,no,1.0159734000917524,85,55,61
24,001,23,f,r,memory_test,268,8,domino_02s,unseen,,,,no,0.6799512999132276,85,55,61
24,001,23,f,r,memory_test,269,9,chocolate_11s,unseen,,,,no,0.693282299907878,85,55,61
24,001,23,f,r,memory_test,270,10,cummerbund_15s,unseen,,,,no,0.8424660000018775,85,55,61
24,001,23,f,r,memory_test,271,11,piecrust_13s,unseen,,,,no,0.776835500029847,85,55,61
24,001,23,f,r,memory_test,272,12,grapefruit_09s,seen,no,high,uncontrolled,yes,0.7455795998685062,84,54,61
24,001,23,f,r,memory_test,273,13,sauerkraut_03s,unseen,,,,no,0.8996296001132578,85,55,61
24,001,23,f,r,memory_test,274,14,raisin_14s,unseen,,,,no,0.6428269001189619,85,55,61
24,001,23,f,r,memory_test,275,15,stamp1_05s,seen,yes,high,controlled,no,0.6867056000046432,82,52,62
24,001,23,f,r,memory_test,276,16,plaster_cast_13s,seen,no,low,uncontrolled,yes,0.6949843000620604,83,53,61
24,001,23,f,r,memory_test,277,17,baklava_11s,seen,no,low,uncontrolled,yes,0.5856073999311775,83,53,61
24,001,23,f,r,memory_test,278,18,trombone_14s,seen,yes,high,controlled,no,0.8411625998560339,82,52,62
24,001,23,f,r,memory_test,279,19,gearshift_11n,unseen,,,,no,0.9082341999746859,85,55,61
24,001,23,f,r,memory_test,280,20,garter_02s,seen,yes,high,controlled,yes,0.8182500000111759,82,52,61
24,001,23,f,r,memory_test,281,21,unicycle_03s,unseen,,,,no,0.8154118999373168,85,55,61
24,001,23,f,r,memory_test,282,22,wetsuit_09s,seen,no,high,uncontrolled,yes,0.7245904998853803,84,54,61
24,001,23,f,r,memory_test,283,23,snowball_01b,seen,no,high,uncontrolled,yes,1.2229204999748617,84,54,61
24,001,23,f,r,memory_test,284,24,bubble_wrap_11s,unseen,,,,no,0.759836700046435,85,55,61
24,001,23,f,r,memory_test,285,25,headscarf_07s,seen,no,low,uncontrolled,no,1.5267314000520855,83,53,62
24,001,23,f,r,memory_test,286,26,ginger_10s,unseen,,,,no,0.8773338999599218,85,55,61
24,001,23,f,r,memory_test,287,27,tortellini_06s,unseen,,,,no,1.159381699981168,85,55,61
24,001,23,f,r,memory_test,288,28,hood_06s,seen,yes,high,controlled,no,0.8233040000777692,82,52,62
24,001,23,f,r,memory_test,289,29,pallet_11s,unseen,,,,no,1.1052492999006063,85,55,61
24,001,23,f,r,memory_test,290,30,corset_09s,seen,yes,high,controlled,yes,0.8144054000731558,82,52,61
24,001,23,f,r,memory_test,291,31,footbath_02s,seen,no,low,uncontrolled,yes,0.8086438998579979,83,53,61
24,001,23,f,r,memory_test,292,32,pancake_08s,seen,no,high,uncontrolled,yes,0.6899421999696642,84,54,61
24,001,23,f,r,memory_test,293,33,sewage_01b,unseen,,,,no,1.0411249999888241,85,55,61
24,001,23,f,r,memory_test,294,34,dishrag_10s,unseen,,,,no,0.8295738999731839,85,55,61
24,001,23,f,r,memory_test,295,35,step_stool_06s,seen,no,low,uncontrolled,no,0.8587821000255644,83,53,62
24,001,23,f,r,memory_test,296,36,cantaloupe_07s,unseen,,,,no,0.6855155997909606,85,55,61
24,001,23,f,r,memory_test,297,37,pencil_sharpener_11s,unseen,,,,no,0.8903306000865996,85,55,61
24,001,23,f,r,memory_test,298,38,undershirt_04s,seen,no,low,uncontrolled,no,1.0005636001005769,83,53,62
24,001,23,f,r,memory_test,299,39,figurine_11s,seen,no,high,uncontrolled,no,0.8005001000128686,84,54,62
24,001,23,f,r,memory_test,300,40,harness_03s,unseen,,,,no,0.7549655998591334,85,55,61
24,001,23,f,r,memory_test,301,41,gavel_02s,unseen,,,,no,0.6846408999990672,85,55,61
24,001,23,f,r,memory_test,302,42,dumpling_13s,seen,yes,high,controlled,no,0.7607127998489887,82,52,62
24,001,23,f,r,memory_test,303,43,pinball_09s,seen,yes,high,controlled,no,0.704880100209266,82,52,62
24,001,23,f,r,memory_test,304,44,burrito_05s,seen,no,low,uncontrolled,yes,1.8147470999974757,83,53,61
24,001,23,f,r,memory_test,305,45,earplug_01b,unseen,,,,no,0.8590072998777032,85,55,61
24,001,23,f,r,memory_test,306,46,nail_polish_03s,unseen,,,,no,0.6980510000139475,85,55,61
24,001,23,f,r,memory_test,307,47,wrap_09s,seen,yes,high,controlled,yes,0.6623440999537706,82,52,61
24,001,23,f,r,memory_test,308,48,eggshell_13s,unseen,,,,no,0.7606082998681813,85,55,61
24,001,23,f,r,memory_test,309,49,mannequin_03s,unseen,,,,no,0.7719413000158966,85,55,61
24,001,23,f,r,memory_test,310,50,sweatsuit_06s,unseen,,,,yes,0.895499600097537,85,55,62
24,001,23,f,r,memory_test,311,51,juicer1_09s,unseen,,,,no,0.6598105998709798,85,55,61
24,001,23,f,r,memory_test,312,52,blueberry_07s,unseen,,,,no,0.7591215001884848,85,55,61
24,001,23,f,r,memory_test,313,53,chalk_02s,seen,yes,low,controlled,yes,0.8624837999232113,81,51,61
24,001,23,f,r,memory_test,314,54,kimono_06s,unseen,,,,no,0.7300503000151366,85,55,61
24,001,23,f,r,memory_test,315,55,mop_01b,unseen,,,,no,0.755901399999857,85,55,61
24,001,23,f,r,memory_test,316,56,dollhouse_12s,unseen,,,,no,0.6596336998045444,85,55,61
24,001,23,f,r,memory_test,317,57,bulletproof_vest_03s,seen,yes,high,controlled,no,0.5795230001676828,82,52,62
24,001,23,f,r,memory_test,318,58,cufflink_05s,unseen,,,,no,0.6880948001053184,85,55,61
24,001,23,f,r,memory_test,319,59,bracket_05s,unseen,,,,no,0.6870905000250787,85,55,61
24,001,23,f,r,memory_test,320,60,headrest_10s,unseen,,,,no,1.00376130011864,85,55,61
24,001,23,f,r,memory_test,321,61,light_switch_17s,seen,yes,low,controlled,no,1.0025839000009,81,51,62
24,001,23,f,r,memory_test,322,62,lollipop_01b,seen,yes,low,controlled,yes,1.0189439000096172,81,51,61
24,001,23,f,r,memory_test,323,63,money_14s,seen,no,low,uncontrolled,yes,1.0403382000513375,83,53,61
24,001,23,f,r,memory_test,324,64,omelet_16s,unseen,,,,no,1.2419443998951465,85,55,61
24,001,23,f,r,memory_test,325,65,toast_13s,seen,yes,low,controlled,no,2.2562432999257,81,51,62
24,001,23,f,r,memory_test,326,66,olive_12s,unseen,,,,no,0.7540349001064897,85,55,61
