participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,trial_level,item_type,mem_response,mem_rt,mem_trigger_fix,mem_trigger_onset,mem_trigger_resp
19,001,24,f,r,memory_test,241,1,shaving_cream_05s,unseen,,,,no,1.4289406999014318,85,55,61
19,001,24,f,r,memory_test,242,2,playing_card_12s,seen,no,high,uncontrolled,no,0.883875299943611,84,54,62
19,001,24,f,r,memory_test,243,3,suspenders_09s,unseen,,,,no,0.8734657999593765,85,55,61
19,001,24,f,r,memory_test,244,4,gas_mask_01b,seen,no,low,uncontrolled,no,0.9071739001665264,83,53,62
19,001,24,f,r,memory_test,245,5,test_tube_17s,unseen,,,,no,0.7841654000803828,85,55,61
19,001,24,f,r,memory_test,246,6,sweater_13s,unseen,,,,no,0.8967315999325365,85,55,61
19,001,24,f,r,memory_test,247,7,rice_04s,unseen,,,,no,0.7806063999887556,85,55,61
19,001,24,f,r,memory_test,248,8,doorstop_06s,unseen,,,,no,0.7088662998285145,85,55,61
19,001,24,f,r,memory_test,249,9,marker_08s,seen,no,low,uncontrolled,yes,0.9635028999764472,83,53,61
19,001,24,f,r,memory_test,250,10,blower_10s,seen,no,high,uncontrolled,no,1.1146117998287082,84,54,62
19,001,24,f,r,memory_test,251,11,rollerskate_12s,unseen,,,,no,1.5803655001800507,85,55,61
19,001,24,f,r,memory_test,252,12,bin_01b,seen,no,high,uncontrolled,no,0.7002528999000788,84,54,62
19,001,24,f,r,memory_test,253,13,curling_iron_03s,seen,no,high,uncontrolled,yes,0.5923037999309599,84,54,61
19,001,24,f,r,memory_test,254,14,toga_04s,unseen,,,,no,0.7283540000207722,85,55,61
19,001,24,f,r,memory_test,255,15,trombone_14s,seen,no,low,uncontrolled,no,0.8849033999722451,83,53,62
19,001,24,f,r,memory_test,256,16,crucifix_09s,seen,yes,low,controlled,yes,0.6652146000415087,81,51,61
19,001,24,f,r,memory_test,257,17,hydrant_12s,seen,no,high,uncontrolled,yes,0.801125600002706,84,54,61
19,001,24,f,r,memory_test,258,18,headrest_10s,unseen,,,,no,0.6518931000027806,85,55,61
19,001,24,f,r,memory_test,259,19,lego_12s,seen,yes,high,controlled,yes,0.6905016999226063,82,52,61
19,001,24,f,r,memory_test,260,20,chaps_14s,seen,yes,low,controlled,no,1.005563799990341,81,51,62
19,001,24,f,r,memory_test,261,21,paint_01b,seen,no,low,uncontrolled,no,0.9373336001299322,83,53,62
19,001,24,f,r,memory_test,262,22,insole_02s,unseen,,,,no,1.4125160002149642,85,55,61
19,001,24,f,r,memory_test,263,23,lighter_08s,unseen,,,,no,0.9130257000215352,85,55,61
19,001,24,f,r,memory_test,264,24,bikini_09s,unseen,,,,no,0.6792923000175506,85,55,61
19,001,24,f,r,memory_test,265,25,seesaw_03s,unseen,,,,no,0.7529424999374896,85,55,61
19,001,24,f,r,memory_test,266,26,vending_machine_03s,seen,no,high,uncontrolled,no,0.7103905000258237,84,54,62
19,001,24,f,r,memory_test,267,27,domino_02s,unseen,,,,no,0.6888011998962611,85,55,61
19,001,24,f,r,memory_test,268,28,crutch_11s,unseen,,,,no,0.6941607999615371,85,55,61
19,001,24,f,r,memory_test,269,29,drumstick_03s,unseen,,,,no,0.7488612998276949,85,55,61
19,001,24,f,r,memory_test,270,30,sauerkraut_03s,unseen,,,,no,0.6535213000606745,85,55,61
19,001,24,f,r,memory_test,271,31,sponge_02s,unseen,,,,no,0.5765333999879658,85,55,61
19,001,24,f,r,memory_test,272,32,snowman_03s,seen,no,low,uncontrolled,yes,0.5997884999960661,83,53,61
19,001,24,f,r,memory_test,273,33,prune_04s,unseen,,,,no,0.6181602999567986,85,55,61
19,001,24,f,r,memory_test,274,34,quiche_11s,unseen,,,,no,0.6150352000258863,85,55,61
19,001,24,f,r,memory_test,275,35,handbrake_03s,seen,yes,high,controlled,yes,0.786890999879688,82,52,61
19,001,24,f,r,memory_test,276,36,sarcophagus_08s,seen,yes,high,controlled,yes,1.10780890006572,82,52,61
19,001,24,f,r,memory_test,277,37,meatloaf_09s,unseen,,,,no,0.6819982000160962,85,55,61
19,001,24,f,r,memory_test,278,38,chocolate_11s,unseen,,,,no,0.6880816000048071,85,55,61
19,001,24,f,r,memory_test,279,39,dumbbell_10s,seen,yes,high,controlled,no,0.6838743002153933,82,52,62
19,001,24,f,r,memory_test,280,40,slot_machine_05s,seen,no,high,uncontrolled,yes,0.8726889998652041,84,54,61
19,001,24,f,r,memory_test,281,41,saffron_12s,unseen,,,,no,0.6584404997993261,85,55,61
19,001,24,f,r,memory_test,282,42,doorknocker_08s,seen,no,high,uncontrolled,no,0.6886277000885457,84,54,62
19,001,24,f,r,memory_test,283,43,chicken1_08s,seen,yes,high,controlled,yes,0.8457909999415278,82,52,61
19,001,24,f,r,memory_test,284,44,jumpsuit_11s,seen,no,low,uncontrolled,no,0.773859100183472,83,53,62
19,001,24,f,r,memory_test,285,45,scoop_12s,unseen,,,,no,0.8555788001976907,85,55,61
19,001,24,f,r,memory_test,286,46,ice_cream_10s,unseen,,,,no,1.1662745999637991,85,55,61
19,001,24,f,r,memory_test,287,47,nutcracker_06s,seen,yes,high,controlled,yes,0.6711363999638706,82,52,61
19,001,24,f,r,memory_test,288,48,dreidel_13s,seen,no,low,uncontrolled,yes,1.134919200092554,83,53,61
19,001,24,f,r,memory_test,289,49,pillbox_13s,seen,no,low,uncontrolled,yes,0.6566749999765307,83,53,61
19,001,24,f,r,memory_test,290,50,bracelet2_08s,seen,no,high,uncontrolled,no,0.7910315999761224,84,54,62
19,001,24,f,r,memory_test,291,51,gum_10s,seen,yes,high,controlled,yes,0.8396455000620335,82,52,61
19,001,24,f,r,memory_test,292,52,football_04s,seen,yes,low,controlled,yes,0.9227308998815715,81,51,61
19,001,24,f,r,memory_test,293,53,battery_10s,unseen,,,,no,0.7111948998644948,85,55,61
19,001,24,f,r,memory_test,294,54,guacamole_14s,unseen,,,,no,1.430918199941516,85,55,61
19,001,24,f,r,memory_test,295,55,chalk_02s,seen,no,low,uncontrolled,yes,0.7248744999524206,83,53,61
19,001,24,f,r,memory_test,296,56,tee_01b,seen,no,low,uncontrolled,yes,0.641851200023666,83,53,61
19,001,24,f,r,memory_test,297,57,hot_chocolate_12s,seen,no,low,uncontrolled,no,0.7511473000049591,83,53,62
19,001,24,f,r,memory_test,298,58,taco_01b,unseen,,,,no,0.7126635999884456,85,55,61
19,001,24,f,r,memory_test,299,59,coaster_08s,unseen,,,,no,1.0211507000494748,85,55,61
19,001,24,f,r,memory_test,300,60,eclair_13s,unseen,,,,no,0.668604499893263,85,55,61
19,001,24,f,r,memory_test,301,61,wrench_04s,unseen,,,,yes,0.6332953001838177,85,55,62
19,001,24,f,r,memory_test,302,62,coffee_13s,seen,no,high,uncontrolled,no,0.7294741999357939,84,54,62
19,001,24,f,r,memory_test,303,63,belt_14s,seen,yes,low,controlled,no,0.7434900999069214,81,51,62
19,001,24,f,r,memory_test,304,64,blueberry_07s,unseen,,,,no,0.704747699899599,85,55,61
19,001,24,f,r,memory_test,305,65,air_mattress_13s,unseen,,,,no,0.6382477001752704,85,55,61
19,001,24,f,r,memory_test,306,66,cufflink_05s,unseen,,,,no,0.6710638001095504,85,55,61
19,001,24,f,r,memory_test,307,67,pinball_09s,seen,no,high,uncontrolled,yes,0.7289589999709278,84,54,61
19,001,24,f,r,memory_test,308,68,bagel_11s,unseen,,,,no,0.6476545000914484,85,55,61
19,001,24,f,r,memory_test,309,69,hood_06s,seen,yes,low,controlled,no,0.9150285997893661,81,51,62
19,001,24,f,r,memory_test,310,70,cornhusk_03s,unseen,,,,no,0.6690356000326574,85,55,61
19,001,24,f,r,memory_test,311,71,thumbtack_15n,seen,no,high,uncontrolled,yes,0.7520091000478715,84,54,61
19,001,24,f,r,memory_test,312,72,coverall_11s,seen,yes,low,controlled,no,0.6667629999574274,81,51,62
19,001,24,f,r,memory_test,313,73,waffle_17s,unseen,,,,no,0.6702521000988781,85,55,61
19,001,24,f,r,memory_test,314,74,whisk_04s,unseen,,,,no,0.6628584999125451,85,55,61
19,001,24,f,r,memory_test,315,75,pipe1_10s,unseen,,,,no,0.7557725999504328,85,55,61
19,001,24,f,r,memory_test,316,76,yolk_11s,unseen,,,,no,0.6784089000429958,85,55,61
19,001,24,f,r,memory_test,317,77,dishrag_10s,unseen,,,,yes,0.7045316998846829,85,55,62
19,001,24,f,r,memory_test,318,78,light_switch_17s,seen,no,high,uncontrolled,no,0.6276813999284059,84,54,62
19,001,24,f,r,memory_test,319,79,pie_02s,unseen,,,,no,0.6377499001100659,85,55,61
19,001,24,f,r,memory_test,320,80,crystal1_05s,unseen,,,,no,0.4629649000708014,85,55,61
19,001,24,f,r,memory_test,321,81,candy_10s,seen,yes,low,controlled,yes,0.998054499970749,81,51,61
19,001,24,f,r,memory_test,322,82,hobbyhorse_04s,seen,yes,low,controlled,no,0.7351116999052465,81,51,62
19,001,24,f,r,memory_test,323,83,sock_13s,seen,yes,low,controlled,no,0.6267575998790562,81,51,62
19,001,24,f,r,memory_test,324,84,straw2_09s,unseen,,,,no,0.8448419000487775,85,55,61
19,001,24,f,r,memory_test,325,85,undershirt_04s,seen,no,high,uncontrolled,no,0.6694582998752594,84,54,62
19,001,24,f,r,memory_test,326,86,dice_14s,seen,yes,high,controlled,yes,1.537193899974227,82,52,61
19,001,24,f,r,memory_test,327,87,steak_15s,unseen,,,,no,0.5271159000694752,85,55,61
19,001,24,f,r,memory_test,328,88,sweet_potato_07s,unseen,,,,no,0.7829329001251608,85,55,61
19,001,24,f,r,memory_test,329,89,bracket_05s,unseen,,,,no,0.6083803998772055,85,55,61
19,001,24,f,r,memory_test,330,90,tent_12s,seen,no,low,uncontrolled,no,0.5247119998093694,83,53,62
19,001,24,f,r,memory_test,331,91,omelet_16s,unseen,,,,no,0.6235108999535441,85,55,61
19,001,24,f,r,memory_test,332,92,peach_09n,seen,no,low,uncontrolled,no,0.5574455000460148,83,53,62
19,001,24,f,r,memory_test,333,93,skirt_02s,seen,no,low,uncontrolled,no,0.49496439984068274,83,53,62
19,001,24,f,r,memory_test,334,94,match_07s,unseen,,,,no,0.6321010000538081,85,55,61
19,001,24,f,r,memory_test,335,95,clothespin_08s,seen,yes,high,controlled,yes,0.8054887000471354,82,52,61
19,001,24,f,r,memory_test,336,96,jam_01b,unseen,,,,no,0.6120128000620753,85,55,61
19,001,24,f,r,memory_test,337,97,stamp1_05s,seen,yes,low,controlled,yes,0.6584413000382483,81,51,61
19,001,24,f,r,memory_test,338,98,joystick_02s,seen,yes,high,controlled,no,0.7272862999234349,82,52,62
19,001,24,f,r,memory_test,339,99,suit_14s,seen,yes,high,controlled,yes,1.3409118000417948,82,52,61
19,001,24,f,r,memory_test,340,100,piecrust_13s,unseen,,,,no,0.6254447000101209,85,55,61
19,001,24,f,r,memory_test,341,101,glove_11s,unseen,,,,no,1.3817265001125634,85,55,61
19,001,24,f,r,memory_test,342,102,toilet_12s,unseen,,,,no,0.883056899998337,85,55,61
19,001,24,f,r,memory_test,343,103,coffin_06s,unseen,,,,no,0.5968412000220269,85,55,61
19,001,24,f,r,memory_test,344,104,soy_sauce_10s,unseen,,,,no,0.7133423001505435,85,55,61
19,001,24,f,r,memory_test,345,105,wrap_09s,seen,yes,high,controlled,no,0.5685354000888765,82,52,62
19,001,24,f,r,memory_test,346,106,locker_12s,unseen,,,,no,0.6311273998580873,85,55,61
19,001,24,f,r,memory_test,347,107,scrambled_egg_12s,unseen,,,,no,0.5652801000978798,85,55,61
19,001,24,f,r,memory_test,348,108,cookie_11s,seen,no,low,uncontrolled,no,0.5502113001421094,83,53,62
19,001,24,f,r,memory_test,349,109,touchpad_11s,unseen,,,,no,0.5071549001149833,85,55,61
19,001,24,f,r,memory_test,350,110,ticktacktoe_09s,seen,yes,low,controlled,no,0.5939639999996871,81,51,62
19,001,24,f,r,memory_test,351,111,lamb_chop_18s,seen,no,high,uncontrolled,no,0.5404793000780046,84,54,62
19,001,24,f,r,memory_test,352,112,subway_13s,unseen,,,,no,0.8243696000427008,85,55,61
19,001,24,f,r,memory_test,353,113,veil_01s,seen,yes,low,controlled,no,0.8311326999682933,81,51,62
19,001,24,f,r,memory_test,354,114,toothpaste_10s,unseen,,,,no,0.6681102998554707,85,55,61
19,001,24,f,r,memory_test,355,115,tiramisu_12s,seen,no,high,uncontrolled,no,0.6083616001997143,84,54,62
19,001,24,f,r,memory_test,356,116,tiara_08s,seen,yes,low,controlled,no,0.7623554999008775,81,51,62
19,001,24,f,r,memory_test,357,117,egg_roll_07n,unseen,,,,no,0.5873926999047399,85,55,61
19,001,24,f,r,memory_test,358,118,spider_web_06s,seen,no,low,uncontrolled,yes,0.5732154999859631,83,53,61
19,001,24,f,r,memory_test,359,119,toast_13s,seen,yes,high,controlled,no,0.6290938998572528,82,52,62
19,001,24,f,r,memory_test,360,120,applesauce_05s,unseen,,,,no,0.6857956999447197,85,55,61
19,001,24,f,r,memory_test,361,121,shoelace_06s,seen,no,low,uncontrolled,yes,0.7856903998181224,83,53,61
19,001,24,f,r,memory_test,362,122,fur_coat_12s,seen,yes,low,controlled,no,1.1986547999549657,81,51,62
19,001,24,f,r,memory_test,363,123,bowling_ball_01b,seen,no,high,uncontrolled,no,1.014333999948576,84,54,62
19,001,24,f,r,memory_test,364,124,t-shirt_06s,seen,yes,high,controlled,yes,0.6717534998897463,82,52,61
19,001,24,f,r,memory_test,365,125,screw_05s,unseen,,,,yes,1.086333699990064,85,55,62
19,001,24,f,r,memory_test,366,126,tab_09s,unseen,,,,no,0.7400104000698775,85,55,61
19,001,24,f,r,memory_test,367,127,diskette_03s,unseen,,,,yes,0.9280620999634266,85,55,62
19,001,24,f,r,memory_test,368,128,toilet_paper_07s,unseen,,,,no,0.7055442999117076,85,55,61
19,001,24,f,r,memory_test,369,129,patty_09s,unseen,,,,no,0.5262171998620033,85,55,61
19,001,24,f,r,memory_test,370,130,ginger_10s,unseen,,,,no,1.865721199894324,85,55,61
19,001,24,f,r,memory_test,371,131,burrito_05s,seen,yes,low,controlled,no,0.5687933000735939,81,51,62
19,001,24,f,r,memory_test,372,132,caramel_09s,unseen,,,,no,0.6777272999752313,85,55,61
19,001,24,f,r,memory_test,373,133,breadstick_14s,seen,no,low,uncontrolled,no,0.49775899993255734,83,53,62
19,001,24,f,r,memory_test,374,134,turban_02s,seen,yes,low,controlled,yes,0.6210240998771042,81,51,61
19,001,24,f,r,memory_test,375,135,nail_file_05s,unseen,,,,no,0.7471068000886589,85,55,61
19,001,24,f,r,memory_test,376,136,belt_buckle_14s,seen,no,high,uncontrolled,no,1.3427140999119729,84,54,62
19,001,24,f,r,memory_test,377,137,toothbrush_12s,unseen,,,,no,0.7356827000621706,85,55,61
19,001,24,f,r,memory_test,378,138,spareribs_10s,seen,yes,high,controlled,no,0.7667792001739144,82,52,62
19,001,24,f,r,memory_test,379,139,nest_01b,unseen,,,,no,0.8606589999981225,85,55,61
19,001,24,f,r,memory_test,380,140,parfait_17s,seen,no,low,uncontrolled,no,0.7542328999843448,83,53,62
19,001,24,f,r,memory_test,381,141,jeans_07s,unseen,,,,no,0.8428037001285702,85,55,61
19,001,24,f,r,memory_test,382,142,punch2_01b,unseen,,,,yes,0.8640463999472558,85,55,62
19,001,24,f,r,memory_test,383,143,bean_04s,unseen,,,,no,0.602566100191325,85,55,61
19,001,24,f,r,memory_test,384,144,tamale_13s,seen,yes,high,controlled,no,0.6631017997860909,82,52,62
19,001,24,f,r,memory_test,385,145,french_fries_11s,seen,yes,high,controlled,no,0.8009384998586029,82,52,62
19,001,24,f,r,memory_test,386,146,cardigan_11s,unseen,,,,no,0.7290602000430226,85,55,61
19,001,24,f,r,memory_test,387,147,soap_06s,unseen,,,,no,0.5901534000877291,85,55,61
19,001,24,f,r,memory_test,388,148,bun_07s,unseen,,,,no,0.6781214000657201,85,55,61
19,001,24,f,r,memory_test,389,149,bunkbed_06s,unseen,,,,no,0.6078343000262976,85,55,61
19,001,24,f,r,memory_test,390,150,riser_11s,unseen,,,,no,0.5966118997894228,85,55,61
19,001,24,f,r,memory_test,391,151,skewer_09s,unseen,,,,no,0.7586330000776798,85,55,61
19,001,24,f,r,memory_test,392,152,sewage_01b,unseen,,,,no,0.8457953000906855,85,55,61
19,001,24,f,r,memory_test,393,153,bubble_wrap_11s,unseen,,,,no,0.6630881000310183,85,55,61
19,001,24,f,r,memory_test,394,154,banana_06s,seen,yes,low,controlled,no,0.644194999942556,81,51,62
19,001,24,f,r,memory_test,395,155,donut_15s,unseen,,,,yes,0.7748911001253873,85,55,62
19,001,24,f,r,memory_test,396,156,pickle_09s,seen,yes,high,controlled,yes,0.7208119998686016,82,52,61
19,001,24,f,r,memory_test,397,157,cardboard_07s,seen,no,high,uncontrolled,no,0.6224806997925043,84,54,62
19,001,24,f,r,memory_test,398,158,mop_01b,unseen,,,,no,0.4879878000356257,85,55,61
19,001,24,f,r,memory_test,399,159,highlighter_05s,seen,no,high,uncontrolled,yes,1.129960099933669,84,54,61
19,001,24,f,r,memory_test,400,160,chickpea_02s,seen,no,high,uncontrolled,no,0.5260955998674035,84,54,62
19,001,24,f,r,memory_test,401,161,braid_09s,unseen,,,,no,0.55110720009543,85,55,61
19,001,24,f,r,memory_test,402,162,cellphone_11s,seen,yes,high,controlled,no,0.5792890000157058,82,52,62
19,001,24,f,r,memory_test,403,163,swab_02s,unseen,,,,no,0.5873652999289334,85,55,61
19,001,24,f,r,memory_test,404,164,clipper1_01s,unseen,,,,no,0.8096044999547303,85,55,61
19,001,24,f,r,memory_test,405,165,honeycomb_08s,unseen,,,,no,0.8985658001620322,85,55,61
19,001,24,f,r,memory_test,406,166,target_14s,unseen,,,,no,0.9322924001608044,85,55,61
19,001,24,f,r,memory_test,407,167,clipper2_05s,unseen,,,,no,0.9101265000645071,85,55,61
19,001,24,f,r,memory_test,408,168,waffle_iron_14s,unseen,,,,no,0.5511800001841038,85,55,61
19,001,24,f,r,memory_test,409,169,refrigerator_11s,seen,yes,low,controlled,no,0.7285770000889897,81,51,62
19,001,24,f,r,memory_test,410,170,hot-water_bottle_05s,seen,yes,high,controlled,no,0.43657459993846714,82,52,62
19,001,24,f,r,memory_test,411,171,money_14s,seen,yes,high,controlled,yes,0.6668122999835759,82,52,61
19,001,24,f,r,memory_test,412,172,tube_top_10s,unseen,,,,no,0.53301199991256,85,55,61
19,001,24,f,r,memory_test,413,173,creme_brulee_07s,seen,no,high,uncontrolled,no,0.5523782998789102,84,54,62
19,001,24,f,r,memory_test,414,174,snorkel_05s,seen,no,low,uncontrolled,no,0.47697289986535907,83,53,62
19,001,24,f,r,memory_test,415,175,boxing_gloves_05s,unseen,,,,no,0.5711879001464695,85,55,61
19,001,24,f,r,memory_test,416,176,meatball_14s,seen,yes,low,controlled,no,0.5907516998704523,81,51,62
19,001,24,f,r,memory_test,417,177,float_04s,unseen,,,,no,0.4644108999054879,85,55,61
19,001,24,f,r,memory_test,418,178,salami_08s,unseen,,,,no,0.5028065000660717,85,55,61
19,001,24,f,r,memory_test,419,179,bowtie_14s,seen,yes,low,controlled,no,0.6043177000246942,81,51,62
19,001,24,f,r,memory_test,420,180,hook1_15s,seen,no,high,uncontrolled,no,0.5235826999414712,84,54,62
19,001,24,f,r,memory_test,421,181,corn_14s,seen,yes,high,controlled,no,0.5351946000009775,82,52,62
19,001,24,f,r,memory_test,422,182,candy_cane_06s,unseen,,,,no,0.527621999848634,85,55,61
19,001,24,f,r,memory_test,423,183,roll_01b,seen,yes,high,controlled,no,0.7652459000237286,82,52,62
19,001,24,f,r,memory_test,424,184,brick_09s,unseen,,,,no,0.6211384001653641,85,55,61
19,001,24,f,r,memory_test,425,185,cheeseburger_12s,seen,no,low,uncontrolled,no,0.5396338000427932,83,53,62
19,001,24,f,r,memory_test,426,186,cross_05s,unseen,,,,no,0.5498414998874068,85,55,61
19,001,24,f,r,memory_test,427,187,asparagus_07s,unseen,,,,no,0.6105945000890642,85,55,61
19,001,24,f,r,memory_test,428,188,cornbread_01b,unseen,,,,no,0.5343063999898732,85,55,61
19,001,24,f,r,memory_test,429,189,jelly_bean_13n,seen,no,high,uncontrolled,no,0.7295222000684589,84,54,62
19,001,24,f,r,memory_test,430,190,container_04s,seen,yes,low,controlled,no,0.5733763999305665,81,51,62
19,001,24,f,r,memory_test,431,191,leggings_12s,unseen,,,,no,0.6930891999509186,85,55,61
19,001,24,f,r,memory_test,432,192,scarecrow_09s,unseen,,,,no,0.5031783999875188,85,55,61
19,001,24,f,r,memory_test,433,193,shorts_12s,unseen,,,,no,0.5678137000650167,85,55,61
19,001,24,f,r,memory_test,434,194,cloak_13s,unseen,,,,no,0.6210578000172973,85,55,61
19,001,24,f,r,memory_test,435,195,crouton_12s,unseen,,,,no,0.6281054001301527,85,55,61
19,001,24,f,r,memory_test,436,196,noisemaker_05s,unseen,,,,no,0.78893329994753,85,55,61
19,001,24,f,r,memory_test,437,197,coal_08s,seen,no,high,uncontrolled,no,0.6781601998955011,84,54,62
19,001,24,f,r,memory_test,438,198,mannequin_03s,unseen,,,,no,0.5687313000671566,85,55,61
19,001,24,f,r,memory_test,439,199,lollipop_01b,seen,no,high,uncontrolled,no,0.6028815999161452,84,54,62
19,001,24,f,r,memory_test,440,200,bead_13s,unseen,,,,no,0.7381929000839591,85,55,61
19,001,24,f,r,memory_test,441,201,cork_10s,seen,no,high,uncontrolled,no,0.9953892999328673,84,54,62
19,001,24,f,r,memory_test,442,202,plaster_cast_13s,seen,no,high,uncontrolled,no,0.7370397998020053,84,54,62
19,001,24,f,r,memory_test,443,203,dip_04s,seen,yes,high,controlled,no,0.548929899930954,82,52,62
19,001,24,f,r,memory_test,444,204,straightjacket_05s,seen,no,high,uncontrolled,no,0.5858930998947471,84,54,62
19,001,24,f,r,memory_test,445,205,pistachio_11s,unseen,,,,no,0.41613500006496906,85,55,61
19,001,24,f,r,memory_test,446,206,phone_booth_06s,unseen,,,,no,0.5221432999242097,85,55,61
19,001,24,f,r,memory_test,447,207,ironing_board_01b,seen,yes,low,controlled,no,0.44606430013664067,81,51,62
19,001,24,f,r,memory_test,448,208,ukulele_14s,seen,yes,low,controlled,no,0.5313698998652399,81,51,62
19,001,24,f,r,memory_test,449,209,pomegranate_11n,seen,yes,high,controlled,no,0.5544689001981169,82,52,62
19,001,24,f,r,memory_test,450,210,pizza_03s,seen,yes,low,controlled,no,0.516200799960643,81,51,62
19,001,24,f,r,memory_test,451,211,squirt_gun_15s,seen,yes,low,controlled,no,0.7770203999243677,81,51,62
19,001,24,f,r,memory_test,452,212,teabag_09s,seen,no,high,uncontrolled,no,0.4741109998431057,84,54,62
