thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,trigger_agency_onset,target_is_left,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,1,14,001,25,f,r,calibration,0.75,2,-1,1,0.5981210736084265,0.3976423325602886,1,False,1.085186899988912,False,square,square,0.8833941500202273,11.534915090465644,2318.5179331835943,145.2093662010315,598,[np.int64(547)],0.49887896444510554,3.2323377588830704,2.050691472501904,0.0257364756811414,0.02148582368615677,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,2,14,001,25,f,r,calibration,0.75,2,-1,2,0.5350820483873121,0.14055915473515587,1,False,1.2346706000389531,False,square,square,0.8974722567509856,13.694514340538143,2684.124810745476,136.90155010079764,151,[np.int64(537)],0.3118133766571681,3.2082444668428995,2.0424419558677074,0.025480950703595955,0.02143037331807896,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,3,14,001,25,f,r,calibration,0.75,2,-1,3,0.5350820483873121,0.14055915473515587,1,False,1.640480799949728,False,dot,dot,0.8872830967337415,12.53849239038355,2319.6210922209566,173.1475596540593,1408,[np.int64(649)],0.12417907816641394,3.202036049568465,2.0413069970393267,0.025192955999298612,0.021365090692057793,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,4,14,001,25,f,r,calibration,0.75,2,-1,4,0.5350820483873121,0.14055915473515587,0,False,1.438281099894084,False,square,dot,0.767725280985752,8.907361487641488,1754.7502130653731,98.2285588769283,1534,[np.int64(835)],0.6424216613122528,3.170096692496163,2.0239566879749953,0.026124834759122362,0.02155787534328282,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,5,14,001,25,f,r,calibration,0.75,2,-1,5,0.6580745541515514,0.654725510385422,1,False,1.525485199992545,False,dot,dot,0.7538183189127918,7.932110742998231,1618.150591571639,128.83081967714006,295,[np.int64(604)],0.4947905161247408,3.1751085523532088,2.0272039568195948,0.025806639043253112,0.021492599013471756,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,6,14,001,25,f,r,calibration,0.75,2,-1,6,0.6580745541515514,0.654725510385422,1,False,0.9360520000336692,False,dot,dot,0.7264926250170547,13.240771314706082,2515.7465497941557,192.5586229075621,917,[np.int64(756)],0.3597337242450352,3.1962986139348915,2.037298111029081,0.02546513517296068,0.02141859047709078,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,7,14,001,25,f,r,calibration,0.75,2,-1,7,0.6580745541515514,0.654725510385422,1,False,1.1693562999134883,False,dot,dot,0.6915262206334819,19.598903094833577,3586.5992663545444,154.22536826185026,143,[np.int64(1462)],0.2414635995285861,3.231292721203804,2.05291392144706,0.02510467174749078,0.02133602451500708,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,8,14,001,25,f,r,calibration,0.75,2,-1,8,0.6580745541515514,0.654725510385422,1,False,0.8486055999528617,False,dot,dot,0.6545682951322127,12.616336816152971,2359.2549846206057,105.37417786121247,1487,[np.int64(1099)],0.14118869329373315,3.2775016219006923,2.072554176733881,0.024729604981744716,0.021245245636177454,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,9,14,001,25,f,r,calibration,0.75,2,-1,9,0.5981210736084265,0.3976423325602886,1,False,0.993672400014475,False,square,square,0.6265043327585201,18.47188419842031,3306.4672715172355,214.46693474406797,1443,[np.int64(111)],0.041894065168326625,3.3148900941331925,2.0893143297463292,0.024377588827485232,0.021155596223360697,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,10,14,001,25,f,r,calibration,0.75,2,-1,10,0.5350820483873121,0.14055915473515587,1,False,0.9926864999579266,False,square,square,0.6095398424312349,11.384505541590828,2094.7490196527124,166.04300930676322,759,[np.int64(696)],-0.05838604537689757,3.330712102548519,2.096090481290245,0.024055089920671995,0.02106967774272744,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,11,14,001,25,f,r,calibration,0.75,2,-1,11,0.47090191089840744,-0.11652402308997703,1,False,0.7727426000637934,False,dot,dot,0.6041634086248192,3.544891694548848,850.7740066917236,141.49190604170067,1517,[np.int64(1307)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,12,14,001,25,f,r,calibration,0.75,2,-1,12,0.47090191089840744,-0.11652402308997703,1,False,0.9122893000021577,False,square,square,0.5945972981211138,14.286710786300041,2643.0414954655075,157.9508952148817,1122,[np.int64(11)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,13,14,001,25,f,r,calibration,0.75,2,-1,13,0.40766968306220214,-0.37360720091511007,0,False,0.9049666998907924,False,dot,square,0.5148655516868441,11.351337062975581,2077.2946825245313,270.94893327024823,200,[np.int64(1544)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,14,14,001,25,f,r,calibration,0.75,2,-1,14,0.5981210736084265,0.3976423325602886,1,False,1.3110122999642044,False,square,square,0.4854882372164558,4.412889781506754,1385.6473913931209,67.71721461837541,1031,[np.int64(934)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,15,14,001,25,f,r,calibration,0.75,2,-1,15,0.5350820483873121,0.14055915473515587,1,False,0.6884365000296384,False,square,square,0.46602983214714333,5.1500554788969595,1251.463481371961,82.52876957463099,1042,[np.int64(722)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,16,14,001,25,f,r,calibration,0.75,2,-1,16,0.5350820483873121,0.14055915473515587,1,False,0.8305389999877661,False,dot,dot,0.44868617430543295,8.334901501074853,1608.6359897074467,124.9783288625242,310,[np.int64(1264)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,17,14,001,25,f,r,calibration,0.75,2,-1,17,0.47090191089840744,-0.11652402308997703,1,False,0.8597550999838859,False,dot,dot,0.44168664398619584,6.409693671517501,1384.4938330477803,168.7139466291333,522,[np.int64(1441)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,18,14,001,25,f,r,calibration,0.75,2,-1,18,0.47090191089840744,-0.11652402308997703,1,False,0.6605312000028789,False,square,square,0.434562253506828,-0.8240738654012609,-162.3425514840484,61.85279650074407,1342,[np.int64(849)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,19,14,001,25,f,r,calibration,0.75,2,-1,19,0.40766968306220214,-0.37360720091511007,0,False,0.7932317000813782,False,square,dot,0.3772111020295464,12.134038816242661,2208.3950645561645,144.0022099511909,95,[np.int64(777)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,20,14,001,25,f,r,calibration,0.75,2,-1,20,0.5350820483873121,0.14055915473515587,1,False,0.8442499000811949,False,dot,dot,0.360917401971124,5.4564106539059,1385.9283060920986,106.32314785839614,518,[np.int64(627)],-0.18877132774345398,3.7185720386591603,2.260703586476847,0.022772830048014926,0.020679818301527434,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,21,14,001,25,f,r,calibration,0.75,2,-1,21,0.47090191089840744,-0.11652402308997703,1,False,0.8547058999538422,False,dot,dot,0.3532481730272137,10.651914046811333,1938.6483565196627,157.79212906744723,80,[np.int64(1414)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,22,14,001,25,f,r,calibration,0.75,2,-1,22,0.47090191089840744,-0.11652402308997703,1,False,0.6537434000056237,False,dot,dot,0.34630773451539365,12.990380058188165,2572.0952515212566,142.12904075096472,1449,[np.int64(1321)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,23,14,001,25,f,r,calibration,0.75,2,-1,23,0.47090191089840744,-0.11652402308997703,0,False,1.1574825000716373,False,square,dot,0.3260698717112596,6.1108995554493735,1564.3902861950396,186.84402203176637,681,[np.int64(15)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,24,14,001,25,f,r,calibration,0.75,2,-1,24,0.5350820483873121,0.14055915473515587,0,False,0.9188744999701157,False,dot,square,0.3456785100845977,5.666206261720906,1569.539134496691,115.84114201289245,1411,[np.int64(521)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,25,14,001,25,f,r,calibration,0.75,2,-1,25,0.5981210736084265,0.3976423325602886,1,False,1.0057356000179425,False,square,square,0.32479526237948875,8.532147000378028,1578.447195069935,135.93119998060192,589,[np.int64(520)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,26,14,001,25,f,r,calibration,0.75,2,-1,26,0.5981210736084265,0.3976423325602886,1,False,1.1384487999603152,False,dot,dot,0.307842175045234,10.346110438199025,1903.6843206286208,149.51109731438876,75,[np.int64(4)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,27,14,001,25,f,r,calibration,0.75,2,-1,27,0.5350820483873121,0.14055915473515587,1,False,0.8442451999289915,False,dot,dot,0.2959232061089622,2.554300338261998,487.8713646080416,121.5364521191111,828,[np.int64(1514)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,28,14,001,25,f,r,calibration,0.75,2,-1,28,0.5350820483873121,0.14055915473515587,1,False,0.9764360000845045,False,dot,dot,0.28570442410064834,5.251003669813706,1034.4477229533,84.4430676627175,1548,[np.int64(1169)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,29,14,001,25,f,r,calibration,0.75,2,-1,29,0.5350820483873121,0.14055915473515587,1,False,2.025080200051889,False,dot,dot,0.2770382591108622,13.063639535538906,2377.582395468081,227.07072615379965,1502,[np.int64(591)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,30,14,001,25,f,r,calibration,0.75,2,-1,30,0.5350820483873121,0.14055915473515587,1,False,1.1467491999501362,False,square,square,0.2697551684244004,9.760680238752116,1903.3326465566624,106.90919722257534,1222,[np.int64(1230)],-0.1501326240043349,3.6862804927149355,2.2133527358018115,0.022794745560629208,0.020646690480061757,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,31,14,001,25,f,r,calibration,0.75,2,-1,31,0.47090191089840744,-0.11652402308997703,1,False,1.7920283999992535,False,dot,dot,0.2675083997339808,8.809387305315196,1805.9243975896154,141.8763806310759,183,[np.int64(470)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,32,14,001,25,f,r,calibration,0.75,2,-1,32,0.47090191089840744,-0.11652402308997703,0,False,1.2107347999699414,False,dot,square,0.2519723757960553,7.630629932048086,1564.2791360698575,63.15685328496783,319,[np.int64(797)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,33,14,001,25,f,r,calibration,0.75,2,-1,33,0.5350820483873121,0.14055915473515587,1,False,1.1840894999913871,False,square,square,0.24488166690875499,11.508806396006054,2278.743666409199,174.4255599372732,1483,[np.int64(148)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,34,14,001,25,f,r,calibration,0.75,2,-1,34,0.5350820483873121,0.14055915473515587,1,False,0.7977938000112772,False,dot,dot,0.2388839607325268,13.686382195259545,2860.453878809245,153.41638841141784,578,[np.int64(1058)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,35,14,001,25,f,r,calibration,0.75,2,-1,35,0.47090191089840744,-0.11652402308997703,0,False,0.9115124000236392,False,dot,square,0.22778544687800875,11.251125005173591,2261.476126039892,178.68174881998686,1152,[np.int64(36)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,36,14,001,25,f,r,calibration,0.75,2,-1,36,0.5350820483873121,0.14055915473515587,1,False,1.0748268999159336,False,square,square,0.2212713614953416,9.13133737612627,1844.5301499775064,159.51616005618948,1191,[np.int64(351)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,37,14,001,25,f,r,calibration,0.75,2,-1,37,0.5350820483873121,0.14055915473515587,1,False,0.8670284000691026,False,dot,dot,0.21570655934228566,11.221430627977195,2064.743235547804,190.3442053553927,1252,[np.int64(1171)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,38,14,001,25,f,r,calibration,0.75,2,-1,38,0.5350820483873121,0.14055915473515587,1,False,0.8892688000341877,False,dot,dot,0.21096120016334052,18.604751245273775,3404.6694778851006,137.23448197558722,1066,[np.int64(540)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,39,14,001,25,f,r,calibration,0.75,2,-1,39,0.47090191089840744,-0.11652402308997703,0,False,0.6629336999030784,False,dot,square,0.20103640664660877,3.2117103386061188,590.9547023035259,200.93323569770016,206,[np.int64(1499)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,40,14,001,25,f,r,calibration,0.75,2,-1,40,0.5350820483873121,0.14055915473515587,1,False,0.9560377999441698,False,square,square,0.1958817002311653,14.222333826138291,2616.9094240094455,152.19797139371278,930,[np.int64(515)],-0.06512873528865812,4.10582117477925,2.3868596238221,0.022994071659844434,0.020683348442544804,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,41,14,001,25,f,r,calibration,0.75,2,-1,41,0.5350820483873121,0.14055915473515587,1,False,0.7381992000155151,False,dot,dot,0.19144663480250182,11.35394346431242,2066.4177105048607,171.88680950724182,1170,[np.int64(771)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,42,14,001,25,f,r,calibration,0.75,2,-1,42,0.5350820483873121,0.14055915473515587,1,False,0.5975560999941081,False,dot,dot,0.18763142322875662,5.937190964474823,1080.5687555344177,123.66136557143491,987,[np.int64(361)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,43,14,001,25,f,r,calibration,0.75,2,-1,43,0.47090191089840744,-0.11652402308997703,1,False,0.82806349999737,False,square,square,0.18719809763539794,5.03245932755652,1056.8164587868691,118.38265318991685,10,[np.int64(1327)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,44,14,001,25,f,r,calibration,0.75,2,-1,44,0.47090191089840744,-0.11652402308997703,1,False,0.6918475999264047,False,square,square,0.18678114722049355,6.9182304018818215,1328.3002371613097,185.1765285524493,1083,[np.int64(278)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
,,45,14,001,25,f,r,calibration,0.75,2,-1,45,0.47090191089840744,-0.11652402308997703,0,False,0.6781651000492275,False,square,dot,0.17674881601472847,11.852104952530285,2204.491521170633,385.319194610456,862,[np.int64(861)],nan,nan,nan,nan,nan,,,,,,,,,,,,,14,001,25,f,r,,,,,,,
