thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,trigger_agency_onset,target_is_left,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,1,17,001,20,f,r,calibration,0.55,2,0,1,0.347354013008391,-0.6306903787402434,0,False,2.271494399989024,False,dot,square,0.7868489501376656,1.2948281360429656,229.18458007960493,185.47819585011865,509,[np.int64(819)],0.08546844611530306,3.2884933912590077,2.0699589733917225,0.0266646667842519,0.021664116488440077,,,,,,,,,,,,,17,001,20,f,r,,,,,,,
,,2,17,001,20,f,r,calibration,0.55,2,0,2,0.5350820483873121,0.14055915473515587,1,False,1.869021800113842,False,dot,dot,0.7680685877645114,3.806237141047654,1020.0715538007712,62.6192595374617,731,[np.int64(1075)],-0.06239143700573463,3.2968115039161887,2.0738354920765576,0.02633574150448608,0.02160265882743015,,,,,,,,,,,,,17,001,20,f,r,,,,,,,
,,3,17,001,20,f,r,calibration,0.55,2,0,3,0.5350820483873121,0.14055915473515587,0,False,1.2756378001067787,False,dot,square,0.6810044062069017,5.138384892146141,2230.059043191425,113.82696492119548,1449,[np.int64(1535)],0.40513297766447653,3.213100821515287,2.035962171544374,0.02756695397055095,0.021800856182433936,,,,,,,,,,,,,17,001,20,f,r,,,,,,,
,,4,17,001,20,f,r,calibration,0.55,2,0,4,0.5981210736084265,0.3976423325602886,1,False,1.7090759999118745,False,square,square,0.6688617914162119,9.890288835067498,2571.4750971175495,196.71986510941377,1298,[np.int64(1319)],0.2834555666923262,3.215870898826034,2.0379449557176543,0.027244193031098284,0.021750477143070265,,,,,,,,,,,,,17,001,20,f,r,,,,,,,
,,5,17,001,20,f,r,calibration,0.55,2,0,5,0.5981210736084265,0.3976423325602886,0,False,1.134095299988985,False,dot,square,0.6012443571235496,12.903648989306339,3213.0085983372783,186.9130776656823,243,[np.int64(928)],0.6444470609153542,3.156785891097276,2.007958143796335,0.02834559851027163,0.021897653372596533,,,,,,,,,,,,,17,001,20,f,r,,,,,,,
,,6,17,001,20,f,r,calibration,0.55,2,0,6,0.7133701336716126,0.9118086882105548,1,False,1.2491220999509096,False,dot,dot,0.5800540313349045,13.160572676477768,2526.8299538837314,149.6485419734053,258,[np.int64(185)],0.5543325922616773,3.1911371867255105,2.023728023230631,0.027970353497732546,0.021848439794397545,,,,,,,,,,,,,17,001,20,f,r,,,,,,,
,,7,17,001,20,f,r,calibration,0.55,2,0,7,0.6580745541515514,0.654725510385422,1,False,0.9361185000743717,False,square,square,0.5640621037836482,5.7683855228900605,1788.1995120959189,126.95383589147997,1152,[np.int64(19)],0.46237150590099324,3.2101276341048997,2.0334415994063155,0.027624381861847395,0.02179893667771261,,,,,,,,,,,,,17,001,20,f,r,,,,,,,
,,8,17,001,20,f,r,calibration,0.55,2,0,8,0.6580745541515514,0.654725510385422,0,False,1.2392657999880612,False,square,dot,0.5294772878830402,9.819334759877492,2435.195020449618,185.77955801405662,602,[np.int64(910)],0.7602889877955535,3.0947832438896308,1.9721028261893667,0.028914631951014586,0.021949424516890623,,,,,,,,,,,,,17,001,20,f,r,,,,,,,
,,9,17,001,20,f,r,calibration,0.55,2,0,9,0.7133701336716126,0.9118086882105548,0,False,1.385275200009346,False,dot,square,0.49857650151831767,7.072667526289936,1718.6582088884545,112.77270614773443,1409,[np.int64(1159)],1.0235123444422147,3.0018934960378925,1.9187741560469833,0.03012933411332606,0.022041386931498975,,,,,,,,,,,,,17,001,20,f,r,,,,,,,
,,10,17,001,20,f,r,calibration,0.55,2,0,10,0.7629446568996856,1.1688918660356877,1,False,1.5614951001480222,False,square,square,0.48693109593687034,14.158504679746336,3284.77308570115,226.169062693928,470,[np.int64(671)],0.95205515514433,3.0260688440277876,1.9321249242010845,0.029768390638291176,0.02201556784435067,,,,,,,,,,,,,17,001,20,f,r,,,,,,,
