participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,trial_level,item_type,mem_response,mem_rt,mem_trigger_fix,mem_trigger_onset,mem_trigger_resp
18,001,24,f,r,memory_test,250,1,punch2_01b,unseen,,,,no,1.4079040999058634,85,55,61
18,001,24,f,r,memory_test,251,2,chalk_02s,seen,yes,high,controlled,no,0.7490846000146121,82,52,62
18,001,24,f,r,memory_test,252,3,straw2_09s,unseen,,,,no,0.7807988000568002,85,55,61
18,001,24,f,r,memory_test,253,4,sock_13s,seen,yes,low,controlled,no,0.522036099806428,81,51,62
18,001,24,f,r,memory_test,254,5,chocolate_11s,unseen,,,,no,0.7564662999939173,85,55,61
18,001,24,f,r,memory_test,255,6,orange_rind_15s,seen,no,high,uncontrolled,no,0.5050794000271708,84,54,62
18,001,24,f,r,memory_test,256,7,urinal_10s,unseen,,,,no,0.5921173000242561,85,55,61
18,001,24,f,r,memory_test,257,8,doorknocker_08s,seen,no,high,uncontrolled,no,0.4794745999388397,84,54,62
18,001,24,f,r,memory_test,258,9,ice_cream_10s,unseen,,,,no,0.5685043998528272,85,55,61
18,001,24,f,r,memory_test,259,10,light_switch_17s,seen,yes,high,controlled,no,0.5184635000769049,82,52,62
18,001,24,f,r,memory_test,260,11,windsock_09s,seen,yes,low,controlled,no,0.48263220000080764,81,51,62
18,001,24,f,r,memory_test,261,12,punching_bag_09s,unseen,,,,no,0.4673439001198858,85,55,61
18,001,24,f,r,memory_test,262,13,blower_10s,seen,yes,high,controlled,no,0.42895049997605383,82,52,62
18,001,24,f,r,memory_test,263,14,flipper_12s,seen,no,low,uncontrolled,no,0.4227084000594914,83,53,62
18,001,24,f,r,memory_test,264,15,money_14s,seen,yes,low,controlled,yes,0.6001552999950945,81,51,61
18,001,24,f,r,memory_test,265,16,footrest_01b,seen,no,high,uncontrolled,no,0.7182354000397027,84,54,62
18,001,24,f,r,memory_test,266,17,dreidel_13s,seen,no,low,uncontrolled,yes,0.6779578998684883,83,53,61
18,001,24,f,r,memory_test,267,18,ruby_14s,seen,no,low,uncontrolled,yes,0.5712489001452923,83,53,61
18,001,24,f,r,memory_test,268,19,belt_buckle_14s,seen,yes,high,controlled,yes,0.8526060001458973,82,52,61
18,001,24,f,r,memory_test,269,20,pancake_08s,seen,no,high,uncontrolled,no,0.8048633001744747,84,54,62
18,001,24,f,r,memory_test,270,21,highlighter_05s,seen,no,low,uncontrolled,yes,0.7898198000621051,83,53,61
18,001,24,f,r,memory_test,271,22,butter_06s,unseen,,,,no,0.8824779998976737,85,55,61
18,001,24,f,r,memory_test,272,23,stamp1_05s,seen,no,low,uncontrolled,no,0.8030230000149459,83,53,62
18,001,24,f,r,memory_test,273,24,yo-yo_12s,unseen,,,,no,0.7428645000327379,85,55,61
18,001,24,f,r,memory_test,274,25,lollipop_01b,seen,no,high,uncontrolled,no,1.2027642000466585,84,54,62
18,001,24,f,r,memory_test,275,26,mop_01b,unseen,,,,no,0.730383199872449,85,55,61
18,001,24,f,r,memory_test,276,27,plaster_cast_13s,seen,no,low,uncontrolled,no,0.8303427000064403,83,53,62
18,001,24,f,r,memory_test,277,28,glove_11s,unseen,,,,no,0.7565671999473125,85,55,61
18,001,24,f,r,memory_test,278,29,nail_polish_03s,unseen,,,,no,0.8092992000747472,85,55,61
18,001,24,f,r,memory_test,279,30,yolk_11s,unseen,,,,no,0.6368055001366884,85,55,61
18,001,24,f,r,memory_test,280,31,prune_04s,unseen,,,,no,1.2188244999852031,85,55,61
18,001,24,f,r,memory_test,281,32,fishnet_stockings_14s,seen,no,high,uncontrolled,no,0.6809396999888122,84,54,62
18,001,24,f,r,memory_test,282,33,brush_04s,seen,yes,low,controlled,yes,1.9469041000120342,81,51,61
18,001,24,f,r,memory_test,283,34,pantsuit_07s,unseen,,,,no,0.804514299845323,85,55,61
18,001,24,f,r,memory_test,284,35,mullet_03s,seen,no,high,uncontrolled,no,0.6667635999619961,84,54,62
18,001,24,f,r,memory_test,285,36,ravioli_15s,seen,yes,low,controlled,yes,0.6849650000222027,81,51,61
18,001,24,f,r,memory_test,286,37,wallet_05s,seen,yes,high,controlled,yes,1.0521331001073122,82,52,61
18,001,24,f,r,memory_test,287,38,fur_coat_12s,seen,no,high,uncontrolled,no,0.9519303999841213,84,54,62
18,001,24,f,r,memory_test,288,39,hinge_04s,unseen,,,,no,0.780245800036937,85,55,61
18,001,24,f,r,memory_test,289,40,nightshirt_07s,unseen,,,,no,0.4920045998878777,85,55,61
18,001,24,f,r,memory_test,290,41,chili_11s,seen,yes,high,controlled,no,0.7797282999381423,82,52,62
18,001,24,f,r,memory_test,291,42,bedpan_08s,seen,yes,low,controlled,no,0.5890335999429226,81,51,62
18,001,24,f,r,memory_test,292,43,bean_04s,unseen,,,,no,0.6531644000206143,85,55,61
18,001,24,f,r,memory_test,293,44,gold_13s,seen,no,high,uncontrolled,yes,1.4064344000071287,84,54,61
18,001,24,f,r,memory_test,294,45,grapefruit_09s,seen,yes,high,controlled,no,0.6928489001002163,82,52,62
18,001,24,f,r,memory_test,295,46,kimono_06s,unseen,,,,no,0.5638530000578612,85,55,61
18,001,24,f,r,memory_test,296,47,wafer_08s,seen,no,low,uncontrolled,no,0.7199049000628293,83,53,62
18,001,24,f,r,memory_test,297,48,toothbrush_12s,unseen,,,,no,1.1427449998445809,85,55,61
18,001,24,f,r,memory_test,298,49,clipper1_01s,unseen,,,,no,0.7037408999167383,85,55,61
18,001,24,f,r,memory_test,299,50,spider_web_06s,seen,no,low,uncontrolled,no,0.6566332001239061,83,53,62
18,001,24,f,r,memory_test,300,51,turf_07s,seen,no,low,uncontrolled,no,0.713246600003913,83,53,62
18,001,24,f,r,memory_test,301,52,washing_machine_06s,unseen,,,,no,0.6423055999912322,85,55,61
18,001,24,f,r,memory_test,302,53,nail_08s,seen,no,high,uncontrolled,yes,0.7338762998115271,84,54,61
18,001,24,f,r,memory_test,303,54,coffin_06s,unseen,,,,yes,0.6993515000212938,85,55,62
18,001,24,f,r,memory_test,304,55,pipe1_10s,unseen,,,,no,0.6909250000026077,85,55,61
18,001,24,f,r,memory_test,305,56,wood_03s,seen,yes,high,controlled,yes,0.6483988000545651,82,52,61
18,001,24,f,r,memory_test,306,57,ukulele_14s,seen,yes,low,controlled,no,0.555386200081557,81,51,62
18,001,24,f,r,memory_test,307,58,riser_11s,unseen,,,,no,0.7013325002044439,85,55,61
18,001,24,f,r,memory_test,308,59,honeycomb_08s,unseen,,,,no,0.593135799979791,85,55,61
18,001,24,f,r,memory_test,309,60,staple_06s,seen,yes,high,controlled,no,0.6887759000528604,82,52,62
18,001,24,f,r,memory_test,310,61,harp_05s,unseen,,,,no,0.6128727998584509,85,55,61
18,001,24,f,r,memory_test,311,62,toga_04s,unseen,,,,no,0.5079727999400347,85,55,61
18,001,24,f,r,memory_test,312,63,pesto_07s,seen,yes,low,controlled,yes,0.7238801999483258,81,51,61
18,001,24,f,r,memory_test,313,64,blimp_08n,unseen,,,,no,0.57958779996261,85,55,61
18,001,24,f,r,memory_test,314,65,gyro_01b,seen,yes,high,controlled,yes,0.7545719998888671,82,52,61
18,001,24,f,r,memory_test,315,66,chopsticks_04s,unseen,,,,no,0.79106630012393,85,55,61
18,001,24,f,r,memory_test,316,67,patty_09s,unseen,,,,no,0.9168180001433939,85,55,61
18,001,24,f,r,memory_test,317,68,spur_10s,unseen,,,,no,0.6860406000632793,85,55,61
18,001,24,f,r,memory_test,318,69,joystick_02s,seen,yes,low,controlled,no,0.8097836000379175,81,51,62
18,001,24,f,r,memory_test,319,70,blindfold_16s,unseen,,,,no,0.6576171999331564,85,55,61
18,001,24,f,r,memory_test,320,71,mannequin_03s,unseen,,,,no,0.8367344001308084,85,55,61
18,001,24,f,r,memory_test,321,72,roll_01b,seen,yes,low,controlled,no,0.6817981000058353,81,51,62
18,001,24,f,r,memory_test,322,73,bulletproof_vest_03s,seen,no,low,uncontrolled,yes,1.3933569001965225,83,53,61
18,001,24,f,r,memory_test,323,74,origami_03s,seen,no,low,uncontrolled,no,0.7946964998263866,83,53,62
18,001,24,f,r,memory_test,324,75,marshmallow_12s,seen,no,low,uncontrolled,yes,0.6025253001134843,83,53,61
18,001,24,f,r,memory_test,325,76,electric_chair_11s,seen,yes,low,controlled,yes,0.6621435999404639,81,51,61
18,001,24,f,r,memory_test,326,77,mashed_potato_05s,unseen,,,,no,0.7473236999940127,85,55,61
18,001,24,f,r,memory_test,327,78,batter_04s,seen,no,high,uncontrolled,no,1.257866800064221,84,54,62
18,001,24,f,r,memory_test,328,79,wetsuit_09s,seen,yes,high,controlled,no,0.9005966000258923,82,52,62
18,001,24,f,r,memory_test,329,80,cork_10s,seen,yes,high,controlled,no,1.42381629999727,82,52,62
18,001,24,f,r,memory_test,330,81,pallet_11s,unseen,,,,no,1.2012187000364065,85,55,61
18,001,24,f,r,memory_test,331,82,hot_chocolate_12s,seen,no,low,uncontrolled,no,0.8968269999604672,83,53,62
18,001,24,f,r,memory_test,332,83,bathrobe_07s,unseen,,,,no,0.8702134999912232,85,55,61
18,001,24,f,r,memory_test,333,84,harness_03s,unseen,,,,no,0.8802010999061167,85,55,61
18,001,24,f,r,memory_test,334,85,costume_08s,seen,no,low,uncontrolled,yes,0.6713081998750567,83,53,61
18,001,24,f,r,memory_test,335,86,cantaloupe_07s,unseen,,,,no,0.9328791000880301,85,55,61
18,001,24,f,r,memory_test,336,87,guacamole_14s,unseen,,,,yes,0.7139908000826836,85,55,62
18,001,24,f,r,memory_test,337,88,tee_01b,seen,no,low,uncontrolled,yes,0.8646603999659419,83,53,61
18,001,24,f,r,memory_test,338,89,spam_01b,seen,yes,low,controlled,yes,0.6661831000819802,81,51,61
18,001,24,f,r,memory_test,339,90,filing_cabinet_07s,unseen,,,,no,0.8321827999316156,85,55,61
18,001,24,f,r,memory_test,340,91,target_14s,unseen,,,,no,0.7339822000358254,85,55,61
18,001,24,f,r,memory_test,341,92,bowler_hat_03s,unseen,,,,no,0.7501338999718428,85,55,61
18,001,24,f,r,memory_test,342,93,peanut_butter_07s,unseen,,,,yes,1.2402147001121193,85,55,62
18,001,24,f,r,memory_test,343,94,gumball_02s,unseen,,,,yes,0.9128956000786275,85,55,62
18,001,24,f,r,memory_test,344,95,iceskate_07s,seen,no,high,uncontrolled,no,0.8026338999625295,84,54,62
18,001,24,f,r,memory_test,345,96,step_stool_06s,seen,yes,low,controlled,yes,0.9277876000851393,81,51,61
18,001,24,f,r,memory_test,346,97,float_04s,unseen,,,,no,0.6617675998713821,85,55,61
18,001,24,f,r,memory_test,347,98,lingerie_06s,seen,yes,high,controlled,yes,1.1783958000596613,82,52,61
18,001,24,f,r,memory_test,348,99,scarecrow_09s,unseen,,,,no,0.6943922000937164,85,55,61
18,001,24,f,r,memory_test,349,100,sandbox_06s,unseen,,,,no,0.6905582000035793,85,55,61
18,001,24,f,r,memory_test,350,101,ironing_board_01b,seen,yes,high,controlled,yes,2.552909299964085,82,52,61
18,001,24,f,r,memory_test,351,102,turtleneck_10s,unseen,,,,no,1.4617955000139773,85,55,61
18,001,24,f,r,memory_test,352,103,squeegee_10s,unseen,,,,yes,0.7184658001642674,85,55,62
18,001,24,f,r,memory_test,353,104,leotard_13s,seen,yes,low,controlled,no,0.8162752001080662,81,51,62
18,001,24,f,r,memory_test,354,105,cookie_cutter_09s,unseen,,,,no,0.7734368001110852,85,55,61
18,001,24,f,r,memory_test,355,106,keyboard_15s,seen,no,low,uncontrolled,no,0.6957777999341488,83,53,62
18,001,24,f,r,memory_test,356,107,playpen_05s,unseen,,,,yes,0.7716953998897225,85,55,62
18,001,24,f,r,memory_test,357,108,cape_06s,seen,yes,low,controlled,yes,0.682416400173679,81,51,61
18,001,24,f,r,memory_test,358,109,metal_detector_04s,unseen,,,,no,0.8009551002178341,85,55,61
18,001,24,f,r,memory_test,359,110,footbath_02s,seen,yes,low,controlled,yes,0.6418934999965131,81,51,61
