thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,target_is_left,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,17,2,001,25,f,r,calibration,0.75,2,-1,17,0.6580745541515514,0.654725510385422,1,False,0.8433987000025809,False,square,square,0.4220009006009774,10.673910384529782,2529.716761133558,132.26989819856124,1066,[np.int64(948)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,18,2,001,25,f,r,calibration,0.75,2,-1,18,0.6580745541515514,0.654725510385422,0,False,0.8924113999964902,False,dot,square,0.3543396667484954,13.002798719302033,3094.666095193884,180.98696190758127,849,[np.int64(943)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,19,2,001,25,f,r,calibration,0.75,2,-1,19,0.7133701336716126,0.9118086882105548,1,False,1.0458648999920115,False,dot,dot,0.35105540682160563,11.15295620722241,3412.8045994100576,194.92025515201058,762,[np.int64(330)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,20,2,001,25,f,r,calibration,0.75,2,-1,20,0.7133701336716126,0.9118086882105548,1,False,0.7708624999941094,False,square,square,0.34736580142782886,17.668543845587955,3215.6749798970077,192.85299792314677,1162,[np.int64(1284)],0.7836429773325722,3.599112760993333,2.1971862747289927,0.023455261717337913,0.020891377945506905,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,21,2,001,25,f,r,calibration,0.75,2,-1,21,0.7133701336716126,0.9118086882105548,1,False,0.7411614000011468,False,square,square,0.3435157873016488,16.098067852007212,2929.8483490653125,200.47866806025223,689,[np.int64(1292)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,22,2,001,25,f,r,calibration,0.75,2,-1,22,0.7133701336716126,0.9118086882105548,0,False,0.9254226999910315,False,dot,square,0.3159687022851039,8.476698196044191,1949.6405850901642,94.28914356410102,1194,[np.int64(195)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,23,2,001,25,f,r,calibration,0.75,2,-1,23,0.7629446568996856,1.1688918660356877,1,False,0.8361588999978267,False,square,square,0.30731877788666245,16.407740480645007,3019.0242484386813,210.71152872251434,988,[np.int64(1398)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,24,2,001,25,f,r,calibration,0.75,2,-1,24,0.7133701336716126,0.9118086882105548,1,False,0.9041106000076979,False,dot,dot,0.30389248413651965,16.662272203951947,3032.5335411192546,157.5477841711671,247,[np.int64(1082)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,25,2,001,25,f,r,calibration,0.75,2,-1,25,0.7133701336716126,0.9118086882105548,1,False,0.7434476999915205,False,square,square,0.3005300311305358,10.544242257358082,1929.5963330965292,120.39813051320094,756,[np.int64(1044)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,26,2,001,25,f,r,calibration,0.75,2,-1,26,0.7133701336716126,0.9118086882105548,1,False,0.7457881000009365,False,dot,dot,0.2973293217140909,15.785090708170708,2872.886508887069,192.85620599484386,1274,[np.int64(1438)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
