thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,trigger_agency_onset,target_is_left,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,1,13,001,24,f,r,calibration,0.55,2,0,1,0.347354013008391,-0.6306903787402434,1,False,2.9763967000180855,False,square,square,0.9585022178944526,2.1292980416908476,376.88575337928,23.22810173565053,993,[np.int64(1317)],-0.6105307855798056,3.2449087058269095,2.055422663760532,0.0257181206205907,0.02148187862845949,,,,,,,,,,,,,13,001,24,f,r,,,,,,,
,,2,13,001,24,f,r,calibration,0.55,2,0,2,0.347354013008391,-0.6306903787402434,1,False,1.1417169000487775,False,dot,dot,0.9261401199953351,0.4490538933563426,86.21834752441778,18.16009476236039,1,[np.int64(1095)],-0.8088180781535858,3.249478062754128,2.0577708660113303,0.025403727978280513,0.021413000928689013,,,,,,,,,,,,,13,001,24,f,r,,,,,,,
,,3,13,001,24,f,r,calibration,0.55,2,0,3,0.40766968306220214,-0.37360720091511007,1,False,1.2382111999904737,False,square,square,0.8644614427153365,2.010751555947494,365.9567831824439,15.055894484792022,902,[np.int64(287)],-0.9700635822792076,3.279681644503007,2.0687435841488386,0.025032186531235075,0.021327013668469365,,,,,,,,,,,,,13,001,24,f,r,,,,,,,
,,4,13,001,24,f,r,calibration,0.55,2,0,4,0.347354013008391,-0.6306903787402434,1,False,1.299295699922368,False,square,square,0.8074724288348268,1.678040732388312,305.40341329467276,17.314672665086462,1511,[np.int64(813)],-1.1190240970074623,3.311627193935783,2.081136767193931,0.024670840428403354,0.021238771821626617,,,,,,,,,,,,,13,001,24,f,r,,,,,,,
,,5,13,001,24,f,r,calibration,0.55,2,0,5,0.347354013008391,-0.6306903787402434,1,False,1.725855699973181,False,dot,dot,0.7495926648821191,0.951534744469536,286.41195808533035,19.37202760331877,1037,[np.int64(532)],-1.241575383088058,3.354074156241943,2.096974867907407,0.024293246696899848,0.021141592718768264,,,,,,,,,,,,,13,001,24,f,r,,,,,,,
,,6,13,001,24,f,r,calibration,0.55,2,0,6,0.29156950079727495,-0.887773556565376,1,False,0.7770517999306321,False,dot,dot,0.7023309908200142,1.477696318253192,466.9520365680087,47.26610957541972,920,[np.int64(630)],-1.3588216304629763,3.3918364397574012,2.1111728966575884,0.0239330736742811,0.02104422061423556,,,,,,,,,,,,,13,001,24,f,r,,,,,,,
,,7,13,001,24,f,r,calibration,0.55,2,0,7,0.2414297750189407,-1.1448567343905092,1,False,0.8751877999166027,False,square,square,0.6655040029490339,-2.7844547500890116,-620.9334092698496,106.98223183578746,1501,[np.int64(1578)],-1.4742093410781325,3.418155583309828,2.1207082838013434,0.02359503306669166,0.02094866297451967,,,,,,,,,,,,,13,001,24,f,r,,,,,,,
,,8,13,001,24,f,r,calibration,0.55,2,0,8,0.19750845711691875,-1.4019399122156422,0,False,1.7656559000024572,False,dot,square,0.6214410445217736,1.0642747393679248,201.14792574053777,63.96121749781761,623,[np.int64(1344)],-1.1173861205605946,3.3850004075460247,2.109644284083345,0.024566217129071633,0.021202477564770623,,,,,,,,,,,,,13,001,24,f,r,,,,,,,
,,9,13,001,24,f,r,calibration,0.55,2,0,9,0.347354013008391,-0.6306903787402434,1,False,1.197083399980329,False,dot,dot,0.5748352571126455,1.952380923685486,433.4285650581779,19.900960851219203,795,[np.int64(1245)],-1.194588758284421,3.445936160909089,2.1330312746035593,0.024179662806503414,0.021101454824498753,,,,,,,,,,,,,13,001,24,f,r,,,,,,,
,,10,13,001,24,f,r,calibration,0.55,2,0,10,0.29156950079727495,-0.887773556565376,0,False,0.9007298999931663,False,square,dot,0.5948652362816832,-3.3246048671371606,-844.4496362528388,65.99074420661731,126,[np.int64(1519)],-0.8589784730122321,3.22171462340882,2.023332411564874,0.02574837350945299,0.021456288336835824,,,,,,,,,,,,,13,001,24,f,r,,,,,,,
