thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,trigger_agency_onset,target_is_left,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,1,6,001,23,m,r,calibration,0.75,2,-1,1,0.5981210736084265,0.3976423325602886,1,False,1.8701543000024685,False,square,square,0.8833941500202273,7.937485456196859,1627.184518520356,109.38742049962049,679,[np.int64(508)],0.49887896444510554,3.2323377588830704,2.050691472501904,0.0257364756811414,0.02148582368615677,,,,,,,,,,,,,6,001,23,m,r,,,,,,,
,,2,6,001,23,m,r,calibration,0.75,2,-1,2,0.5350820483873121,0.14055915473515587,1,False,0.9675822999997763,False,square,square,0.8974722567509856,4.957327738859476,971.6362368164573,39.541582179204646,1119,[np.int64(195)],0.3118133766571681,3.2082444668428995,2.0424419558677074,0.025480950703595955,0.02143037331807896,,,,,,,,,,,,,6,001,23,m,r,,,,,,,
,,3,6,001,23,m,r,calibration,0.75,2,-1,3,0.5350820483873121,0.14055915473515587,1,False,1.2572365999985777,False,dot,dot,0.8872830967337415,2.879882858547835,599.0156345779496,40.23149464515462,1376,[np.int64(674)],0.12417907816641394,3.202036049568465,2.0413069970393267,0.025192955999298612,0.021365090692057793,,,,,,,,,,,,,6,001,23,m,r,,,,,,,
,,4,6,001,23,m,r,calibration,0.75,2,-1,4,0.5350820483873121,0.14055915473515587,1,False,0.6852938000010909,False,dot,dot,0.8556339725168699,3.2592407215703094,801.7732175062961,36.71126398245745,1328,[np.int64(650)],-0.05217551202368467,3.212904805647718,2.0470640208696436,0.02487584370063665,0.021289789542834836,,,,,,,,,,,,,6,001,23,m,r,,,,,,,
,,5,6,001,23,m,r,calibration,0.75,2,-1,5,0.5981210736084265,0.3976423325602886,1,False,0.7579312000016216,False,square,square,0.8003514367271172,4.390068701572275,1404.821984503128,97.01779693256547,109,[np.int64(1024)],-0.19317776838267303,3.249692783827168,2.061588839060837,0.024504387610261986,0.02119693986790726,,,,,,,,,,,,,6,001,23,m,r,,,,,,,
,,6,6,001,23,m,r,calibration,0.75,2,-1,6,0.5981210736084265,0.3976423325602886,1,False,0.7452607999985048,False,dot,dot,0.7455100577193209,7.336732962323281,2024.9382976012255,121.2004445810219,729,[np.int64(1427)],-0.30702045345973,3.2958042780411603,2.0790037865465876,0.02411873104376625,0.021095329369743843,,,,,,,,,,,,,6,001,23,m,r,,,,,,,
,,7,6,001,23,m,r,calibration,0.75,2,-1,7,0.5350820483873121,0.14055915473515587,1,False,0.6296000000002095,False,dot,dot,0.7005904430629705,5.908798163812973,1554.013917082812,118.01915698315268,172,[np.int64(461)],-0.4153292982264823,3.3417221114163373,2.09729942929005,0.023748981829506743,0.020992970817421727,,,,,,,,,,,,,6,001,23,m,r,,,,,,,
,,8,6,001,23,m,r,calibration,0.75,2,-1,8,0.40766968306220214,-0.37360720091511007,1,False,1.3096192000011797,False,square,square,0.6796966365425421,4.534272681411524,1582.4611658126219,155.7198453350845,1258,[np.int64(937)],-0.536614435658069,3.347166072313858,2.098780271092517,0.023441796132000516,0.020904344156043253,,,,,,,,,,,,,6,001,23,m,r,,,,,,,
,,9,6,001,23,m,r,calibration,0.75,2,-1,9,0.347354013008391,-0.6306903787402434,0,False,0.7867753999998968,False,dot,square,0.6051602828898103,1.6848101410857501,665.5000057288713,85.56021275030048,692,[np.int64(253)],-0.22657294182707555,3.3821344405314777,2.114536425114431,0.024158116041116964,0.021100050693240446,,,,,,,,,,,,,6,001,23,m,r,,,,,,,
,,10,6,001,23,m,r,calibration,0.75,2,-1,10,0.5981210736084265,0.3976423325602886,1,False,0.6012129999980971,False,square,square,0.5595473412955467,4.401919008788521,1729.9541704538888,88.25492581574002,1233,[np.int64(245)],-0.29399263114554186,3.44592812113827,2.1370341248386744,0.02376134756896199,0.020990488924549522,,,,,,,,,,,,,6,001,23,m,r,,,,,,,
,,11,6,001,23,m,r,calibration,0.75,2,-1,11,0.5350820483873121,0.14055915473515587,1,False,0.6711489000008442,False,dot,dot,0.5249508161891414,4.0864973647644325,1283.1601725360317,94.40608926920628,1298,[np.int64(1102)],nan,nan,nan,nan,nan,,,,,,,,,,,,,6,001,23,m,r,,,,,,,
,,12,6,001,23,m,r,calibration,0.75,2,-1,12,0.47090191089840744,-0.11652402308997703,1,False,0.59361269999863,False,dot,dot,0.5020653838088445,4.763505921365553,1295.6736106114304,40.52919861037963,1170,[np.int64(567)],nan,nan,nan,nan,nan,,,,,,,,,,,,,6,001,23,m,r,,,,,,,
,,13,6,001,23,m,r,calibration,0.75,2,-1,13,0.40766968306220214,-0.37360720091511007,1,False,0.6424109999970824,False,square,square,0.49149114690594187,2.7967179572679064,861.3891308385151,83.17571573100919,78,[np.int64(269)],nan,nan,nan,nan,nan,,,,,,,,,,,,,6,001,23,m,r,,,,,,,
,,14,6,001,23,m,r,calibration,0.75,2,-1,14,0.40766968306220214,-0.37360720091511007,0,False,0.6597994999974617,False,dot,square,0.4519430913475699,0.2071455270191936,85.34395713190776,42.33694481631134,873,[np.int64(1040)],nan,nan,nan,nan,nan,,,,,,,,,,,,,6,001,23,m,r,,,,,,,
,,15,6,001,23,m,r,calibration,0.75,2,-1,15,0.5350820483873121,0.14055915473515587,1,False,0.7283759000019927,False,square,square,0.4242671967824648,3.012824331289385,1307.565759779593,69.28178971281078,238,[np.int64(1417)],nan,nan,nan,nan,nan,,,,,,,,,,,,,6,001,23,m,r,,,,,,,
,,16,6,001,23,m,r,calibration,0.75,2,-1,16,0.47090191089840744,-0.11652402308997703,0,False,0.9734682999987854,False,dot,square,0.4292554882408806,1.2082399949512708,584.7881575564151,45.91719865980806,362,[np.int64(1446)],nan,nan,nan,nan,nan,,,,,,,,,,,,,6,001,23,m,r,,,,,,,
,,17,6,001,23,m,r,calibration,0.75,2,-1,17,0.5981210736084265,0.3976423325602886,1,False,0.8344467999995686,False,square,square,0.39703952177671903,4.0575973908368645,1724.4788911056673,97.92932950996355,403,[np.int64(599)],nan,nan,nan,nan,nan,,,,,,,,,,,,,6,001,23,m,r,,,,,,,
