participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,trial_level,item_type,mem_response,mem_rt,mem_trigger_fix,mem_trigger_onset,mem_trigger_resp
13,001,24,f,r,memory_test,261,1,pistachio_11s,unseen,,,,no,3.7666134999599308,85,55,61
13,001,24,f,r,memory_test,262,2,piggy_bank_01b,seen,yes,high,controlled,yes,1.6445510999765247,82,52,61
13,001,24,f,r,memory_test,263,3,raisin_14s,unseen,,,,no,2.0583709999918938,85,55,61
13,001,24,f,r,memory_test,264,4,cummerbund_15s,unseen,,,,no,1.8803469000849873,85,55,61
13,001,24,f,r,memory_test,265,5,coffee_13s,seen,yes,high,controlled,yes,2.0377850000513718,82,52,61
13,001,24,f,r,memory_test,266,6,banana_peel_14s,unseen,,,,no,2.1137772999936715,85,55,61
13,001,24,f,r,memory_test,267,7,wafer_08s,seen,no,low,uncontrolled,yes,1.8996699000708759,83,53,61
13,001,24,f,r,memory_test,268,8,pickle_09s,seen,no,high,uncontrolled,yes,1.3421209999360144,84,54,61
13,001,24,f,r,memory_test,269,9,shower_cap_12s,seen,yes,low,controlled,yes,1.173759700031951,81,51,61
13,001,24,f,r,memory_test,270,10,butter_06s,unseen,,,,no,1.4234330001054332,85,55,61
13,001,24,f,r,memory_test,271,11,metal_detector_04s,unseen,,,,no,1.3178631000919268,85,55,61
13,001,24,f,r,memory_test,272,12,bib_13n,unseen,,,,no,1.1323806999716908,85,55,61
13,001,24,f,r,memory_test,273,13,firewood_05s,unseen,,,,yes,2.3541460999986157,85,55,62
13,001,24,f,r,memory_test,274,14,applesauce_05s,unseen,,,,no,2.2123542999615893,85,55,61
13,001,24,f,r,memory_test,275,15,diamond_14s,unseen,,,,no,1.243251100066118,85,55,61
13,001,24,f,r,memory_test,276,16,vending_machine_03s,seen,no,high,uncontrolled,yes,1.9407744999043643,84,54,61
13,001,24,f,r,memory_test,277,17,swimsuit_08s,seen,no,high,uncontrolled,no,2.131568699958734,84,54,62
13,001,24,f,r,memory_test,278,18,mouse2_09s,seen,no,high,uncontrolled,yes,3.058878800016828,84,54,61
13,001,24,f,r,memory_test,279,19,ready_meal_11s,unseen,,,,no,2.13443490001373,85,55,61
13,001,24,f,r,memory_test,280,20,robot_14s,seen,yes,low,controlled,yes,1.766194500029087,81,51,61
13,001,24,f,r,memory_test,281,21,touchpad_11s,unseen,,,,no,2.133136799908243,85,55,61
13,001,24,f,r,memory_test,282,22,hook1_15s,seen,yes,low,controlled,no,1.3261709999060258,81,51,62
13,001,24,f,r,memory_test,283,23,coverall_11s,seen,yes,low,controlled,yes,1.6807741000084206,81,51,61
13,001,24,f,r,memory_test,284,24,hairdryer_06s,unseen,,,,no,1.8442564000142738,85,55,61
13,001,24,f,r,memory_test,285,25,pocket_01b,seen,no,low,uncontrolled,yes,1.8196121000219136,83,53,61
13,001,24,f,r,memory_test,286,26,fishhook_09s,seen,no,low,uncontrolled,yes,1.0848089000210166,83,53,61
13,001,24,f,r,memory_test,287,27,playing_card_12s,seen,no,high,uncontrolled,no,3.003781900042668,84,54,62
13,001,24,f,r,memory_test,288,28,veil_01s,seen,no,high,uncontrolled,yes,1.7593768000369892,84,54,61
