thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,trigger_agency_onset,target_is_left,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,1,5,001,24,f,r,calibration,0.55,2,0,1,0.347354013008391,-0.6306903787402434,1,False,2.8247949999999946,False,square,square,0.9585022178944526,6.385399739760974,1130.2157539376924,339.4117675445289,108,[np.int64(950)],-0.6105307855798056,3.2449087058269095,2.055422663760532,0.0257181206205907,0.02148187862845949,,,,,,,,,,,,,5,001,24,f,r,,,,,,,
,,2,5,001,24,f,r,calibration,0.55,2,0,2,0.347354013008391,-0.6306903787402434,0,False,2.7338417000000845,False,dot,square,0.8159747285924219,1.9346499744188963,354.04094531865803,263.94889152640303,773,[np.int64(1039)],-0.05001588787199827,3.2319921310993145,2.0487151302990343,0.026606840000665752,0.021650718437986983,,,,,,,,,,,,,5,001,24,f,r,,,,,,,
,,3,5,001,24,f,r,calibration,0.55,2,0,3,0.47090191089840744,-0.11652402308997703,1,False,1.8888953000000583,False,square,square,0.801903934669203,8.319898250701154,1539.1811763797136,291.57591586819325,1308,[np.int64(1216)],-0.20878316709790282,3.2302369707761205,2.048860779443661,0.02629789449460237,0.021592525363363452,,,,,,,,,,,,,5,001,24,f,r,,,,,,,
,,4,5,001,24,f,r,calibration,0.55,2,0,4,0.47090191089840744,-0.11652402308997703,1,False,0.9661362000001645,False,dot,dot,0.7742282086442988,9.57392103891616,1752.0275501216572,270.5803172712301,498,[np.int64(993)],-0.3560640950152753,3.245019252845922,2.0559048756982485,0.025963393579561674,0.021525766940242764,,,,,,,,,,,,,5,001,24,f,r,,,,,,,
,,5,5,001,24,f,r,calibration,0.55,2,0,5,0.5350820483873121,0.14055915473515587,1,False,0.6742623999998614,False,square,square,0.7303327840053565,13.493113705723419,2658.1434000275135,208.9924349110346,1414,[np.int64(934)],-0.4698468738263283,3.2874462298760307,2.0723286361536593,0.025575325084408525,0.021443334646920467,,,,,,,,,,,,,5,001,24,f,r,,,,,,,
,,6,5,001,24,f,r,calibration,0.55,2,0,6,0.47090191089840744,-0.11652402308997703,1,False,0.5749153000006118,False,dot,dot,0.6948018607642619,10.249382328948256,1865.3875838685826,297.1681094409548,880,[np.int64(109)],-0.5809840155405409,3.3270629728678496,2.088817583120743,0.02520537831674074,0.02135993182794024,,,,,,,,,,,,,5,001,24,f,r,,,,,,,
,,7,5,001,24,f,r,calibration,0.55,2,0,7,0.347354013008391,-0.6306903787402434,1,False,0.6528843000005509,False,square,square,0.6844719376169494,5.2711564285458605,959.3504699953467,483.3336626284009,562,[np.int64(1222)],-0.7035857341765479,3.318964252500273,2.0846604508202824,0.02490518864763663,0.021288895227596465,,,,,,,,,,,,,5,001,24,f,r,,,,,,,
,,8,5,001,24,f,r,calibration,0.55,2,0,8,0.29156950079727495,-0.887773556565376,1,False,0.5468449999998484,False,dot,dot,0.6840126139521129,4.212571062826963,770.9005044973342,226.33378334590506,1093,[np.int64(743)],-0.8267213731409572,3.290576510402146,2.071580474962544,0.02463405818304757,0.021222075147918157,,,,,,,,,,,,,5,001,24,f,r,,,,,,,
,,9,5,001,24,f,r,calibration,0.55,2,0,9,0.29156950079727495,-0.887773556565376,1,False,0.48511880000023666,False,dot,dot,0.6754252016965179,4.468535783362729,831.1476557054675,498.60240646908096,698,[np.int64(6)],-0.9484494291100197,3.2798450590128523,2.0661868233413014,0.024340537555676597,0.021146764428933595,,,,,,,,,,,,,5,001,24,f,r,,,,,,,
,,10,5,001,24,f,r,calibration,0.55,2,0,10,0.29156950079727495,-0.887773556565376,1,False,0.7290094999998473,False,dot,dot,0.659537024806083,4.487813230138036,821.2698211152606,325.65273412660366,915,[np.int64(295)],-1.0644683360119804,3.285793854553141,2.068186490689252,0.024026934899191534,0.02106287443964846,,,,,,,,,,,,,5,001,24,f,r,,,,,,,
,,11,5,001,24,f,r,calibration,0.55,2,0,11,0.2414297750189407,-1.1448567343905092,0,False,0.6457602999998926,False,dot,square,0.5786242912763795,1.6414287625007897,315.1543224001516,204.3787791799292,57,[np.int64(1255)],nan,nan,nan,nan,nan,,,,,,,,,,,,,5,001,24,f,r,,,,,,,
,,12,5,001,24,f,r,calibration,0.55,2,0,12,0.40766968306220214,-0.37360720091511007,1,False,1.1121956999995746,False,square,square,0.5453876179084437,7.348032913700548,1337.3419902934997,215.00215255353604,1456,[np.int64(32)],nan,nan,nan,nan,nan,,,,,,,,,,,,,5,001,24,f,r,,,,,,,
,,13,5,001,24,f,r,calibration,0.55,2,0,13,0.347354013008391,-0.6306903787402434,1,False,0.7377696000003198,False,dot,dot,0.5224438747108452,5.285742293279304,999.0052934297885,207.70729529000482,485,[np.int64(1284)],nan,nan,nan,nan,nan,,,,,,,,,,,,,5,001,24,f,r,,,,,,,
,,14,5,001,24,f,r,calibration,0.55,2,0,14,0.347354013008391,-0.6306903787402434,1,False,0.5791852999991534,False,square,square,0.5009580581460295,5.333638855603957,970.7222717199202,255.33778233840096,996,[np.int64(379)],nan,nan,nan,nan,nan,,,,,,,,,,,,,5,001,24,f,r,,,,,,,
,,15,5,001,24,f,r,calibration,0.55,2,0,15,0.29156950079727495,-0.887773556565376,1,False,1.6327049000001352,False,dot,dot,0.4900890061550932,4.095283570310788,745.3416097965635,207.3115563764422,815,[np.int64(404)],nan,nan,nan,nan,nan,,,,,,,,,,,,,5,001,24,f,r,,,,,,,
,,16,5,001,24,f,r,calibration,0.55,2,0,16,0.29156950079727495,-0.887773556565376,1,False,0.7442006999999649,False,square,square,0.47879329036626295,1.6358537308585053,333.71416109513507,177.2635926636106,206,[np.int64(333)],nan,nan,nan,nan,nan,,,,,,,,,,,,,5,001,24,f,r,,,,,,,
,,17,5,001,24,f,r,calibration,0.55,2,0,17,0.2414297750189407,-1.1448567343905092,1,False,1.095679800000653,False,square,square,0.4781378964317456,5.873113581157073,1068.9066717705873,470.3291294388526,1320,[np.int64(678)],nan,nan,nan,nan,nan,,,,,,,,,,,,,5,001,24,f,r,,,,,,,
,,18,5,001,24,f,r,calibration,0.55,2,0,18,0.2414297750189407,-1.1448567343905092,1,False,1.6616542000001573,False,dot,dot,0.47526029482493753,1.8029242183889613,328.132207746791,337.6212627117577,118,[np.int64(201)],nan,nan,nan,nan,nan,,,,,,,,,,,,,5,001,24,f,r,,,,,,,
,,19,5,001,24,f,r,calibration,0.55,2,0,19,0.19750845711691875,-1.4019399122156422,0,False,0.7291632999995272,False,dot,square,0.40609867087728396,0.25789249898977856,46.936434816139695,358.72980236803664,588,[np.int64(755)],nan,nan,nan,nan,nan,,,,,,,,,,,,,5,001,24,f,r,,,,,,,
,,20,5,001,24,f,r,calibration,0.55,2,0,20,0.29156950079727495,-0.887773556565376,1,False,1.5274709000004805,False,square,square,0.39187834804529503,3.616200974635246,658.1485773836148,574.6647379905614,1478,[np.int64(1274)],-1.1400436149726971,3.643209580364507,2.2203438476737944,0.02272126578318691,0.020664775065763957,,,,,,,,,,,,,5,001,24,f,r,,,,,,,
,,21,5,001,24,f,r,calibration,0.55,2,0,21,0.29156950079727495,-0.887773556565376,0,False,1.1715348000006998,False,dot,square,0.3858816823435954,1.5002908231317849,273.05292980998485,509.3905852904191,1321,[np.int64(697)],nan,nan,nan,nan,nan,,,,,,,,,,,,,5,001,24,f,r,,,,,,,
,,22,5,001,24,f,r,calibration,0.55,2,0,22,0.347354013008391,-0.6306903787402434,1,False,0.5889765000001717,False,square,square,0.36670108297055637,5.4060916491794675,983.908680150663,198.88700972299253,364,[np.int64(867)],nan,nan,nan,nan,nan,,,,,,,,,,,,,5,001,24,f,r,,,,,,,
,,23,5,001,24,f,r,calibration,0.55,2,0,23,0.347354013008391,-0.6306903787402434,1,False,0.5246907000000647,False,dot,dot,0.3506040287434203,4.729655331442884,860.7972703226048,474.2107705944194,290,[np.int64(1568)],nan,nan,nan,nan,nan,,,,,,,,,,,,,5,001,24,f,r,,,,,,,
,,24,5,001,24,f,r,calibration,0.55,2,0,24,0.29156950079727495,-0.887773556565376,1,False,0.49163580000004004,False,square,square,0.34094982429049925,3.2715443791049585,598.6926213762074,221.7816026714247,1411,[np.int64(1060)],nan,nan,nan,nan,nan,,,,,,,,,,,,,5,001,24,f,r,,,,,,,
,,25,5,001,24,f,r,calibration,0.55,2,0,25,0.29156950079727495,-0.887773556565376,0,False,0.4312280999993163,False,square,dot,0.3332675571966996,5.091064007862784,931.6647134388894,493.1846270860147,1408,[np.int64(534)],nan,nan,nan,nan,nan,,,,,,,,,,,,,5,001,24,f,r,,,,,,,
