thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,trigger_agency_onset,target_is_left,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,17,12,001,28,f,r,calibration,0.75,2,-1,17,0.47090191089840744,-0.11652402308997703,1,False,0.5851398999802768,False,dot,dot,0.4525973394500579,5.600792962964712,1304.9847603707778,150.59062872729493,925,[np.int64(1570)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,18,12,001,28,f,r,calibration,0.75,2,-1,18,0.40766968306220214,-0.37360720091511007,1,False,0.5045435000211,False,dot,dot,0.43158362903571085,8.816814982880276,1710.4621066787736,194.0613136251708,1003,[np.int64(92)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,19,12,001,28,f,r,calibration,0.75,2,-1,19,0.40766968306220214,-0.37360720091511007,1,False,0.5457631000317633,False,dot,dot,0.41333049819531703,6.484922155567481,1180.2558323132814,332.69202487230194,132,[np.int64(314)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,20,12,001,28,f,r,calibration,0.75,2,-1,20,0.347354013008391,-0.6306903787402434,1,False,0.47628169995732605,False,dot,dot,0.40435653353666096,2.101331916446718,382.44240879330266,317.0659238059109,1218,[np.int64(1450)],-0.7658584280322821,3.4810900884436973,2.14976694827717,0.02232895540112549,0.020529496972670463,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,21,12,001,28,f,r,calibration,0.75,2,-1,21,0.347354013008391,-0.6306903787402434,0,False,0.4950405000708997,False,square,dot,0.3815937060620989,4.911591534211678,893.9096592265254,231.5343323860963,548,[np.int64(863)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,22,12,001,28,f,r,calibration,0.75,2,-1,22,0.40766968306220214,-0.37360720091511007,1,False,0.5242561999475583,False,dot,dot,0.3644557772556675,7.099437594210987,1292.0976421463997,248.9999837900082,230,[np.int64(563)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,23,12,001,28,f,r,calibration,0.75,2,-1,23,0.40766968306220214,-0.37360720091511007,1,False,0.5843307001050562,False,dot,dot,0.3499615208459255,1.2068125241481238,219.63987939495854,209.32989723613494,1183,[np.int64(2)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,24,12,001,28,f,r,calibration,0.75,2,-1,24,0.40766968306220214,-0.37360720091511007,1,False,0.5445505999960005,False,dot,dot,0.3379619509567333,7.44323665229501,1354.6690707176917,343.62315738611386,991,[np.int64(457)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,25,12,001,28,f,r,calibration,0.75,2,-1,25,0.347354013008391,-0.6306903787402434,1,False,0.7970612000208348,False,dot,dot,0.33320076057700676,6.466706337110976,1176.9405533541976,496.39770627518504,167,[np.int64(1078)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,26,12,001,28,f,r,calibration,0.75,2,-1,26,0.347354013008391,-0.6306903787402434,1,False,0.4792522999923676,False,dot,dot,0.32893721603869547,5.356121106898054,980.1701625623439,196.7964842619984,1011,[np.int64(1019)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,27,12,001,28,f,r,calibration,0.75,2,-1,27,0.347354013008391,-0.6306903787402434,1,False,0.7829483000095934,False,dot,dot,0.32514678053230933,7.714485972204904,1404.0364469412925,261.60876542629137,246,[np.int64(962)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
