thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,trigger_agency_onset,target_is_left,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,1,18,001,24,f,r,calibration,0.75,2,-1,1,0.5981210736084265,0.3976423325602886,1,False,1.600843499880284,False,dot,dot,0.8833941500202273,12.061493606347131,2159.0073555361364,157.16320442135614,499,[np.int64(639)],0.49887896444510554,3.2323377588830704,2.050691472501904,0.0257364756811414,0.02148582368615677,,,,,,,,,,,,,18,001,24,f,r,,,,,,,
,,2,18,001,24,f,r,calibration,0.75,2,-1,2,0.5350820483873121,0.14055915473515587,1,False,1.2951885999646038,False,square,square,0.8974722567509856,15.71380016268004,2859.9116296077673,200.46161900550064,574,[np.int64(1244)],0.3118133766571681,3.2082444668428995,2.0424419558677074,0.025480950703595955,0.02143037331807896,,,,,,,,,,,,,18,001,24,f,r,,,,,,,
,,3,18,001,24,f,r,calibration,0.75,2,-1,3,0.5350820483873121,0.14055915473515587,1,False,0.980980500113219,False,square,square,0.8872830967337415,17.42588419908764,3206.362692632126,179.58845250871852,1191,[np.int64(444)],0.12417907816641394,3.202036049568465,2.0413069970393267,0.025192955999298612,0.021365090692057793,,,,,,,,,,,,,18,001,24,f,r,,,,,,,
,,4,18,001,24,f,r,calibration,0.75,2,-1,4,0.5350820483873121,0.14055915473515587,0,False,0.8741005999036133,False,dot,square,0.767725280985752,13.962941934606553,2541.2554320983927,179.39399215025884,919,[np.int64(252)],0.6424216613122528,3.170096692496163,2.0239566879749953,0.026124834759122362,0.02155787534328282,,,,,,,,,,,,,18,001,24,f,r,,,,,,,
,,5,18,001,24,f,r,calibration,0.75,2,-1,5,0.6580745541515514,0.654725510385422,1,False,1.5715483000967652,False,square,square,0.7538183189127918,15.4438040328458,2810.772333977936,172.60529595021663,406,[np.int64(952)],0.4947905161247408,3.1751085523532088,2.0272039568195948,0.025806639043253112,0.021492599013471756,,,,,,,,,,,,,18,001,24,f,r,,,,,,,
,,6,18,001,24,f,r,calibration,0.75,2,-1,6,0.6580745541515514,0.654725510385422,1,False,1.0829685998614877,False,square,square,0.7264926250170547,7.450642070491844,1549.7335506623035,79.43246062559246,560,[np.int64(694)],0.3597337242450352,3.1962986139348915,2.037298111029081,0.02546513517296068,0.02141859047709078,,,,,,,,,,,,,18,001,24,f,r,,,,,,,
,,7,18,001,24,f,r,calibration,0.75,2,-1,7,0.6580745541515514,0.654725510385422,1,False,1.552060900023207,False,dot,dot,0.6915262206334819,17.36799953839343,3195.711915064391,188.77955129101318,599,[np.int64(1538)],0.2414635995285861,3.231292721203804,2.05291392144706,0.02510467174749078,0.02133602451500708,,,,,,,,,,,,,18,001,24,f,r,,,,,,,
,,8,18,001,24,f,r,calibration,0.75,2,-1,8,0.6580745541515514,0.654725510385422,1,False,0.9701835000887513,False,square,square,0.6545682951322127,10.376691363382289,2085.71496403984,157.22570302490172,1342,[np.int64(960)],0.14118869329373315,3.2775016219006923,2.072554176733881,0.024729604981744716,0.021245245636177454,,,,,,,,,,,,,18,001,24,f,r,,,,,,,
,,9,18,001,24,f,r,calibration,0.75,2,-1,9,0.5981210736084265,0.3976423325602886,0,False,1.7128727999515831,False,dot,square,0.6180458742614996,11.928850148436279,2230.694977757584,135.2121615216318,1222,[np.int64(625)],0.5250503324295944,3.1329620782399155,1.999881444200549,0.026090459043220382,0.02153426431711047,,,,,,,,,,,,,18,001,24,f,r,,,,,,,
,,10,18,001,24,f,r,calibration,0.75,2,-1,10,0.7133701336716126,0.9118086882105548,1,False,1.0901885000057518,False,dot,dot,0.584420783003256,14.250900275910096,2593.6638502156375,151.34264587252534,1132,[np.int64(1097)],0.4382974874035715,3.1807506446210394,2.0216561982320007,0.025709375016212815,0.02145501833280684,,,,,,,,,,,,,18,001,24,f,r,,,,,,,
,,11,18,001,24,f,r,calibration,0.75,2,-1,11,0.7133701336716126,0.9118086882105548,1,False,1.303586799884215,False,square,square,0.5523536123520332,11.032778551681007,2151.3918175777962,113.18882634009285,1068,[np.int64(1102)],nan,nan,nan,nan,nan,,,,,,,,,,,,,18,001,24,f,r,,,,,,,
,,12,18,001,24,f,r,calibration,0.75,2,-1,12,0.6580745541515514,0.654725510385422,1,False,1.0795518001541495,False,dot,dot,0.5280193800405338,13.412094705809025,2441.0012364572426,221.68338651128067,1091,[np.int64(837)],nan,nan,nan,nan,nan,,,,,,,,,,,,,18,001,24,f,r,,,,,,,
,,13,18,001,24,f,r,calibration,0.75,2,-1,13,0.6580745541515514,0.654725510385422,1,False,1.589517500018701,False,square,square,0.5059141031761605,10.952561804272607,2595.7571476126077,188.91198492069063,818,[np.int64(1500)],nan,nan,nan,nan,nan,,,,,,,,,,,,,18,001,24,f,r,,,,,,,
,,14,18,001,24,f,r,calibration,0.75,2,-1,14,0.5981210736084265,0.3976423325602886,0,False,0.5630630999803543,False,dot,square,0.4702880809397544,7.728928572004155,1406.6650001047562,134.3288168162764,219,[np.int64(1249)],nan,nan,nan,nan,nan,,,,,,,,,,,,,18,001,24,f,r,,,,,,,
,,15,18,001,24,f,r,calibration,0.75,2,-1,15,0.7133701336716126,0.9118086882105548,0,False,1.0713146000634879,False,dot,square,0.5120552666008716,7.164247458090796,1382.6997594115237,67.34511704374202,1480,[np.int64(664)],nan,nan,nan,nan,nan,,,,,,,,,,,,,18,001,24,f,r,,,,,,,
,,16,18,001,24,f,r,calibration,0.75,2,-1,16,0.7629446568996856,1.1688918660356877,1,False,1.1344479999970645,False,dot,dot,0.4831327569324039,12.646980727599864,2327.044453878375,99.56041298599726,1419,[np.int64(842)],nan,nan,nan,nan,nan,,,,,,,,,,,,,18,001,24,f,r,,,,,,,
,,17,18,001,24,f,r,calibration,0.75,2,-1,17,0.7629446568996856,1.1688918660356877,1,False,0.7405350001063198,False,dot,dot,0.4559833766354274,18.17520937817444,3307.8881068277483,148.51525175893823,1259,[np.int64(722)],nan,nan,nan,nan,nan,,,,,,,,,,,,,18,001,24,f,r,,,,,,,
,,18,18,001,24,f,r,calibration,0.75,2,-1,18,0.7133701336716126,0.9118086882105548,1,False,1.2299186000600457,False,square,square,0.43307005237128715,20.831772124682246,3791.382526692169,174.48471812812647,785,[np.int64(543)],nan,nan,nan,nan,nan,,,,,,,,,,,,,18,001,24,f,r,,,,,,,
,,19,18,001,24,f,r,calibration,0.75,2,-1,19,0.7133701336716126,0.9118086882105548,0,False,1.386302099796012,False,dot,square,0.45839467948142676,13.771382147606031,2506.3915508642976,174.1430967721704,1258,[np.int64(831)],nan,nan,nan,nan,nan,,,,,,,,,,,,,18,001,24,f,r,,,,,,,
,,20,18,001,24,f,r,calibration,0.75,2,-1,20,0.7629446568996856,1.1688918660356877,1,False,1.0899261001031846,False,dot,dot,0.43542593500469035,15.96175967738829,2905.0402612846688,165.68382498520114,892,[np.int64(923)],0.739427126891774,2.8108506035445235,1.7630726355521578,0.028035024015563043,0.02178762050158145,,,,,,,,,,,,,18,001,24,f,r,,,,,,,
,,21,18,001,24,f,r,calibration,0.75,2,-1,21,0.7629446568996856,1.1688918660356877,1,False,1.356959099881351,False,dot,dot,0.41399892747866757,27.766589126184822,5053.519220965638,197.78854586369226,333,[np.int64(1116)],nan,nan,nan,nan,nan,,,,,,,,,,,,,18,001,24,f,r,,,,,,,
,,22,18,001,24,f,r,calibration,0.75,2,-1,22,0.7133701336716126,0.9118086882105548,1,False,0.8630385999567807,False,dot,dot,0.39656996369175845,19.137220476187096,3482.9741266660512,222.98892737032864,950,[np.int64(429)],nan,nan,nan,nan,nan,,,,,,,,,,,,,18,001,24,f,r,,,,,,,
,,23,18,001,24,f,r,calibration,0.75,2,-1,23,0.7133701336716126,0.9118086882105548,1,False,1.0111027997918427,False,dot,dot,0.3803327028316661,23.373992277338832,4254.066594475667,171.14926841852568,1475,[np.int64(1381)],nan,nan,nan,nan,nan,,,,,,,,,,,,,18,001,24,f,r,,,,,,,
,,24,18,001,24,f,r,calibration,0.75,2,-1,24,0.7133701336716126,0.9118086882105548,1,False,1.6243123000022024,False,dot,dot,0.3657067817285133,24.677946534064045,4491.386269199656,230.35155093683588,669,[np.int64(13)],nan,nan,nan,nan,nan,,,,,,,,,,,,,18,001,24,f,r,,,,,,,
,,25,18,001,24,f,r,calibration,0.75,2,-1,25,0.7133701336716126,0.9118086882105548,0,False,1.0298611999023706,False,square,dot,0.38031688309526585,23.225805078804516,4227.096524342422,176.7247705050609,713,[np.int64(1069)],nan,nan,nan,nan,nan,,,,,,,,,,,,,18,001,24,f,r,,,,,,,
,,26,18,001,24,f,r,calibration,0.75,2,-1,26,0.7629446568996856,1.1688918660356877,1,False,0.5706869000568986,False,square,square,0.36420522413373424,18.050502868234236,3285.191522018631,247.92017189849807,398,[np.int64(641)],nan,nan,nan,nan,nan,,,,,,,,,,,,,18,001,24,f,r,,,,,,,
