participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,trial_level,item_type,mem_response,mem_rt,mem_trigger_fix,mem_trigger_onset,mem_trigger_resp
11,001,28,m,r,memory_test,241,1,paint_01b,seen,no,high,uncontrolled,no,2.388490699988324,84,54,62
11,001,28,m,r,memory_test,242,2,snowman_03s,seen,yes,high,controlled,no,2.591339400038123,82,52,62
11,001,28,m,r,memory_test,243,3,pants_11s,unseen,,,,no,1.8459775000228547,85,55,61
11,001,28,m,r,memory_test,244,4,chocolate_11s,unseen,,,,no,1.297867799992673,85,55,61
11,001,28,m,r,memory_test,245,5,coaster_08s,unseen,,,,no,2.3438789999927394,85,55,61
11,001,28,m,r,memory_test,246,6,football_04s,seen,yes,low,controlled,yes,1.1242699000285938,81,51,61
11,001,28,m,r,memory_test,247,7,nutcracker_06s,seen,no,high,uncontrolled,no,2.6700218999758363,84,54,62
11,001,28,m,r,memory_test,248,8,gold_13s,seen,no,high,uncontrolled,yes,1.3667587999952957,84,54,61
11,001,28,m,r,memory_test,249,9,scale_05s,unseen,,,,no,0.9834971000091173,85,55,61
11,001,28,m,r,memory_test,250,10,bulletproof_vest_03s,seen,yes,high,controlled,yes,0.9378841000143439,82,52,61
11,001,28,m,r,memory_test,251,11,hobbyhorse_04s,seen,yes,low,controlled,yes,1.2541047999984585,81,51,61
11,001,28,m,r,memory_test,252,12,scoop_12s,unseen,,,,no,0.9526934999739751,85,55,61
11,001,28,m,r,memory_test,253,13,shorts_12s,unseen,,,,no,1.2501206999877468,85,55,61
11,001,28,m,r,memory_test,254,14,bikini_09s,unseen,,,,no,1.2381773999659345,85,55,61
11,001,28,m,r,memory_test,255,15,french_horn_05s,seen,no,low,uncontrolled,no,1.45708670001477,83,53,62
11,001,28,m,r,memory_test,256,16,yarn_10s,seen,no,high,uncontrolled,no,3.6127850000048056,84,54,62
11,001,28,m,r,memory_test,257,17,gyro_01b,seen,yes,low,controlled,yes,0.8015340999700129,81,51,61
11,001,28,m,r,memory_test,258,18,orange_rind_15s,seen,yes,high,controlled,no,1.0003301000106148,82,52,62
11,001,28,m,r,memory_test,259,19,wooden_leg_02s,unseen,,,,no,3.9096272999886423,85,55,61
11,001,28,m,r,memory_test,260,20,glove_11s,unseen,,,,no,3.0121360999764875,85,55,61
11,001,28,m,r,memory_test,261,21,electric_chair_11s,seen,no,high,uncontrolled,no,1.6539640999981202,84,54,62
11,001,28,m,r,memory_test,262,22,kazoo_08s,unseen,,,,no,2.5409117999952286,85,55,61
11,001,28,m,r,memory_test,263,23,gas_mask_01b,seen,no,high,uncontrolled,no,2.2311120000085793,84,54,62
11,001,28,m,r,memory_test,264,24,origami_03s,seen,no,high,uncontrolled,no,2.0376641000038944,84,54,62
11,001,28,m,r,memory_test,265,25,figurine_11s,seen,yes,high,controlled,no,3.1247903000330552,82,52,62
11,001,28,m,r,memory_test,266,26,yolk_11s,unseen,,,,no,2.3871009000577033,85,55,61
11,001,28,m,r,memory_test,267,27,sweet_potato_07s,unseen,,,,no,3.992143000010401,85,55,61
11,001,28,m,r,memory_test,268,28,riser_11s,unseen,,,,no,1.7086373000056483,85,55,61
11,001,28,m,r,memory_test,269,29,caviar_07s,seen,yes,high,controlled,no,1.3969534000498243,82,52,62
11,001,28,m,r,memory_test,270,30,dishrag_10s,unseen,,,,no,3.617649000021629,85,55,61
11,001,28,m,r,memory_test,271,31,saxophone_07s,seen,yes,high,controlled,no,2.993766100029461,82,52,62
11,001,28,m,r,memory_test,272,32,nail_08s,seen,yes,high,controlled,yes,1.8970121000311337,82,52,61
11,001,28,m,r,memory_test,273,33,tamale_13s,seen,yes,low,controlled,yes,1.196209000016097,81,51,61
11,001,28,m,r,memory_test,274,34,step_stool_06s,seen,yes,high,controlled,no,0.8680579999927431,82,52,62
11,001,28,m,r,memory_test,275,35,blower_10s,seen,no,low,uncontrolled,no,1.3907652999623679,83,53,62
11,001,28,m,r,memory_test,276,36,bandanna_10s,unseen,,,,no,1.0577149000018835,85,55,61
11,001,28,m,r,memory_test,277,37,bracelet1_12s,seen,no,high,uncontrolled,yes,0.8842887000064366,84,54,61
11,001,28,m,r,memory_test,278,38,shoelace_06s,seen,yes,high,controlled,no,0.6805925000226125,82,52,62
11,001,28,m,r,memory_test,279,39,mannequin_03s,unseen,,,,no,0.7072982999961823,85,55,61
11,001,28,m,r,memory_test,280,40,wetsuit_09s,seen,no,low,uncontrolled,no,0.734411799989175,83,53,62
11,001,28,m,r,memory_test,281,41,match_07s,unseen,,,,no,1.8813585999887437,85,55,61
11,001,28,m,r,memory_test,282,42,noisemaker_05s,unseen,,,,no,1.429966699972283,85,55,61
11,001,28,m,r,memory_test,283,43,pinball_09s,seen,yes,low,controlled,yes,2.404926199989859,81,51,61
11,001,28,m,r,memory_test,284,44,visor_13s,unseen,,,,no,1.298976499994751,85,55,61
11,001,28,m,r,memory_test,285,45,clipper1_01s,unseen,,,,yes,2.4062979000154883,85,55,62
11,001,28,m,r,memory_test,286,46,cardboard_07s,seen,no,low,uncontrolled,yes,4.623469699989073,83,53,61
11,001,28,m,r,memory_test,287,47,sink_03s,seen,no,low,uncontrolled,no,1.0914684000308625,83,53,62
11,001,28,m,r,memory_test,288,48,cashew_11s,unseen,,,,no,1.3931499000173062,85,55,61
11,001,28,m,r,memory_test,289,49,hot_chocolate_12s,seen,yes,low,controlled,yes,0.8967421000124887,81,51,61
11,001,28,m,r,memory_test,290,50,touchpad_11s,unseen,,,,no,0.8146978999720886,85,55,61
11,001,28,m,r,memory_test,291,51,soap_06s,unseen,,,,yes,1.1056724999798462,85,55,62
11,001,28,m,r,memory_test,292,52,cardigan_11s,unseen,,,,no,0.569701400003396,85,55,61
11,001,28,m,r,memory_test,293,53,cornhusk_03s,unseen,,,,no,1.4004837999818847,85,55,61
11,001,28,m,r,memory_test,294,54,limousine_10s,seen,no,high,uncontrolled,yes,0.9507540999911726,84,54,61
11,001,28,m,r,memory_test,295,55,t-shirt_06s,seen,yes,low,controlled,yes,0.8774941000156105,81,51,61
11,001,28,m,r,memory_test,296,56,urinal_10s,unseen,,,,no,0.980686999973841,85,55,61
11,001,28,m,r,memory_test,297,57,sarcophagus_08s,seen,yes,high,controlled,no,2.867823500011582,82,52,62
11,001,28,m,r,memory_test,298,58,pajamas_13s,seen,no,low,uncontrolled,no,0.9930089000263251,83,53,62
11,001,28,m,r,memory_test,299,59,meatball_14s,seen,no,high,uncontrolled,no,1.2418050999986008,84,54,62
11,001,28,m,r,memory_test,300,60,spaghetti_07s,unseen,,,,no,3.238581100013107,85,55,61
11,001,28,m,r,memory_test,301,61,lip_balm_08s,seen,yes,high,controlled,no,1.8021567999967374,82,52,62
11,001,28,m,r,memory_test,302,62,plaster_cast_13s,seen,no,high,uncontrolled,no,3.2579451000201516,84,54,62
11,001,28,m,r,memory_test,303,63,grapefruit_09s,seen,no,high,uncontrolled,yes,0.8394587999791838,84,54,61
11,001,28,m,r,memory_test,304,64,croissant_13s,unseen,,,,no,1.1056098999688402,85,55,61
11,001,28,m,r,memory_test,305,65,pocket_01b,seen,no,high,uncontrolled,no,1.0646305999835022,84,54,62
11,001,28,m,r,memory_test,306,66,roll_01b,seen,no,high,uncontrolled,no,1.6579207999748178,84,54,62
11,001,28,m,r,memory_test,307,67,saffron_12s,unseen,,,,no,0.8490622999961488,85,55,61
11,001,28,m,r,memory_test,308,68,cornbread_01b,unseen,,,,no,1.1883664000197314,85,55,61
11,001,28,m,r,memory_test,309,69,brick_09s,unseen,,,,no,2.3500055999611504,85,55,61
11,001,28,m,r,memory_test,310,70,rattle_08s,unseen,,,,no,2.928096599993296,85,55,61
11,001,28,m,r,memory_test,311,71,vending_machine_03s,seen,no,high,uncontrolled,no,5.369903599959798,84,54,62
11,001,28,m,r,memory_test,312,72,punch2_01b,unseen,,,,yes,4.089496499975212,85,55,62
11,001,28,m,r,memory_test,313,73,ice_pack_10s,unseen,,,,no,0.8565231999964453,85,55,61
11,001,28,m,r,memory_test,314,74,ice_cream_10s,unseen,,,,yes,1.1443179000052623,85,55,62
11,001,28,m,r,memory_test,315,75,vacuum_04s,seen,yes,high,controlled,no,0.6868076999671757,82,52,62
11,001,28,m,r,memory_test,316,76,bracket_05s,unseen,,,,no,1.7305350999813527,85,55,61
11,001,28,m,r,memory_test,317,77,sleeping_bag_09s,unseen,,,,no,0.7953213000437245,85,55,61
11,001,28,m,r,memory_test,318,78,pipe1_10s,unseen,,,,no,1.047014300012961,85,55,61
11,001,28,m,r,memory_test,319,79,keyboard_15s,seen,no,low,uncontrolled,yes,0.7836578999995254,83,53,61
11,001,28,m,r,memory_test,320,80,cantaloupe_07s,unseen,,,,no,0.9195110999862663,85,55,61
11,001,28,m,r,memory_test,321,81,cotton_candy_08s,seen,yes,low,controlled,no,0.8539546999963932,81,51,62
11,001,28,m,r,memory_test,322,82,turf_07s,seen,no,high,uncontrolled,no,0.7347011000383645,84,54,62
11,001,28,m,r,memory_test,323,83,coffee_bean_12s,seen,yes,low,controlled,yes,1.554456400044728,81,51,61
11,001,28,m,r,memory_test,324,84,hook1_15s,seen,no,low,uncontrolled,no,0.7329735999810509,83,53,62
11,001,28,m,r,memory_test,325,85,diskette_03s,unseen,,,,no,1.3411194999935105,85,55,61
11,001,28,m,r,memory_test,326,86,butter_06s,unseen,,,,no,1.587569799972698,85,55,61
11,001,28,m,r,memory_test,327,87,garter_02s,seen,yes,low,controlled,yes,0.7139742000144906,81,51,61
11,001,28,m,r,memory_test,328,88,cigarette_15s,unseen,,,,no,0.9844383000163361,85,55,61
11,001,28,m,r,memory_test,329,89,bin_01b,seen,yes,high,controlled,no,0.8450907999649644,82,52,62
11,001,28,m,r,memory_test,330,90,creme_brulee_07s,seen,yes,low,controlled,yes,0.7594667000230402,81,51,61
11,001,28,m,r,memory_test,331,91,swab_02s,unseen,,,,no,0.8368751999805681,85,55,61
11,001,28,m,r,memory_test,332,92,gearshift_11n,unseen,,,,no,0.8844328999985009,85,55,61
11,001,28,m,r,memory_test,333,93,leggings_12s,unseen,,,,no,2.0022220999817364,85,55,61
11,001,28,m,r,memory_test,334,94,water_heater_01b,unseen,,,,no,2.7775937999831513,85,55,61
11,001,28,m,r,memory_test,335,95,snorkel_05s,seen,no,high,uncontrolled,no,0.7170094999601133,84,54,62
