thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,trigger_agency_onset,target_is_left,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,1,10,001,31,m,r,calibration,0.75,2,-1,1,0.5981210736084265,0.3976423325602886,1,False,1.7222212000051513,False,square,square,0.8833941500202273,17.28606927596657,3059.634261846083,212.0872063165625,1031,[np.int64(1322)],0.49887896444510554,3.2323377588830704,2.050691472501904,0.0257364756811414,0.02148582368615677,,,,,,,,,,,,,10,001,31,m,r,,,,,,,
,,2,10,001,31,m,r,calibration,0.75,2,-1,2,0.5350820483873121,0.14055915473515587,1,False,1.1359285000362433,False,dot,dot,0.8974722567509856,14.639845944669744,2664.4519619298935,202.17344905005615,672,[np.int64(475)],0.3118133766571681,3.2082444668428995,2.0424419558677074,0.025480950703595955,0.02143037331807896,,,,,,,,,,,,,10,001,31,m,r,,,,,,,
,,3,10,001,31,m,r,calibration,0.75,2,-1,3,0.5350820483873121,0.14055915473515587,1,False,0.8789292000001296,False,dot,dot,0.8872830967337415,14.957247762137545,2722.2190927090332,164.03340810382565,130,[np.int64(1242)],0.12417907816641394,3.202036049568465,2.0413069970393267,0.025192955999298612,0.021365090692057793,,,,,,,,,,,,,10,001,31,m,r,,,,,,,
,,4,10,001,31,m,r,calibration,0.75,2,-1,4,0.5350820483873121,0.14055915473515587,1,False,0.740145800053142,False,square,square,0.8556339725168699,13.312736680521889,2422.9180758549837,207.15375078058125,105,[np.int64(1511)],-0.05217551202368467,3.212904805647718,2.0470640208696436,0.02487584370063665,0.021289789542834836,,,,,,,,,,,,,10,001,31,m,r,,,,,,,
,,5,10,001,31,m,r,calibration,0.75,2,-1,5,0.5981210736084265,0.3976423325602886,1,False,0.678191400016658,False,dot,dot,0.8003514367271172,19.55190602276382,3558.4468961430152,199.4832235962175,624,[np.int64(769)],-0.19317776838267303,3.249692783827168,2.061588839060837,0.024504387610261986,0.02119693986790726,,,,,,,,,,,,,10,001,31,m,r,,,,,,,
,,6,10,001,31,m,r,calibration,0.75,2,-1,6,0.5981210736084265,0.3976423325602886,1,False,0.6504125999636017,False,dot,dot,0.7455100577193209,18.413543978413937,3351.2650040713365,188.30902360679787,372,[np.int64(798)],-0.30702045345973,3.2958042780411603,2.0790037865465876,0.02411873104376625,0.021095329369743843,,,,,,,,,,,,,10,001,31,m,r,,,,,,,
,,7,10,001,31,m,r,calibration,0.75,2,-1,7,0.5350820483873121,0.14055915473515587,1,False,0.7404164000181481,False,square,square,0.7005904430629705,14.77699137318512,2689.412429919692,201.94174327690433,401,[np.int64(746)],-0.4153292982264823,3.3417221114163373,2.09729942929005,0.023748981829506743,0.020992970817421727,,,,,,,,,,,,,10,001,31,m,r,,,,,,,
,,8,10,001,31,m,r,calibration,0.75,2,-1,8,0.40766968306220214,-0.37360720091511007,1,False,0.5690032999846153,False,square,square,0.6796966365425421,6.050006500083371,1101.1011830151735,409.5394265742886,662,[np.int64(37)],-0.536614435658069,3.347166072313858,2.098780271092517,0.023441796132000516,0.020904344156043253,,,,,,,,,,,,,10,001,31,m,r,,,,,,,
,,9,10,001,31,m,r,calibration,0.75,2,-1,9,0.347354013008391,-0.6306903787402434,0,False,0.6475081000244245,False,square,dot,0.6051602828898103,4.788753215112666,852.3980722900546,157.306167968381,330,[np.int64(797)],-0.22657294182707555,3.3821344405314777,2.114536425114431,0.024158116041116964,0.021100050693240446,,,,,,,,,,,,,10,001,31,m,r,,,,,,,
,,10,10,001,31,m,r,calibration,0.75,2,-1,10,0.5981210736084265,0.3976423325602886,1,False,0.9701331999967806,False,square,square,0.5595473412955467,16.24293705777218,2956.214544514537,218.67663051925382,1019,[np.int64(86)],-0.29399263114554186,3.44592812113827,2.1370341248386744,0.02376134756896199,0.020990488924549522,,,,,,,,,,,,,10,001,31,m,r,,,,,,,
,,11,10,001,31,m,r,calibration,0.75,2,-1,11,0.5350820483873121,0.14055915473515587,1,False,0.7063437000033446,False,dot,dot,0.5249508161891414,17.61330993338528,3205.622407876121,245.7426638319405,1428,[np.int64(1195)],nan,nan,nan,nan,nan,,,,,,,,,,,,,10,001,31,m,r,,,,,,,
,,12,10,001,31,m,r,calibration,0.75,2,-1,12,0.47090191089840744,-0.11652402308997703,1,False,0.7516264999867417,False,square,square,0.5020653838088445,8.063744989123633,1540.1752929226138,246.2928158629875,3,[np.int64(591)],nan,nan,nan,nan,nan,,,,,,,,,,,,,10,001,31,m,r,,,,,,,
,,13,10,001,31,m,r,calibration,0.75,2,-1,13,0.40766968306220214,-0.37360720091511007,1,False,0.5883637999650091,False,square,square,0.49149114690594187,8.52192570748104,1550.9904787615494,265.0015355030657,1521,[np.int64(622)],nan,nan,nan,nan,nan,,,,,,,,,,,,,10,001,31,m,r,,,,,,,
,,14,10,001,31,m,r,calibration,0.75,2,-1,14,0.40766968306220214,-0.37360720091511007,0,False,0.6928095999755897,False,square,dot,0.4519430913475699,6.969192181851306,1268.3929770969378,341.9544260956349,755,[np.int64(1458)],nan,nan,nan,nan,nan,,,,,,,,,,,,,10,001,31,m,r,,,,,,,
,,15,10,001,31,m,r,calibration,0.75,2,-1,15,0.5350820483873121,0.14055915473515587,1,False,0.9165983999846503,False,dot,dot,0.4242671967824648,17.576144004331177,3198.858208788274,188.34064006582153,667,[np.int64(1191)],nan,nan,nan,nan,nan,,,,,,,,,,,,,10,001,31,m,r,,,,,,,
,,16,10,001,31,m,r,calibration,0.75,2,-1,16,0.47090191089840744,-0.11652402308997703,1,False,0.8264492999878712,False,dot,dot,0.4069075294019335,10.971369251142816,1996.7892037079926,318.7343686342626,985,[np.int64(79)],nan,nan,nan,nan,nan,,,,,,,,,,,,,10,001,31,m,r,,,,,,,
,,17,10,001,31,m,r,calibration,0.75,2,-1,17,0.47090191089840744,-0.11652402308997703,1,False,0.6258542999858037,False,dot,dot,0.39233034357694163,8.70286464233902,1583.9213649057015,422.50815820455256,1122,[np.int64(775)],nan,nan,nan,nan,nan,,,,,,,,,,,,,10,001,31,m,r,,,,,,,
,,18,10,001,31,m,r,calibration,0.75,2,-1,18,0.40766968306220214,-0.37360720091511007,0,False,1.2185638999799266,False,square,dot,0.3609265154215645,6.872871412281286,1250.862597035194,313.6028472597072,177,[np.int64(1279)],nan,nan,nan,nan,nan,,,,,,,,,,,,,10,001,31,m,r,,,,,,,
,,19,10,001,31,m,r,calibration,0.75,2,-1,19,0.5350820483873121,0.14055915473515587,1,False,0.6187250000075437,False,square,square,0.34034663653936764,16.217036075032485,2951.5005656559124,214.524036019338,1491,[np.int64(1089)],nan,nan,nan,nan,nan,,,,,,,,,,,,,10,001,31,m,r,,,,,,,
