thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,trigger_agency_onset,target_is_left,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,17,11,001,28,m,r,calibration,0.55,2,0,17,0.5350820483873121,0.14055915473515587,1,False,0.567890600010287,False,dot,dot,0.3676849864835031,19.77480816953467,3599.01508685531,230.0505165786885,227,[np.int64(1311)],nan,nan,nan,nan,nan,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,18,11,001,28,m,r,calibration,0.55,2,0,18,0.5350820483873121,0.14055915473515587,1,False,0.6006374999997206,False,dot,dot,0.3580424791352307,12.196228550637311,2561.2079956338353,192.27528593799835,689,[np.int64(619)],nan,nan,nan,nan,nan,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,19,11,001,28,m,r,calibration,0.55,2,0,19,0.47090191089840744,-0.11652402308997703,1,False,0.7045318000018597,False,dot,dot,0.3574293268106387,6.317554933227548,1459.3551895755636,114.22403224517856,474,[np.int64(611)],nan,nan,nan,nan,nan,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,20,11,001,28,m,r,calibration,0.55,2,0,20,0.47090191089840744,-0.11652402308997703,1,False,2.3322836000006646,False,square,square,0.35673002609567345,11.235656317911067,2292.0738888538576,299.8609013934801,789,[np.int64(307)],-0.19451630100800105,3.604248117371362,2.2065589379216677,0.02424082680127468,0.02109232269915751,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,21,11,001,28,m,r,calibration,0.55,2,0,21,0.47090191089840744,-0.11652402308997703,0,False,0.5855616999906488,False,square,dot,0.3203680253475744,15.222887381316303,2770.565503399567,88.20609744057559,1135,[np.int64(957)],nan,nan,nan,nan,nan,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,22,11,001,28,m,r,calibration,0.55,2,0,22,0.5350820483873121,0.14055915473515587,1,False,0.7215702999965288,False,square,square,0.31107582441031534,16.637073380621423,3027.9473552730988,195.28391619690476,582,[np.int64(948)],nan,nan,nan,nan,nan,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,23,11,001,28,m,r,calibration,0.55,2,0,23,0.5350820483873121,0.14055915473515587,1,False,1.7701195999979973,False,dot,dot,0.3032779062598773,15.991704496971833,2926.4819229458453,229.12392952514514,865,[np.int64(73)],nan,nan,nan,nan,nan,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,24,11,001,28,m,r,calibration,0.55,2,0,24,0.47090191089840744,-0.11652402308997703,1,False,1.3231545999879017,False,square,square,0.3024847763100116,11.1330389111379,2037.3461207382356,273.7584494987289,911,[np.int64(1140)],nan,nan,nan,nan,nan,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,25,11,001,28,m,r,calibration,0.55,2,0,25,0.47090191089840744,-0.11652402308997703,1,False,0.8108351000119001,False,square,square,0.30182766097548624,12.729380894798753,2316.747322853373,205.5492938666206,1400,[np.int64(792)],nan,nan,nan,nan,nan,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,26,11,001,28,m,r,calibration,0.55,2,0,26,0.47090191089840744,-0.11652402308997703,1,False,0.42973169998731464,False,square,square,0.3012661688274236,16.150426622363433,2939.377645270145,244.0091989805895,11,[np.int64(988)],nan,nan,nan,nan,nan,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
