thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,target_is_left,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,1,4,001,19,f,r,calibration,0.75,2,-1,1,0.5981210736084265,0.3976423325602886,1,False,1.6900376999983564,False,dot,dot,0.8833941500202273,6.6951311481126305,1526.4899017696798,108.6027977500344,933,[np.int64(1529)],0.49887896444510554,3.2323377588830704,2.050691472501904,0.0257364756811414,0.02148582368615677,,,,,,,,,,,,4,001,19,f,r,,,,,,,
,,2,4,001,19,f,r,calibration,0.75,2,-1,2,0.5350820483873121,0.14055915473515587,1,False,1.1620447000022978,False,square,square,0.8974722567509856,10.132441665630829,1985.9585664636425,171.55849830763364,13,[np.int64(1256)],0.3118133766571681,3.2082444668428995,2.0424419558677074,0.025480950703595955,0.02143037331807896,,,,,,,,,,,,4,001,19,f,r,,,,,,,
,,3,4,001,19,f,r,calibration,0.75,2,-1,3,0.5350820483873121,0.14055915473515587,1,False,0.7030279000173323,False,square,square,0.8872830967337415,9.354158159761676,1711.8109432363867,115.60216361967663,808,[np.int64(1419)],0.12417907816641394,3.202036049568465,2.0413069970393267,0.025192955999298612,0.021365090692057793,,,,,,,,,,,,4,001,19,f,r,,,,,,,
,,4,4,001,19,f,r,calibration,0.75,2,-1,4,0.5350820483873121,0.14055915473515587,0,False,0.959971200034488,False,square,dot,0.767725280985752,6.792280259152868,1256.5718479432805,143.2113068246954,1538,[np.int64(1053)],0.6424216613122528,3.170096692496163,2.0239566879749953,0.026124834759122362,0.02155787534328282,,,,,,,,,,,,4,001,19,f,r,,,,,,,
,,5,4,001,19,f,r,calibration,0.75,2,-1,5,0.6580745541515514,0.654725510385422,0,False,1.1875326000154018,False,square,dot,0.6409297962172392,10.7776082736205,1983.0799223461718,164.5236943761042,1526,[np.int64(1567)],1.0629008888206657,3.155822042286826,2.014610891108678,0.027031111606480675,0.02171718563426165,,,,,,,,,,,,4,001,19,f,r,,,,,,,
,,6,4,001,19,f,r,calibration,0.75,2,-1,6,0.7133701336716126,0.9118086882105548,0,False,0.8589428999694064,False,dot,square,0.5197582204407055,13.805188049800709,2581.5701653127326,173.2307870002724,1302,[np.int64(524)],1.3441049350097107,3.2065748241464695,2.035345403901988,0.02771312526548872,0.021819855597934108,,,,,,,,,,,,4,001,19,f,r,,,,,,,
,,7,4,001,19,f,r,calibration,0.75,2,-1,7,0.7629446568996856,1.1688918660356877,1,False,0.5263653000001796,False,square,square,0.5333524923826382,14.677454922242163,2685.974250770316,188.17774480976337,743,[np.int64(1463)],1.2560335088027572,3.1722859011381526,2.019406674048947,0.027432421927864117,0.02177770119018313,,,,,,,,,,,,4,001,19,f,r,,,,,,,
,,8,4,001,19,f,r,calibration,0.75,2,-1,8,0.7629446568996856,1.1688918660356877,1,False,0.38637480000033975,False,square,square,0.5395894362132273,13.571629233585643,2510.751408213344,208.3786824213032,694,[np.int64(56)],1.166526378020202,3.1551891792338522,2.0116860694217387,0.027131542820884074,0.02172951924526724,,,,,,,,,,,,4,001,19,f,r,,,,,,,
,,9,4,001,19,f,r,calibration,0.75,2,-1,9,0.7629446568996856,1.1688918660356877,0,False,0.4389219000004232,False,dot,square,0.4607235505068187,17.220643947633697,3151.3778424169664,200.87128401033806,888,[np.int64(237)],1.4113194351903982,3.157066384494599,2.010661197028277,0.028019660002444744,0.02185595950888981,,,,,,,,,,,,4,001,19,f,r,,,,,,,
,,10,4,001,19,f,r,calibration,0.75,2,-1,10,0.806273406195118,1.4259750438608214,1,False,0.6388773000217043,False,dot,dot,0.463754454462321,10.452213336275571,1912.7550405384295,117.08111161546314,49,[np.int64(1168)],1.341688321291837,3.1549577825310027,2.0094809617714886,0.02769456178192134,0.02181014433965149,,,,,,,,,,,,4,001,19,f,r,,,,,,,
,,11,4,001,19,f,r,calibration,0.75,2,-1,11,0.806273406195118,1.4259750438608214,1,False,0.8381657999707386,False,dot,dot,0.46201214260488177,9.037554220163361,1653.872422289895,50.45386659814691,917,[np.int64(177)],nan,nan,nan,nan,nan,,,,,,,,,,,,4,001,19,f,r,,,,,,,
