participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,trial_level,item_type,mem_response,mem_rt,mem_trigger_fix,mem_trigger_onset,mem_trigger_resp
8,001,24,f,r,memory_test,243,1,dip_04s,seen,yes,low,controlled,no,1.6370746000029612,81,51,62
8,001,24,f,r,memory_test,244,2,javelin_01s,seen,no,low,uncontrolled,yes,1.9769145000027493,83,53,61
8,001,24,f,r,memory_test,245,3,windsock_09s,seen,no,high,uncontrolled,no,2.6518369000114035,84,54,62
8,001,24,f,r,memory_test,246,4,pill_04s,unseen,,,,no,3.5262747000087984,85,55,61
8,001,24,f,r,memory_test,247,5,bowtie_14s,seen,yes,low,controlled,no,5.152608700009296,81,51,62
8,001,24,f,r,memory_test,248,6,stockings_06s,seen,yes,low,controlled,yes,4.287646599987056,81,51,61
8,001,24,f,r,memory_test,249,7,fishhook_09s,seen,no,low,uncontrolled,yes,3.697007599985227,83,53,61
8,001,24,f,r,memory_test,250,8,cream_cheese_05s,unseen,,,,no,4.082414399978006,85,55,61
8,001,24,f,r,memory_test,251,9,duster_07s,unseen,,,,yes,3.9289790999901015,85,55,62
8,001,24,f,r,memory_test,252,10,footbath_02s,seen,yes,low,controlled,yes,1.5498853000171948,81,51,61
8,001,24,f,r,memory_test,253,11,toga_04s,unseen,,,,no,4.168707499979064,85,55,61
8,001,24,f,r,memory_test,254,12,turf_07s,seen,yes,low,controlled,yes,4.221376900008181,81,51,61
8,001,24,f,r,memory_test,255,13,gum_10s,seen,yes,high,controlled,yes,3.6236358000023756,82,52,61
8,001,24,f,r,memory_test,256,14,coffee_filter_05s,seen,yes,low,controlled,no,4.415652700001374,81,51,62
8,001,24,f,r,memory_test,257,15,visor_13s,unseen,,,,no,4.157736599998316,85,55,61
8,001,24,f,r,memory_test,258,16,steak_15s,unseen,,,,no,5.9457581999886315,85,55,61
8,001,24,f,r,memory_test,259,17,ice_pack_10s,unseen,,,,no,3.898486199992476,85,55,61
8,001,24,f,r,memory_test,260,18,taffy_08s,seen,yes,high,controlled,no,5.565469699999085,82,52,62
8,001,24,f,r,memory_test,261,19,mosquito_net_02s,seen,yes,low,controlled,yes,5.305080899997847,81,51,61
8,001,24,f,r,memory_test,262,20,holster_09s,unseen,,,,no,3.9556800999853294,85,55,61
8,001,24,f,r,memory_test,263,21,brick_09s,unseen,,,,yes,3.1849714999843854,85,55,62
8,001,24,f,r,memory_test,264,22,spaghetti_07s,unseen,,,,yes,2.9366696999932174,85,55,62
8,001,24,f,r,memory_test,265,23,chicken1_08s,seen,yes,low,controlled,yes,1.3742368999810424,81,51,61
8,001,24,f,r,memory_test,266,24,crouton_12s,unseen,,,,yes,2.718641200015554,85,55,62
8,001,24,f,r,memory_test,267,25,computer_screen_12s,seen,no,low,uncontrolled,no,3.0963088999851607,83,53,62
8,001,24,f,r,memory_test,268,26,magnet_12s,seen,yes,low,controlled,yes,5.224892099999124,81,51,61
8,001,24,f,r,memory_test,269,27,pants_11s,unseen,,,,yes,4.369511400000192,85,55,62
8,001,24,f,r,memory_test,270,28,coffin_06s,unseen,,,,no,2.9690182999765966,85,55,61
8,001,24,f,r,memory_test,271,29,dishrag_10s,unseen,,,,no,3.5958027000015136,85,55,61
8,001,24,f,r,memory_test,272,30,tee_01b,seen,no,low,uncontrolled,yes,2.0872294000000693,83,53,61
8,001,24,f,r,memory_test,273,31,pizza_03s,seen,no,high,uncontrolled,no,5.440068299998529,84,54,62
8,001,24,f,r,memory_test,274,32,sandbox_06s,unseen,,,,no,4.219238599995151,85,55,61
8,001,24,f,r,memory_test,275,33,ketchup_10s,unseen,,,,no,3.229509099997813,85,55,61
8,001,24,f,r,memory_test,276,34,croissant_13s,unseen,,,,no,3.9416606000158936,85,55,61
8,001,24,f,r,memory_test,277,35,blueberry_07s,unseen,,,,yes,2.7039864999824204,85,55,62
8,001,24,f,r,memory_test,278,36,belt_14s,seen,no,low,uncontrolled,no,6.9533727999951225,83,53,62
8,001,24,f,r,memory_test,279,37,coaster_08s,unseen,,,,no,4.585600599995814,85,55,61
8,001,24,f,r,memory_test,280,38,omelet_16s,unseen,,,,yes,2.7226455000054557,85,55,62
8,001,24,f,r,memory_test,281,39,hamburger_10s,unseen,,,,no,1.649233300006017,85,55,61
8,001,24,f,r,memory_test,282,40,breadstick_14s,seen,no,high,uncontrolled,yes,1.1405963999859523,84,54,61
8,001,24,f,r,memory_test,283,41,skewer_09s,unseen,,,,no,3.0670270000118762,85,55,61
8,001,24,f,r,memory_test,284,42,refrigerator_11s,seen,no,high,uncontrolled,yes,4.300030200014589,84,54,61
8,001,24,f,r,memory_test,285,43,grapefruit_09s,seen,no,low,uncontrolled,yes,1.126914399996167,83,53,61
8,001,24,f,r,memory_test,286,44,barrette_09s,seen,no,low,uncontrolled,no,2.3444530999986455,83,53,62
8,001,24,f,r,memory_test,287,45,limousine_10s,seen,yes,low,controlled,yes,1.2747286999947391,81,51,61
8,001,24,f,r,memory_test,288,46,hairbrush_08s,unseen,,,,yes,1.11728380000568,85,55,62
8,001,24,f,r,memory_test,289,47,peg_08s,unseen,,,,yes,1.879539699992165,85,55,62
8,001,24,f,r,memory_test,290,48,bracelet1_12s,seen,yes,high,controlled,yes,1.5067907999909949,82,52,61
8,001,24,f,r,memory_test,291,49,caramel_09s,unseen,,,,no,1.7883102000050712,85,55,61
8,001,24,f,r,memory_test,292,50,corset_09s,seen,no,high,uncontrolled,yes,0.8717706000024918,84,54,61
8,001,24,f,r,memory_test,293,51,toothbrush_12s,unseen,,,,yes,12.344508500013035,85,55,62
8,001,24,f,r,memory_test,294,52,wafer_08s,seen,no,low,uncontrolled,yes,1.5602683000033721,83,53,61
8,001,24,f,r,memory_test,295,53,yo-yo_12s,unseen,,,,no,1.4745597000000998,85,55,61
8,001,24,f,r,memory_test,296,54,dumpster_02s,unseen,,,,yes,3.129907299997285,85,55,62
8,001,24,f,r,memory_test,297,55,marshmallow_12s,seen,yes,low,controlled,yes,0.9542730999819469,81,51,61
8,001,24,f,r,memory_test,298,56,candy_10s,seen,no,low,uncontrolled,no,1.5976074000063818,83,53,62
8,001,24,f,r,memory_test,299,57,tiramisu_12s,seen,no,high,uncontrolled,no,1.721291800000472,84,54,62
8,001,24,f,r,memory_test,300,58,nest_01b,unseen,,,,no,2.269132899993565,85,55,61
8,001,24,f,r,memory_test,301,59,polo_shirt_14s,unseen,,,,yes,1.937594099988928,85,55,62
8,001,24,f,r,memory_test,302,60,hotdog_03s,seen,yes,low,controlled,no,1.7625895000237506,81,51,62
8,001,24,f,r,memory_test,303,61,ham_05s,seen,yes,low,controlled,yes,1.612333299999591,81,51,61
8,001,24,f,r,memory_test,304,62,pistachio_11s,unseen,,,,yes,2.2204060999793,85,55,62
8,001,24,f,r,memory_test,305,63,chocolate_11s,unseen,,,,yes,3.5495806999970227,85,55,62
8,001,24,f,r,memory_test,306,64,piggy_bank_01b,seen,no,low,uncontrolled,yes,4.610096699994756,83,53,61
8,001,24,f,r,memory_test,307,65,trombone_14s,seen,no,high,uncontrolled,yes,2.457869200006826,84,54,61
8,001,24,f,r,memory_test,308,66,shorts_12s,unseen,,,,no,1.8937067999795545,85,55,61
8,001,24,f,r,memory_test,309,67,creme_brulee_07s,seen,yes,high,controlled,yes,1.0946699000196531,82,52,61
8,001,24,f,r,memory_test,310,68,tent_12s,seen,yes,high,controlled,no,5.846240300015779,82,52,62
8,001,24,f,r,memory_test,311,69,bean_04s,unseen,,,,yes,3.2811641999869607,85,55,62
8,001,24,f,r,memory_test,312,70,soap_06s,unseen,,,,no,2.0584136999968905,85,55,61
8,001,24,f,r,memory_test,313,71,toothpaste_10s,unseen,,,,no,1.629968799999915,85,55,61
8,001,24,f,r,memory_test,314,72,squirt_gun_15s,seen,no,high,uncontrolled,no,1.856956600007834,84,54,62
8,001,24,f,r,memory_test,315,73,wetsuit_09s,seen,no,low,uncontrolled,yes,1.5915889000170864,83,53,61
8,001,24,f,r,memory_test,316,74,snorkel_05s,seen,no,high,uncontrolled,no,1.263992899999721,84,54,62
