thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,trigger_agency_onset,target_is_left,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,1,21,001,23,m,r,calibration,0.55,2,0,1,0.347354013008391,-0.6306903787402434,1,False,1.8222532998770475,False,square,square,0.9585022178944526,2.668249524464833,554.9959010886853,186.4358554171841,606,[np.int64(364)],-0.6105307855798056,3.2449087058269095,2.055422663760532,0.0257181206205907,0.02148187862845949,,,,,,,,,,,,,21,001,23,m,r,,,,,,,
,,2,21,001,23,m,r,calibration,0.55,2,0,2,0.347354013008391,-0.6306903787402434,1,False,0.919438699958846,False,dot,dot,0.9261401199953351,2.2719334672513507,502.0972962625485,159.36046707867803,825,[np.int64(890)],-0.8088180781535858,3.249478062754128,2.0577708660113303,0.025403727978280513,0.021413000928689013,,,,,,,,,,,,,21,001,23,m,r,,,,,,,
,,3,21,001,23,m,r,calibration,0.55,2,0,3,0.40766968306220214,-0.37360720091511007,1,False,0.6729515001643449,False,square,square,0.8644614427153365,5.0189987870287585,1274.8256919053047,125.29816631387514,938,[np.int64(324)],-0.9700635822792076,3.279681644503007,2.0687435841488386,0.025032186531235075,0.021327013668469365,,,,,,,,,,,,,21,001,23,m,r,,,,,,,
,,4,21,001,23,m,r,calibration,0.55,2,0,4,0.347354013008391,-0.6306903787402434,1,False,0.9643719000741839,False,dot,dot,0.8074724288348268,2.9211287102241075,537.4876826812358,411.0899079376108,934,[np.int64(579)],-1.1190240970074623,3.311627193935783,2.081136767193931,0.024670840428403354,0.021238771821626617,,,,,,,,,,,,,21,001,23,m,r,,,,,,,
,,5,21,001,23,m,r,calibration,0.55,2,0,5,0.347354013008391,-0.6306903787402434,0,True,nan,False,dot,timeout,0.8074724288348268,-0.17810110660110304,-47.90919767569672,64.05682482965281,202,[np.int64(806)],-1.1190240970074623,3.311627193935783,2.081136767193931,0.024670840428403354,0.021238771821626617,,,,,,,,,,,,,21,001,23,m,r,,,,,,,
,,6,21,001,23,m,r,calibration,0.55,2,0,6,0.347354013008391,-0.6306903787402434,1,False,0.770035499939695,False,dot,dot,0.7495926648821191,5.424171644731863,987.199239341199,444.34740669342307,1039,[np.int64(399)],-1.241575383088058,3.354074156241943,2.096974867907407,0.024293246696899848,0.021141592718768264,,,,,,,,,,,,,21,001,23,m,r,,,,,,,
,,7,21,001,23,m,r,calibration,0.55,2,0,7,0.29156950079727495,-0.887773556565376,1,False,0.5888429000042379,False,square,square,0.7023309908200142,4.857863709798975,898.7047863128105,151.58737328465017,1015,[np.int64(1360)],-1.3588216304629763,3.3918364397574012,2.1111728966575884,0.0239330736742811,0.02104422061423556,,,,,,,,,,,,,21,001,23,m,r,,,,,,,
,,8,21,001,23,m,r,calibration,0.55,2,0,8,0.2414297750189407,-1.1448567343905092,1,False,0.506000799825415,False,square,square,0.6655040029490339,0.29503069694280176,53.990617540532725,551.1737251622437,1534,[np.int64(1038)],-1.4742093410781325,3.418155583309828,2.1207082838013434,0.02359503306669166,0.02094866297451967,,,,,,,,,,,,,21,001,23,m,r,,,,,,,
,,9,21,001,23,m,r,calibration,0.55,2,0,9,0.19750845711691875,-1.4019399122156422,0,False,0.7431735000573099,False,square,dot,0.6214410445217736,3.7456830438968094,666.731581813632,497.6739411690341,135,[np.int64(1226)],-1.1173861205605946,3.3850004075460247,2.109644284083345,0.024566217129071633,0.021202477564770623,,,,,,,,,,,,,21,001,23,m,r,,,,,,,
,,10,21,001,23,m,r,calibration,0.55,2,0,10,0.347354013008391,-0.6306903787402434,1,False,0.550923999864608,False,dot,dot,0.5748352571126455,5.491611163145637,999.473231692506,227.49219877632652,401,[np.int64(777)],-1.194588758284421,3.445936160909089,2.1330312746035593,0.024179662806503414,0.021101454824498753,,,,,,,,,,,,,21,001,23,m,r,,,,,,,
