participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,trial_level,item_type,mem_response,mem_rt,mem_trigger_fix,mem_trigger_onset,mem_trigger_resp
21,001,23,m,r,memory_test,263,1,microscope_14n,unseen,,,,no,2.4298535000998527,85,55,61
21,001,23,m,r,memory_test,264,2,tiramisu_12s,seen,yes,low,controlled,no,2.5284001000691205,81,51,62
21,001,23,m,r,memory_test,265,3,crystal1_05s,unseen,,,,no,1.8496146001853049,85,55,61
21,001,23,m,r,memory_test,266,4,slot_machine_05s,seen,yes,low,controlled,yes,0.8382849001791328,81,51,61
21,001,23,m,r,memory_test,267,5,toothpaste_10s,unseen,,,,no,2.805946399923414,85,55,61
21,001,23,m,r,memory_test,268,6,tiara_08s,seen,yes,high,controlled,yes,3.0959026000928134,82,52,61
21,001,23,m,r,memory_test,269,7,quiche_11s,unseen,,,,no,1.8992434998508543,85,55,61
21,001,23,m,r,memory_test,270,8,yarn_10s,seen,yes,low,controlled,yes,0.8963357999455184,81,51,61
21,001,23,m,r,memory_test,271,9,flan_02s,seen,yes,high,controlled,yes,0.6495873001404107,82,52,61
21,001,23,m,r,memory_test,272,10,jigsaw_puzzle_09s,seen,yes,high,controlled,yes,0.8833362001460046,82,52,61
21,001,23,m,r,memory_test,273,11,spam_01b,seen,no,high,uncontrolled,yes,1.3966435000766069,84,54,61
21,001,23,m,r,memory_test,274,12,contact_lens_13s,seen,yes,high,controlled,yes,0.7862344000022858,82,52,61
21,001,23,m,r,memory_test,275,13,coal_08s,seen,no,low,uncontrolled,no,3.234362799907103,83,53,62
21,001,23,m,r,memory_test,276,14,pocket_01b,seen,yes,high,controlled,no,1.1625779999885708,82,52,62
21,001,23,m,r,memory_test,277,15,brick_09s,unseen,,,,no,1.133743500104174,85,55,61
21,001,23,m,r,memory_test,278,16,hamburger_10s,unseen,,,,yes,1.0551529000513256,85,55,62
21,001,23,m,r,memory_test,279,17,mullet_03s,seen,no,high,uncontrolled,yes,0.6958275998476893,84,54,61
21,001,23,m,r,memory_test,280,18,robot_14s,seen,yes,low,controlled,no,1.0253651000093669,81,51,62
21,001,23,m,r,memory_test,281,19,toga_04s,unseen,,,,no,1.3553365000989288,85,55,61
21,001,23,m,r,memory_test,282,20,walker1_03s,seen,yes,high,controlled,yes,1.2142622999381274,82,52,61
21,001,23,m,r,memory_test,283,21,blindfold_16s,unseen,,,,no,1.5035248000640422,85,55,61
21,001,23,m,r,memory_test,284,22,lamb_chop_18s,seen,no,high,uncontrolled,no,1.2779074001591653,84,54,62
21,001,23,m,r,memory_test,285,23,sink_03s,seen,no,high,uncontrolled,no,1.265249599935487,84,54,62
21,001,23,m,r,memory_test,286,24,hairnet_07s,seen,yes,low,controlled,yes,1.1154710999689996,81,51,61
21,001,23,m,r,memory_test,287,25,diamond_14s,unseen,,,,yes,0.8651215999852866,85,55,62
21,001,23,m,r,memory_test,288,26,biscuit_09s,seen,yes,high,controlled,yes,0.784880599938333,82,52,61
21,001,23,m,r,memory_test,289,27,peanut_12s,seen,yes,low,controlled,yes,1.422721300041303,81,51,61
21,001,23,m,r,memory_test,290,28,plaster_cast_13s,seen,no,high,uncontrolled,no,0.8756712998729199,84,54,62
21,001,23,m,r,memory_test,291,29,saltshaker_08s,unseen,,,,no,1.6592780000064522,85,55,61
21,001,23,m,r,memory_test,292,30,duster_07s,unseen,,,,no,1.6760118999518454,85,55,61
21,001,23,m,r,memory_test,293,31,boxing_gloves_05s,unseen,,,,no,1.4425801001489162,85,55,61
21,001,23,m,r,memory_test,294,32,pepper2_08s,unseen,,,,no,1.236011300003156,85,55,61
21,001,23,m,r,memory_test,295,33,piecrust_13s,unseen,,,,no,2.1537482000421733,85,55,61
21,001,23,m,r,memory_test,296,34,soap_06s,unseen,,,,no,2.4155186000280082,85,55,61
21,001,23,m,r,memory_test,297,35,shears_03s,unseen,,,,yes,1.53697819984518,85,55,62
21,001,23,m,r,memory_test,298,36,clipper1_01s,unseen,,,,no,1.1606411000248045,85,55,61
21,001,23,m,r,memory_test,299,37,plum_08s,unseen,,,,no,1.1990390000864863,85,55,61
21,001,23,m,r,memory_test,300,38,checkers_06s,unseen,,,,no,1.6415109999943525,85,55,61
21,001,23,m,r,memory_test,301,39,prune_04s,unseen,,,,no,2.204133199993521,85,55,61
21,001,23,m,r,memory_test,302,40,tent_12s,seen,no,low,uncontrolled,no,4.273499300004914,83,53,62
21,001,23,m,r,memory_test,303,41,step_stool_06s,seen,yes,low,controlled,yes,1.5569824001286179,81,51,61
21,001,23,m,r,memory_test,304,42,sushi_08s,seen,yes,high,controlled,yes,0.7685910000000149,82,52,61
21,001,23,m,r,memory_test,305,43,banana_peel_14s,unseen,,,,no,0.9696229000110179,85,55,61
21,001,23,m,r,memory_test,306,44,fishhook_09s,seen,yes,high,controlled,yes,0.7008883999660611,82,52,61
21,001,23,m,r,memory_test,307,45,pizza_03s,seen,no,low,uncontrolled,no,1.5448191000614315,83,53,62
21,001,23,m,r,memory_test,308,46,coin_15s,seen,no,high,uncontrolled,yes,2.686946699861437,84,54,61
21,001,23,m,r,memory_test,309,47,tee_01b,seen,yes,low,controlled,no,1.385608799988404,81,51,62
21,001,23,m,r,memory_test,310,48,sponge_02s,unseen,,,,no,1.344228900037706,85,55,61
21,001,23,m,r,memory_test,311,49,videocassette_07n,seen,no,high,uncontrolled,no,0.7999686999246478,84,54,62
21,001,23,m,r,memory_test,312,50,candy_cane_06s,unseen,,,,no,0.9622198999859393,85,55,61
21,001,23,m,r,memory_test,313,51,mashed_potato_05s,unseen,,,,no,1.4518499998375773,85,55,61
21,001,23,m,r,memory_test,314,52,pantsuit_07s,unseen,,,,no,1.4302077998872846,85,55,61
21,001,23,m,r,memory_test,315,53,meatball_14s,seen,no,low,uncontrolled,yes,0.6693774000741541,83,53,61
21,001,23,m,r,memory_test,316,54,pinball_09s,seen,no,high,uncontrolled,no,2.7842682998161763,84,54,62
21,001,23,m,r,memory_test,317,55,mannequin_03s,unseen,,,,no,0.8849132999312133,85,55,61
21,001,23,m,r,memory_test,318,56,bandanna_10s,unseen,,,,no,1.159082799917087,85,55,61
21,001,23,m,r,memory_test,319,57,lollipop_01b,seen,no,low,uncontrolled,yes,1.2251322998199612,83,53,61
21,001,23,m,r,memory_test,320,58,cummerbund_15s,unseen,,,,yes,1.6369113998953253,85,55,62
21,001,23,m,r,memory_test,321,59,limousine_10s,seen,yes,high,controlled,yes,0.8117899000644684,82,52,61
21,001,23,m,r,memory_test,322,60,sweet_potato_07s,unseen,,,,no,1.2608018000610173,85,55,61
21,001,23,m,r,memory_test,323,61,pickle_09s,seen,no,low,uncontrolled,yes,0.6623555000405759,83,53,61
21,001,23,m,r,memory_test,324,62,spacesuit_12s,unseen,,,,no,0.8374703000299633,85,55,61
21,001,23,m,r,memory_test,325,63,nail_file_05s,unseen,,,,no,1.6407092998269945,85,55,61
21,001,23,m,r,memory_test,326,64,peach_09n,seen,yes,high,controlled,no,1.1481532000470906,82,52,62
21,001,23,m,r,memory_test,327,65,cream_cheese_05s,unseen,,,,no,1.1840037999209017,85,55,61
21,001,23,m,r,memory_test,328,66,nail_08s,seen,yes,low,controlled,no,1.2654989999718964,81,51,62
21,001,23,m,r,memory_test,329,67,candy_10s,seen,yes,high,controlled,no,1.0149852000176907,82,52,62
