thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,trigger_agency_onset,target_is_left,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,1,22,001,26,f,r,calibration,0.75,2,-1,1,0.5981210736084265,0.3976423325602886,0,False,2.385680900188163,False,dot,square,0.654092755602765,14.23667475554855,2534.128106487642,221.58579204015246,836,[np.int64(959)],1.0815502173013654,3.313240779626975,2.078503103658157,0.026570902445533742,0.02164797948506074,,,,,,,,,,,,,22,001,26,f,r,,,,,,,
,,2,22,001,26,f,r,calibration,0.75,2,-1,2,0.7133701336716126,0.9118086882105548,1,False,1.4780113999731839,False,dot,dot,0.6695519363887371,9.793855516584424,2135.0605026154044,171.26534195960892,1311,[np.int64(1065)],0.9575080562802529,3.28771775599253,2.0686832305155027,0.026290639852488865,0.021595043137014422,,,,,,,,,,,,,22,001,26,f,r,,,,,,,
,,3,22,001,26,f,r,calibration,0.75,2,-1,3,0.7133701336716126,0.9118086882105548,1,False,0.933795299846679,False,dot,dot,0.6725768833887024,18.533077817758596,3762.214797004995,236.0413828315837,679,[np.int64(1135)],0.8335128676146436,3.280685853566952,2.066663016676092,0.025985435837291466,0.02153427789748866,,,,,,,,,,,,,22,001,26,f,r,,,,,,,
,,4,22,001,26,f,r,calibration,0.75,2,-1,4,0.6580745541515514,0.654725510385422,1,False,0.6893253000453115,False,dot,dot,0.6788397157248481,19.646480210644746,3595.305878547989,198.408939787321,894,[np.int64(402)],0.7084641412906613,3.2592159937993554,2.0583865740671308,0.025706154610057964,0.021475911784737248,,,,,,,,,,,,,22,001,26,f,r,,,,,,,
,,5,22,001,26,f,r,calibration,0.75,2,-1,5,0.6580745541515514,0.654725510385422,1,False,0.7095938001293689,False,dot,dot,0.6746179352392956,10.983721292241437,2251.6628649094946,159.31518550905878,98,[np.int64(6)],0.5855631466847313,3.2550784027184774,2.057619784457331,0.025403231402355248,0.02140950136580809,,,,,,,,,,,,,22,001,26,f,r,,,,,,,
,,6,22,001,26,f,r,calibration,0.75,2,-1,6,0.6580745541515514,0.654725510385422,1,False,0.6080146001186222,False,dot,dot,0.6618046329536754,6.409736189916078,1608.8437836689357,79.77869494608127,476,[np.int64(176)],0.46941872954218666,3.2671350538463817,2.063925691150372,0.025079322482321722,0.02133490838778531,,,,,,,,,,,,,22,001,26,f,r,,,,,,,
,,7,22,001,26,f,r,calibration,0.75,2,-1,7,0.5981210736084265,0.3976423325602886,0,False,0.49403909989632666,False,square,dot,0.5717843960521869,8.986331758426202,1941.0476598200594,159.4308376484727,532,[np.int64(1144)],0.7715922630004681,3.292569244194961,2.0754469336553525,0.025846614067840307,0.021499708592404587,,,,,,,,,,,,,22,001,26,f,r,,,,,,,
,,8,22,001,26,f,r,calibration,0.75,2,-1,8,0.7629446568996856,1.1688918660356877,0,False,0.5358041001018137,False,square,dot,0.5594083674044037,6.998457273909143,1595.6482584512846,115.89968616822786,381,[np.int64(601)],1.1361507883129733,3.0554177035857375,1.9586315131957035,0.027641700481161442,0.021794373208289322,,,,,,,,,,,,,22,001,26,f,r,,,,,,,
,,9,22,001,26,f,r,calibration,0.75,2,-1,9,0.7629446568996856,1.1688918660356877,1,False,0.5571318999864161,False,dot,dot,0.5530213467787746,9.369540457982275,2033.1902793821537,166.77948878606267,983,[np.int64(1017)],1.0432384111486053,3.0600589507806237,1.9613040032989462,0.027313134369456246,0.021743833853778476,,,,,,,,,,,,,22,001,26,f,r,,,,,,,
,,10,22,001,26,f,r,calibration,0.75,2,-1,10,0.7629446568996856,1.1688918660356877,1,False,0.7430761000141501,False,square,square,0.5393162284922673,12.685412401728831,2537.0824803457663,219.12390654115126,1237,[np.int64(97)],0.9559959976462133,3.0796986516887555,1.9715699920085505,0.026967240827020462,0.021686640636185053,,,,,,,,,,,,,22,001,26,f,r,,,,,,,
