thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,trigger_agency_onset,target_is_left,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,1,19,001,24,f,r,calibration,0.55,2,0,1,0.347354013008391,-0.6306903787402434,0,False,1.5483957000542432,False,square,dot,0.7868489501376656,2.502484895897399,442.9398265738396,230.15276687223735,563,[np.int64(1363)],0.08546844611530306,3.2884933912590077,2.0699589733917225,0.0266646667842519,0.021664116488440077,,,,,,,,,,,,,19,001,24,f,r,,,,,,,
,,2,19,001,24,f,r,calibration,0.55,2,0,2,0.5350820483873121,0.14055915473515587,1,False,1.1688558999449015,False,square,square,0.7680685877645114,11.81636352898065,2162.394525803459,201.27449400052245,712,[np.int64(160)],-0.06239143700573463,3.2968115039161887,2.0738354920765576,0.02633574150448608,0.02160265882743015,,,,,,,,,,,,,19,001,24,f,r,,,,,,,
,,3,19,001,24,f,r,calibration,0.55,2,0,3,0.5350820483873121,0.14055915473515587,1,False,0.7057006999384612,False,square,square,0.7386941509577899,11.712609180164124,2143.4074799700347,204.94848461369028,910,[np.int64(589)],-0.19599638378391793,3.320733594217113,2.083914488125944,0.025983896614999752,0.02153275512190456,,,,,,,,,,,,,19,001,24,f,r,,,,,,,
,,4,19,001,24,f,r,calibration,0.55,2,0,4,0.5350820483873121,0.14055915473515587,1,False,0.5501049000304192,False,square,square,0.7042880712139795,11.40596168698277,2144.320797152761,171.02695785187214,588,[np.int64(366)],-0.3120815790034459,3.3577691000380265,2.09887292076611,0.025613595780084104,0.021454525462129854,,,,,,,,,,,,,19,001,24,f,r,,,,,,,
,,5,19,001,24,f,r,calibration,0.55,2,0,5,0.47090191089840744,-0.11652402308997703,1,False,0.61339579988271,False,dot,dot,0.6790583197267984,8.7114862265789,1602.9134656905176,239.7698463410532,847,[np.int64(303)],-0.4269904921471382,3.3844717444201766,2.110190441626942,0.025265865323374898,0.021376789281911265,,,,,,,,,,,,,19,001,24,f,r,,,,,,,
,,6,19,001,24,f,r,calibration,0.55,2,0,6,0.347354013008391,-0.6306903787402434,1,False,0.6286165001802146,False,dot,dot,0.6818987905101231,4.363676397119674,872.7352794239348,286.8325255382744,1034,[np.int64(1499)],-0.5487408554775369,3.3520602599352745,2.0957192452205087,0.02499745250400725,0.021314055146616114,,,,,,,,,,,,,19,001,24,f,r,,,,,,,
,,7,19,001,24,f,r,calibration,0.55,2,0,7,0.347354013008391,-0.6306903787402434,1,False,0.5220746998675168,False,square,square,0.6772031074230581,3.87145314398991,712.3473784941434,390.85186950838767,1193,[np.int64(1252)],-0.6701547994908685,3.337368132187306,2.0886943205557684,0.02470611719280538,0.021243057567786657,,,,,,,,,,,,,19,001,24,f,r,,,,,,,
,,8,19,001,24,f,r,calibration,0.55,2,0,8,0.29156950079727495,-0.887773556565376,1,False,0.5284865000285208,False,dot,dot,0.6816185192101772,2.7120528281662954,493.59361472626574,519.9446275851056,681,[np.int64(583)],-0.7929801241014247,3.3036281810400325,2.0736367108914457,0.02444384192486186,0.02117664123833414,,,,,,,,,,,,,19,001,24,f,r,,,,,,,
,,9,19,001,24,f,r,calibration,0.55,2,0,9,0.29156950079727495,-0.887773556565376,1,False,0.6626265000086278,False,square,square,0.677260470618106,3.0721884074102763,556.06610174126,195.92354443623043,1079,[np.int64(617)],-0.9161348856191112,3.2878588901495784,2.0662349909643067,0.024158565378776926,0.021101585234286995,,,,,,,,,,,,,19,001,24,f,r,,,,,,,
,,10,19,001,24,f,r,calibration,0.55,2,0,10,0.29156950079727495,-0.887773556565376,1,False,0.39602819993160665,False,square,square,0.6645136004237172,2.9562153024580047,540.9874003498148,348.70549314178857,1244,[np.int64(40)],-1.0349360259053575,3.289288610932323,2.0663766914270094,0.023852395105879116,0.021017757541976535,,,,,,,,,,,,,19,001,24,f,r,,,,,,,
,,11,19,001,24,f,r,calibration,0.55,2,0,11,0.2414297750189407,-1.1448567343905092,0,False,1.0421005999669433,False,square,dot,0.5781184542471548,2.8229380007794598,510.95177814108223,271.5044604032883,1418,[np.int64(984)],nan,nan,nan,nan,nan,,,,,,,,,,,,,19,001,24,f,r,,,,,,,
,,12,19,001,24,f,r,calibration,0.55,2,0,12,0.40766968306220214,-0.37360720091511007,1,False,0.5532444000709802,False,dot,dot,0.5472145025412952,4.219280154655078,772.1282683018793,277.9643378878172,508,[np.int64(696)],nan,nan,nan,nan,nan,,,,,,,,,,,,,19,001,24,f,r,,,,,,,
,,13,19,001,24,f,r,calibration,0.55,2,0,13,0.347354013008391,-0.6306903787402434,1,False,0.6057298998348415,False,square,square,0.5258341006708742,4.450006570794963,832.1512287386581,212.88580171751525,1596,[np.int64(1135)],nan,nan,nan,nan,nan,,,,,,,,,,,,,19,001,24,f,r,,,,,,,
,,14,19,001,24,f,r,calibration,0.55,2,0,14,0.347354013008391,-0.6306903787402434,1,False,0.5290765000972897,False,dot,dot,0.5049817234554124,4.41974088709875,804.3928414519726,250.88384363895042,1219,[np.int64(1235)],nan,nan,nan,nan,nan,,,,,,,,,,,,,19,001,24,f,r,,,,,,,
,,15,19,001,24,f,r,calibration,0.55,2,0,15,0.29156950079727495,-0.887773556565376,1,False,0.6023746998980641,False,square,square,0.4944511550249444,2.5524109264131525,464.53878860719374,304.9528337267315,1258,[np.int64(513)],nan,nan,nan,nan,nan,,,,,,,,,,,,,19,001,24,f,r,,,,,,,
,,16,19,001,24,f,r,calibration,0.55,2,0,16,0.29156950079727495,-0.887773556565376,1,False,0.5763197999913245,False,square,square,0.4830507988000899,3.116195959072679,570.2638605103002,201.67546802701767,186,[np.int64(571)],nan,nan,nan,nan,nan,,,,,,,,,,,,,19,001,24,f,r,,,,,,,
,,17,19,001,24,f,r,calibration,0.55,2,0,17,0.2414297750189407,-1.1448567343905092,1,False,0.5300193000584841,False,dot,dot,0.4823073797731946,3.0890271720413143,568.3809996556018,225.09318735777214,321,[np.int64(233)],nan,nan,nan,nan,nan,,,,,,,,,,,,,19,001,24,f,r,,,,,,,
,,18,19,001,24,f,r,calibration,0.55,2,0,18,0.2414297750189407,-1.1448567343905092,1,False,0.6204026001505554,False,dot,dot,0.4792027713626968,2.8417060454316174,517.1905002685544,476.4899754430758,184,[np.int64(41)],nan,nan,nan,nan,nan,,,,,,,,,,,,,19,001,24,f,r,,,,,,,
,,19,19,001,24,f,r,calibration,0.55,2,0,19,0.19750845711691875,-1.4019399122156422,1,False,0.5567096001468599,False,square,square,0.4858055047891956,2.531383389649971,463.2431603059447,221.1530489564644,1078,[np.int64(1028)],nan,nan,nan,nan,nan,,,,,,,,,,,,,19,001,24,f,r,,,,,,,
,,20,19,001,24,f,r,calibration,0.55,2,0,20,0.19750845711691875,-1.4019399122156422,1,False,0.6543235999997705,False,dot,dot,0.4886301479768269,3.487012818630909,645.0973714467182,213.18746565463775,72,[np.int64(663)],-1.411330258232189,3.432361613558429,2.1224908885870066,0.02176804560042252,0.020350963496740995,,,,,,,,,,,,,19,001,24,f,r,,,,,,,
,,21,19,001,24,f,r,calibration,0.55,2,0,21,0.19750845711691875,-1.4019399122156422,0,False,0.6599139999598265,False,dot,square,0.42155862397825244,2.832389733445461,512.6625417536284,552.9527774696164,1057,[np.int64(80)],nan,nan,nan,nan,nan,,,,,,,,,,,,,19,001,24,f,r,,,,,,,
,,22,19,001,24,f,r,calibration,0.55,2,0,22,0.2414297750189407,-1.1448567343905092,1,False,0.4170093999709934,False,dot,dot,0.41462106797655596,2.0996954078845613,382.1445642349901,382.77233445469426,1241,[np.int64(1476)],nan,nan,nan,nan,nan,,,,,,,,,,,,,19,001,24,f,r,,,,,,,
,,23,19,001,24,f,r,calibration,0.55,2,0,23,0.2414297750189407,-1.1448567343905092,0,False,0.5296462001278996,False,square,dot,0.38493311773335115,3.000383290584558,546.0697588863895,218.63466746811588,29,[np.int64(224)],nan,nan,nan,nan,nan,,,,,,,,,,,,,19,001,24,f,r,,,,,,,
